"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","SKED_SEQ_NO","MONTH","DAY","HOUR"
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US",1,"UNATNDD","",""
"2026/02/19","00106.","A","AL","2A8","ADDISON","US",1,"UNATNDD","",""
"2026/02/19","00108.","A","AL","AL03","AKRON","US",1,"UNATNDD","",""
"2026/02/19","00110.","A","AL","EET","ALABASTER","US",1,"ALL","ALL","0700-1900"
"2026/02/19","00110.01","H","AL","AL39","ALABASTER","US",1,"ALL","ALL","ALL"
"2026/02/19","00112.1","A","AL","BFZ","ALBERTVILLE","US",1,"ALL","MON-SAT","0700-DUSK"
"2026/02/19","00112.1","A","AL","BFZ","ALBERTVILLE","US",2,"ALL","SUN","1230-DUSK"
"2026/02/19","00116.","A","AL","ALX","ALEXANDER CITY","US",1,"ALL","MON-FRI","0800-1700"
"2026/02/19","00116.01","H","AL","33AL","ALEXANDER CITY","US",1,"UNATNDD","",""
"2026/02/19","00119.","A","AL","AIV","ALICEVILLE","US",1,"UNATNDD","",""
"2026/02/19","00124.","A","AL","79J","ANDALUSIA","US",4,"ALL","SAT-SUN","0730-1630"
"2026/02/19","00124.","A","AL","79J","ANDALUSIA","US",5,"ALL","MON - FRI","0630-0000"
"2026/02/19","00128.","A","AL","ANB","ANNISTON","US",2,"ALL","MON-FRI","0700-1800"
"2026/02/19","00128.","A","AL","ANB","ANNISTON","US",3,"ALL","SAT-SUN","0800-1700"
"2026/02/19","00128.01","H","AL","AL42","ANNISTON","US",1,"UNATNDD","",""
"2026/02/19","00128.02","H","AL","04AL","ANNISTON","US",1,"ALL","MON-FRI","0800-1630"
"2026/02/19","00133.5","A","AL","51AL","ARDMORE","US",1,"ALL","MON-FRI","DALGT"
"2026/02/19","00134.","H","KY","90KY","ASHCAMP","US",1,"UNATNDD","",""
"2026/02/19","00135.","A","AL","26A","ASHLAND/LINEVILLE","US",2,"UNATNDD","",""
"2026/02/19","00135.01","H","AL","0AL2","ASHLAND","US",1,"ALL","ALL","ALL"
"2026/02/19","00137.","A","AL","AL60","ASHVILLE","US",1,"UNATNDD","",""
