"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","REGION_CODE","ADO_CODE","STATE_NAME","COUNTY_NAME","COUNTY_ASSOC_STATE","ARPT_NAME","OWNERSHIP_TYPE_CODE","FACILITY_USE_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_METHOD_CODE","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","TPA","CHART_NAME","DIST_CITY_TO_AIRPORT","DIRECTION_CODE","ACREAGE","RESP_ARTCC_ID","COMPUTER_ID","ARTCC_NAME","FSS_ON_ARPT_FLAG","FSS_ID","FSS_NAME","PHONE_NO","TOLL_FREE_NO","ALT_FSS_ID","ALT_FSS_NAME","ALT_TOLL_FREE_NO","NOTAM_ID","NOTAM_FLAG","ACTIVATION_DATE","ARPT_STATUS","FAR_139_TYPE_CODE","FAR_139_CARRIER_SER_CODE","ARFF_CERT_TYPE_DATE","NASP_CODE","ASP_ANLYS_DTRM_CODE","CUST_FLAG","LNDG_RIGHTS_FLAG","JOINT_USE_FLAG","MIL_LNDG_FLAG","INSPECT_METHOD_CODE","INSPECTOR_CODE","LAST_INSPECTION","LAST_INFO_RESPONSE","FUEL_TYPES","AIRFRAME_REPAIR_SER_CODE","PWR_PLANT_REPAIR_SER","BOTTLED_OXY_TYPE","BULK_OXY_TYPE","LGT_SKED","BCN_LGT_SKED","TWR_TYPE_CODE","SEG_CIRCLE_MKR_FLAG","BCN_LENS_COLOR","LNDG_FEE_FLAG","MEDICAL_USE_FLAG","ARPT_PSN_SOURCE","POSITION_SRC_DATE","ARPT_ELEV_SOURCE","ELEVATION_SRC_DATE","CONTR_FUEL_AVBL","TRNS_STRG_BUOY_FLAG","TRNS_STRG_HGR_FLAG","TRNS_STRG_TIE_FLAG","OTHER_SERVICES","WIND_INDCR_FLAG","ICAO_ID","MIN_OP_NETWORK","USER_FEE_FLAG","CTA"
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","ASO","JAN","ALABAMA","HENRY","AL","ABBEVILLE MUNI","PU","PU",31,36,6.193,"N",31.60172027,85,14,18.761,"W",-85.23854472,"E",468.3,"E",1,"W",1985,,"NEW ORLEANS",3,"N",36,"ZJX","ZCJ","JACKSONVILLE","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1959/08","O","","","","N","NOT ANALYZED","","","","","S","S","2023/05/26","","","NONE","NONE","","","SEE RMK","SS-SR","NON-ATCT","N","WG","N","","3RD PARTY SURVEY","2025/06/17","3RD PARTY SURVEY","2025/06/17","","","","Y","","Y-L","","N","",""
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","ASO","JAN","ALABAMA","WINSTON","AL","ADDISON MUNI","PU","PU",34,13,1.71,"N",34.21714166,87,9,29.37,"W",-87.15815833,"E",786,"E",0,"E",1980,,"ATLANTA",1,"NE",37,"ZME","ZCM","MEMPHIS","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1986/12","O","","","","","CONDL","","","","","S","S","2023/05/10","1988/01/07","","","","","","","","NON-ATCT","N","","","","FAA-EST","2011/08/08","","","","","","N","","Y","","N","",""
"2026/02/19","00108.","A","AL","AL03","AKRON","US","ASO","JAN","ALABAMA","HALE","AL","STRICKLAND/SMALLEY FLD","PR","PR",32,50,51,"N",32.8475,87,42,50,"W",-87.71388888,"E",369,"E",,"",,,"ATLANTA",3,"SE",,"ZTL","ZCT","ATLANTA","","MKL","JACKSON","","1-800-WX-BRIEF","","","","","","2007/11","O","","","","","CONDL","","","","","2","N","","2021/12/13","","","","","","","","NON-ATCT","","","","","DOD (NGA)","2014/07/07","OWNER","2008/04/29","","","","","","Y","","N","",""
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","ASO","JAN","ALABAMA","SHELBY","AL","SHELBY COUNTY","PU","PU",33,10,40,"N",33.17777777,86,46,59.6,"W",-86.78322222,"E",585.6,"S",3,"W",2010,,"ATLANTA",4,"SE",125,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","EET","Y","1965/04","O","","","","NGY","NO OBJECTION","N","N","N","Y","S","S","2025/08/22","","100LL,A+","MAJOR","MAJOR","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","3RD PARTY SURVEY","2008/10/12","3RD PARTY SURVEY","2008/10/12","","","","Y","INSTR,RNTL,SALES","Y-L","KEET","N","",""
"2026/02/19","00110.01","H","AL","AL39","ALABASTER","US","ASO","JAN","ALABAMA","SHELBY","AL","SHELBY MEDICAL CENTER","PR","PR",33,15,8,"N",33.25222222,86,48,44,"W",-86.81222222,"E",510,"E",0,"E",1985,,"ATLANTA",0,"NE",,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","N","1982/08","O","","","","","CONDL","","","","","2","N","","2022/09/26","","","","","","","","NON-ATCT","N","","N","Y","","","","","","","","","","Y","","N","",""
"2026/02/19","00112.1","A","AL","BFZ","ALBERTVILLE","US","ASO","JAN","ALABAMA","MARSHALL","AL","ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD","PU","PU",34,13,44.792,"N",34.22910888,86,15,20.722,"W",-86.25575611,"E",1032.3,"S",2,"W",1995,,"ATLANTA",3,"SW",77,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","BFZ","Y","1962/07","O","","","","NGY","NO OBJECTION","N","N","N","N","S","S","2025/05/14","","100LL,A+","MAJOR","MAJOR","HIGH/LOW","","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","3RD PARTY SURVEY","2024/11/02","3RD PARTY SURVEY","2024/11/02","","","","Y","INSTR,RNTL","Y-L","KBFZ","N","",""
"2026/02/19","00116.","A","AL","ALX","ALEXANDER CITY","US","ASO","JAN","ALABAMA","TALLAPOOSA","AL","THOMAS C RUSSELL FLD","PU","PU",32,54,53.1,"N",32.91475,85,57,46.6,"W",-85.96294444,"E",685.8,"S",4,"W",2015,,"ATLANTA",2,"SW",293,"ZTL","ZCT","ATLANTA","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ALX","Y","1940/04","O","","","","NGY","NO OBJECTION","N","N","N","Y","S","S","2025/08/29","","100LL,A","NONE","NONE","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","3RD PARTY SURVEY","2010/01/19","3RD PARTY SURVEY","2010/01/19","","","","Y","INSTR,RNTL","Y-L","KALX","N","",""
"2026/02/19","00116.01","H","AL","33AL","ALEXANDER CITY","US","ASO","ATL","ALABAMA","TALLAPOOSA","AL","RUSSELL MEDICAL","PR","PR",32,55,48.28,"N",32.93007777,85,58,15.27,"W",-85.97090833,"E",703,"E",,"",,,"ATLANTA",1,"SW",0,"ZTL","ZCT","ATLANTA","","ANB","ANNISTON","","1-800-WX-BRIEF","","","","","","2022/05","O","","","","","NO OBJECTION","","","","","","N","","","","","","","","","","NON-ATCT","","","","Y","OWNER","2020/10/07","OWNER","2020/10/07","","","","","","Y","","N","",""
"2026/02/19","00119.","A","AL","AIV","ALICEVILLE","US","ASO","JAN","ALABAMA","PICKENS","AL","GEORGE DOWNER","PU","PU",33,6,24.28,"N",33.10674444,88,11,49.83,"W",-88.197175,"E",150,"S",2,"W",2015,,"MEMPHIS",2,"SW",41,"ZME","ZCM","MEMPHIS","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","ANB","Y","1961/10","O","","","","N","NOT ANALYZED","","","","","S","S","2023/12/21","","100LL","NONE","NONE","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","NACO","2004/10/15","NACO","2004/10/15","","","","Y","","Y-L","KAIV","N","",""
"2026/02/19","00124.","A","AL","79J","ANDALUSIA","US","ASO","JAN","ALABAMA","COVINGTON","AL","SOUTH ALABAMA RGNL AT BILL BENTON FLD","PU","PU",31,18,30.1,"N",31.30836111,86,23,32,"W",-86.39222222,"E",310.2,"S",2,"W",2005,,"NEW ORLEANS",4,"E",615,"ZJX","ZCJ","JACKSONVILLE","N","ANB","ANNISTON","","1-800-WX-BRIEF","","","","79J","Y","1940/04","O","","","","NGY","NO OBJECTION","N","N","N","Y","S","S","2024/05/02","","100LL,A+","MAJOR","MAJOR","NONE","NONE","SEE RMK","SS-SR","NON-ATCT","Y","WG","N","","NGS","2010/04/14","NGS","2010/04/14","","","","Y","INSTR","Y-L","","N","",""
