CSV File,Column Name,Max Length,Data Type,Nullable
APT_ARS,EFF_DATE,10,VARCHAR,No
APT_ARS,SITE_NO,9,VARCHAR,No
APT_ARS,SITE_TYPE_CODE,1,VARCHAR,No
APT_ARS,STATE_CODE,2,VARCHAR,Yes
APT_ARS,ARPT_ID,4,VARCHAR,No
APT_ARS,CITY,40,VARCHAR,No
APT_ARS,COUNTRY_CODE,2,VARCHAR,No
APT_ARS,RWY_ID,7,VARCHAR,No
APT_ARS,RWY_END_ID,3,VARCHAR,No
APT_ARS,ARREST_DEVICE_CODE,9,VARCHAR,No
APT_ATT,EFF_DATE,10,VARCHAR,No
APT_ATT,SITE_NO,9,VARCHAR,No
APT_ATT,SITE_TYPE_CODE,1,VARCHAR,No
APT_ATT,STATE_CODE,2,VARCHAR,Yes
APT_ATT,ARPT_ID,4,VARCHAR,No
APT_ATT,CITY,40,VARCHAR,No
APT_ATT,COUNTRY_CODE,2,VARCHAR,No
APT_ATT,SKED_SEQ_NO,"(2,0)",NUMBER,No
APT_ATT,MONTH,50,VARCHAR,Yes
APT_ATT,DAY,16,VARCHAR,Yes
APT_ATT,HOUR,40,VARCHAR,Yes
APT_BASE,EFF_DATE,10,VARCHAR,No
APT_BASE,SITE_NO,9,VARCHAR,No
APT_BASE,SITE_TYPE_CODE,1,VARCHAR,No
APT_BASE,STATE_CODE,2,VARCHAR,Yes
APT_BASE,ARPT_ID,4,VARCHAR,No
APT_BASE,CITY,40,VARCHAR,No
APT_BASE,COUNTRY_CODE,2,VARCHAR,No
APT_BASE,REGION_CODE,3,VARCHAR,Yes
APT_BASE,ADO_CODE,3,VARCHAR,Yes
APT_BASE,STATE_NAME,30,VARCHAR,Yes
APT_BASE,COUNTY_NAME,21,VARCHAR,No
APT_BASE,COUNTY_ASSOC_STATE,2,VARCHAR,No
APT_BASE,ARPT_NAME,50,VARCHAR,No
APT_BASE,OWNERSHIP_TYPE_CODE,2,VARCHAR,No
APT_BASE,FACILITY_USE_CODE,2,VARCHAR,No
APT_BASE,LAT_DEG,"(2,0)",NUMBER,No
APT_BASE,LAT_MIN,"(2,0)",NUMBER,No
APT_BASE,LAT_SEC,"(6,4)",NUMBER,No
APT_BASE,LAT_HEMIS,1,VARCHAR,No
APT_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
APT_BASE,LONG_DEG,"(3,0)",NUMBER,No
APT_BASE,LONG_MIN,"(2,0)",NUMBER,No
APT_BASE,LONG_SEC,"(6,4)",NUMBER,No
APT_BASE,LONG_HEMIS,1,VARCHAR,No
APT_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
APT_BASE,SURVEY_METHOD_CODE,1,VARCHAR,Yes
APT_BASE,ELEV,"(6,1)",NUMBER,No
APT_BASE,ELEV_METHOD_CODE,1,VARCHAR,Yes
APT_BASE,MAG_VARN,"(2,0)",NUMBER,Yes
APT_BASE,MAG_HEMIS,1,VARCHAR,Yes
APT_BASE,MAG_VARN_YEAR,"(4,0)",NUMBER,Yes
APT_BASE,TPA,"(4,0)",NUMBER,Yes
APT_BASE,CHART_NAME,30,VARCHAR,Yes
APT_BASE,DIST_CITY_TO_AIRPORT,"(2,0)",NUMBER,Yes
APT_BASE,DIRECTION_CODE,3,VARCHAR,Yes
APT_BASE,ACREAGE,"(5,0)",NUMBER,Yes
APT_BASE,RESP_ARTCC_ID,4,VARCHAR,No
APT_BASE,COMPUTER_ID,3,VARCHAR,No
APT_BASE,ARTCC_NAME,30,VARCHAR,No
APT_BASE,FSS_ON_ARPT_FLAG,1,VARCHAR,Yes
APT_BASE,FSS_ID,4,VARCHAR,No
APT_BASE,FSS_NAME,30,VARCHAR,No
APT_BASE,PHONE_NO,16,VARCHAR,Yes
APT_BASE,TOLL_FREE_NO,16,VARCHAR,Yes
APT_BASE,ALT_FSS_ID,4,VARCHAR,Yes
APT_BASE,ALT_FSS_NAME,30,VARCHAR,Yes
APT_BASE,ALT_TOLL_FREE_NO,16,VARCHAR,Yes
APT_BASE,NOTAM_ID,4,VARCHAR,Yes
APT_BASE,NOTAM_FLAG,1,VARCHAR,Yes
APT_BASE,ACTIVATION_DATE,7,VARCHAR,Yes
APT_BASE,ARPT_STATUS,2,VARCHAR,No
APT_BASE,FAR_139_TYPE_CODE,5,VARCHAR,Yes
APT_BASE,FAR_139_CARRIER_SER_CODE,1,VARCHAR,Yes
APT_BASE,ARFF_CERT_TYPE_DATE,7,VARCHAR,Yes
APT_BASE,NASP_CODE,7,VARCHAR,Yes
APT_BASE,ASP_ANLYS_DTRM_CODE,13,VARCHAR,Yes
APT_BASE,CUST_FLAG,1,VARCHAR,Yes
APT_BASE,LNDG_RIGHTS_FLAG,1,VARCHAR,Yes
APT_BASE,JOINT_USE_FLAG,1,VARCHAR,Yes
APT_BASE,MIL_LNDG_FLAG,1,VARCHAR,Yes
APT_BASE,INSPECT_METHOD_CODE,1,VARCHAR,Yes
APT_BASE,INSPECTOR_CODE,1,VARCHAR,No
APT_BASE,LAST_INSPECTION,10,VARCHAR,Yes
APT_BASE,LAST_INFO_RESPONSE,10,VARCHAR,Yes
APT_BASE,FUEL_TYPES,40,VARCHAR,Yes
APT_BASE,AIRFRAME_REPAIR_SER_CODE,5,VARCHAR,Yes
APT_BASE,PWR_PLANT_REPAIR_SER,5,VARCHAR,Yes
APT_BASE,BOTTLED_OXY_TYPE,8,VARCHAR,Yes
APT_BASE,BULK_OXY_TYPE,8,VARCHAR,Yes
APT_BASE,LGT_SKED,7,VARCHAR,Yes
APT_BASE,BCN_LGT_SKED,7,VARCHAR,Yes
APT_BASE,TWR_TYPE_CODE,12,VARCHAR,No
APT_BASE,SEG_CIRCLE_MKR_FLAG,3,VARCHAR,Yes
APT_BASE,BCN_LENS_COLOR,3,VARCHAR,Yes
APT_BASE,LNDG_FEE_FLAG,1,VARCHAR,Yes
APT_BASE,MEDICAL_USE_FLAG,1,VARCHAR,Yes
APT_BASE,ARPT_PSN_SOURCE,16,VARCHAR,Yes
APT_BASE,POSITION_SRC_DATE,10,VARCHAR,Yes
APT_BASE,ARPT_ELEV_SOURCE,16,VARCHAR,Yes
APT_BASE,ELEVATION_SRC_DATE,10,VARCHAR,Yes
APT_BASE,CONTR_FUEL_AVBL,1,VARCHAR,Yes
APT_BASE,TRNS_STRG_BUOY_FLAG,1,VARCHAR,Yes
APT_BASE,TRNS_STRG_HGR_FLAG,1,VARCHAR,Yes
APT_BASE,TRNS_STRG_TIE_FLAG,1,VARCHAR,Yes
APT_BASE,OTHER_SERVICES,110,VARCHAR,Yes
APT_BASE,WIND_INDCR_FLAG,3,VARCHAR,Yes
APT_BASE,ICAO_ID,7,VARCHAR,Yes
APT_BASE,MIN_OP_NETWORK,1,VARCHAR,No
APT_BASE,USER_FEE_FLAG,26,VARCHAR,Yes
APT_BASE,CTA,4,VARCHAR,Yes
APT_CON,EFF_DATE,10,VARCHAR,No
APT_CON,SITE_NO,9,VARCHAR,No
APT_CON,SITE_TYPE_CODE,1,VARCHAR,No
APT_CON,STATE_CODE,2,VARCHAR,Yes
APT_CON,ARPT_ID,4,VARCHAR,No
APT_CON,CITY,40,VARCHAR,No
APT_CON,COUNTRY_CODE,2,VARCHAR,No
APT_CON,TITLE,10,VARCHAR,No
APT_CON,NAME,35,VARCHAR,Yes
