"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","LEGACY_ELEMENT_NUMBER","TAB_NAME","REF_COL_NAME","ELEMENT","REF_COL_SEQ_NO","REMARK"
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","E111","AIRPORT","ASP_ANLYS_DTRM_CODE","",1,"EXISTED PRIOR TO MAY 15, 1959."
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","A110-1","AIRPORT","GENERAL_REMARK","",1,"FOR CD CTC CAIRNS APCH AT 334-255-8402 OR 334-255-8460, WHEN APCH CLSD CTC JACKSONVILLE ARTCC AT 904-845-1592."
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","A110-2","AIRPORT","GENERAL_REMARK","",2,"EMERG OR AFT HRS: 334-798-2924."
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","A81-APT","AIRPORT","LGT_SKED","",1,"ACTVT PAPI RWY 18/36; MIRL RWY 18/36 - CTAF."
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","A82","AIRPORT","UNICOM_FREQ","",1,"UNICOM IS LCTD AT POLICE STATION."
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","E111","AIRPORT","ASP_ANLYS_DTRM_CODE","",1,"PRVDD VFR USE ONLY."
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","A110-1","AIRPORT","GENERAL_REMARK","",1,"FOR CD CTC MEMPHIS ARTCC AT 901-368-8453/8449."
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","A110-2","AIRPORT","GENERAL_REMARK","",2,"ADDISON ARPT (2A8) IS A PUB OWNED, PRIVATE OPERATED ARPT. ARPT IS OPEN FOR DAY USE AND VFR OPN ONLY."
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","A42-05_MARK","RUNWAY_END","RWY_MARKING_TYPE_CODE","05",1,"MKD BY WHITE CONES WITH BLACK TIPS.  "
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","A42-23_MARK","RUNWAY_END","RWY_MARKING_TYPE_CODE","23",1,"MKD BY WHITE CONES WITH BLACK TIPS."
"2026/02/19","00108.","A","AL","AL03","AKRON","US","E111","AIRPORT","ASP_ANLYS_DTRM_CODE","",1,"PROVIDED PVT USE ONLY."
"2026/02/19","00108.","A","AL","AL03","AKRON","US","A110-1","AIRPORT","GENERAL_REMARK","",1,"FOR CD CTC ATLANTA ARTCC AT 770-210-7692."
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A110-2","AIRPORT","GENERAL_REMARK","",2,"NOISE ABATEMENT AREA NW OF ARPT."
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A110-3","AIRPORT","GENERAL_REMARK","",3,"BALLOON OPS, HANG GLIDING, PAJA, AND MOTORIZED PARACHUTE OPS PROHIBITED."
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A110-4","AIRPORT","GENERAL_REMARK","",4,"GCO AVBL ON FREQ 121.725 THRU BHM CLEARANCE DELIVERY."
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A110-5","AIRPORT","GENERAL_REMARK","",5,"FOR CD IF UNA VIA GCO CTC BIRMINGHAM APCH AT 205-769-3890."
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A110-6","AIRPORT","GENERAL_REMARK","",6,"24/7 EMERG CTC # 205-438-5173"
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A81-APT","AIRPORT","LGT_SKED","",1,"ACTVT REIL RWY 16 & 34; PAPI RWY 16 & 34; MIRL RWY 16/34 - CTAF"
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A11","AIRPORT_CONTACT","NAME","OWNER",1,"CHAD SCROGGINS, COUNTY MANAGER"
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","A70-100LL","FUEL_TYPE","FUEL_TYPE","100LL",1,"100LL AVBL 24/7 WITH CC."
"2026/02/19","00110.01","H","AL","AL39","ALABASTER","US","E111","AIRPORT","ASP_ANLYS_DTRM_CODE","",1,"PRVDD PVT USE; AREA IS MKD; WIND INDICATOR MAINTAINED; APCH/DEP FM 220 CLOCKWISE TO 320."
