"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_END_ID","TRUE_ALIGNMENT","ILS_TYPE","RIGHT_HAND_TRAFFIC_PAT_FLAG","RWY_MARKING_TYPE_CODE","RWY_MARKING_COND","RWY_END_LAT_DEG","RWY_END_LAT_MIN","RWY_END_LAT_SEC","RWY_END_LAT_HEMIS","LAT_DECIMAL","RWY_END_LONG_DEG","RWY_END_LONG_MIN","RWY_END_LONG_SEC","RWY_END_LONG_HEMIS","LONG_DECIMAL","RWY_END_ELEV","THR_CROSSING_HGT","VISUAL_GLIDE_PATH_ANGLE","DISPLACED_THR_LAT_DEG","DISPLACED_THR_LAT_MIN","DISPLACED_THR_LAT_SEC","DISPLACED_THR_LAT_HEMIS","LAT_DISPLACED_THR_DECIMAL","DISPLACED_THR_LONG_DEG","DISPLACED_THR_LONG_MIN","DISPLACED_THR_LONG_SEC","DISPLACED_THR_LONG_HEMIS","LONG_DISPLACED_THR_DECIMAL","DISPLACED_THR_ELEV","DISPLACED_THR_LEN","TDZ_ELEV","VGSI_CODE","RWY_VISUAL_RANGE_EQUIP_CODE","RWY_VSBY_VALUE_EQUIP_FLAG","APCH_LGT_SYSTEM_CODE","RWY_END_LGTS_FLAG","CNTRLN_LGTS_AVBL_FLAG","TDZ_LGT_AVBL_FLAG","OBSTN_TYPE","OBSTN_MRKD_CODE","FAR_PART_77_CODE","OBSTN_CLNC_SLOPE","OBSTN_HGT","DIST_FROM_THR","CNTRLN_OFFSET","CNTRLN_DIR_CODE","RWY_GRAD","RWY_GRAD_DIRECTION","RWY_END_PSN_SOURCE","RWY_END_PSN_DATE","RWY_END_ELEV_SOURCE","RWY_END_ELEV_DATE","DSPL_THR_PSN_SOURCE","RWY_END_DSPL_THR_PSN_DATE","DSPL_THR_ELEV_SOURCE","RWY_END_DSPL_THR_ELEV_DATE","TDZ_ELEV_SOURCE","RWY_END_TDZ_ELEV_DATE","TKOF_RUN_AVBL","TKOF_DIST_AVBL","ACLT_STOP_DIST_AVBL","LNDG_DIST_AVBL","LAHSO_ALD","RWY_END_INTERSECT_LAHSO","LAHSO_DESC","LAHSO_LAT","LAT_LAHSO_DECIMAL","LAHSO_LONG","LONG_LAHSO_DECIMAL","LAHSO_PSN_SOURCE","RWY_END_LAHSO_PSN_DATE"
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","18/36","18",172,"","N","BSC","GOOD",31,36,30.6998,"N",31.60852772,85,14,22.7315,"W",-85.23964763,464.7,44,3,,,,"",,,,,"",,,,468.3,"P2L","","","","","","","TREES","","A(V)",9,32,499,237,"R",,"","3RD PARTY SURVEY","2025/06/17","3RD PARTY SURVEY","2025/06/17","","","","","3RD PARTY SURVEY","2025/06/17",,,,,,"","","",,"",,"",""
"2026/02/19","00103.","A","AL","0J0","ABBEVILLE","US","18/36","36",352,"","N","BSC","GOOD",31,35,41.6853,"N",31.59491258,85,14,14.7913,"W",-85.23744202,464.7,44,3,,,,"",,,,,"",,,,468.3,"P2L","","","","","","","TREE","","A(V)",12,9,316,98,"R",,"","3RD PARTY SURVEY","2025/06/17","3RD PARTY SURVEY","2025/06/17","","","","","3RD PARTY SURVEY","2025/06/17",,,,,,"","","",,"",,"",""
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","05/23","05",49,"","","NSTD","",34,12,53.1,"N",34.21475,87,9,41.22,"W",-87.16145,786,,,,,,"",,,,,"",,,,,"","","","","","","","TREES","","A(V)",25,25,629,25,"R",,"","OWNER","2011/08/08","FAA-EST IMAGERY","2010/09/29","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00106.","A","AL","2A8","ADDISON","US","05/23","23",229,"","","NSTD","",34,13,10.32,"N",34.21953333,87,9,17.52,"W",-87.15486666,776,,,,,,"",,,,,"",,,,,"","","","","","","","TREES","","A(V)",15,30,454,178,"L",,"","OWNER","2011/08/08","FAA-EST IMAGERY","2010/09/29","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00108.","A","AL","AL03","AKRON","US","01/19","01",,"","","","",,,,"",,,,,"",,,,,,,,"",,,,,"",,,400,,"","","","","","","","TREES","","A(V)",,23,219,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00108.","A","AL","AL03","AKRON","US","01/19","19",,"","","","",,,,"",,,,,"",,,,,,,,"",,,,,"",,,600,,"","","","","","","","PLINE","","A(V)",,25,34,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00108.","A","AL","AL03","AKRON","US","07/25","07",,"","","","",,,,"",,,,,"",,,,,,,,"",,,,,"",,,,,"","","","","","","","","","A(V)",,,,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00108.","A","AL","AL03","AKRON","US","07/25","25",,"","","","",,,,"",,,,,"",,,,,,,,"",,,,,"",,,,,"","","","","","","","","","A(V)",,,,,"",,"","","","","","","","","","","",,,,,,"","","",,"",,"",""
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","16/34","16",157,"","N","NPI","GOOD",33,11,2.8099,"N",33.18411386,86,47,10.9568,"W",-86.78637688,572.7,57,3.5,,,,"",,,,,"",,,,572.7,"P4L","","","","Y","","","TREE","","C",14,109,1823,510,"R",,"","3RD PARTY SURVEY","2008/10/12","3RD PARTY SURVEY","2008/10/12","","","","","3RD PARTY SURVEY","2008/10/12",,,,,,"","","",,"",,"",""
"2026/02/19","00110.","A","AL","EET","ALABASTER","US","16/34","34",337,"","Y","NPI","GOOD",33,10,17.1992,"N",33.17144422,86,46,48.1798,"W",-86.78004994,585.6,44,4,,,,"",,,,,"",,,,585.6,"P4L","","","","Y","","","TREE","","C",20,64,1505,97,"R",,"","3RD PARTY SURVEY","2008/10/12","3RD PARTY SURVEY","2008/10/12","","","","","3RD PARTY SURVEY","2008/10/12",,,,,,"","","",,"",,"",""
