"EFF_DATE","LOCATION_ID","LOCATION_NAME","COMPUTER_ID","ICAO_ID","LOCATION_TYPE","CITY","STATE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","CROSS_REF"
"2026/01/22","FIMM","MAURITIUS FIR","PLS","FIMM","ARTCC","MAURITIUS","","MU",20,26,0,"S",-20.43333333,57,41,0,"E",57.68333333,""
"2026/01/22","NZZO","AUCKLAND OCEANIC FIR","ZZO","NZZO","ARTCC","AUCKLAND","","NZ",37,0,29,"S",-37.00805555,174,47,30,"E",174.79166666,""
"2026/01/22","SBAO","ATLANTICO FIR","ASI","SBAO","ARTCC","ATLANTICO","","BR",15,52,0,"S",-15.86666666,47,55,0,"W",-47.91666666,""
"2026/01/22","ZAB","ALBUQUERQUE","ZCA","KZAB","ARTCC","ALBUQUERQUE","NM","US",35,10,24.15,"N",35.173375,106,34,3.08,"W",-106.56752222,"FACILITY LOCATED AT ALBUQUERQUE, NM"
"2026/01/22","ZAK","OAKLAND OCEANIC ARTCC","ZAK","KZAK","ARTCC","OAKLAND","CA","US",37,32,32.77,"N",37.54243611,122,0,56.86,"W",-122.01579444,""
"2026/01/22","ZAN","ANCHORAGE","ZAN","PAZA","ARTCC","ANCHORAGE","AK","US",61,53,35.11,"N",61.89308611,149,49,53.04,"W",-149.8314,"FACILITY LOCATED AT ANCHORAGE, AK"
"2026/01/22","ZAP","ANCHORAGE OCEANIC","ZAP","PAZN","ARTCC","ANCHORAGE","AK","US",61,53,35.11,"N",61.89308611,149,49,53.04,"W",-149.8314,""
"2026/01/22","ZAU","CHICAGO","ZCG","KZAU","ARTCC","CHICAGO","IL","US",41,47,22.11,"N",41.789475,87,45,42.19,"W",-87.76171944,"FACILITY LOCATED AT AURORA, IL"
"2026/01/22","ZBW","BOSTON","ZCB","KZBW","ARTCC","NASHUA","NH","US",42,44,10.31,"N",42.73619722,71,28,50.23,"W",-71.48061944,"FACILITY LOCATED AT NASHUA, NH"
"2026/01/22","ZDC","WASHINGTON","ZCW","KZDC","ARTCC","WASHINGTON","DC","US",39,6,4.38,"N",39.10121666,77,32,33.96,"W",-77.54276666,"FACILITY LOCATED AT LEESBURG,VA"
"2026/01/22","ZDV","DENVER","ZCD","KZDV","ARTCC","DENVER","CO","US",40,11,13.94,"N",40.18720555,105,7,35.94,"W",-105.12665,"FACILITY LOCATED AT LONGMONT, CO"
"2026/01/22","ZEG","EDMONTON","ZEG","CZEG","ARTCC","EDMONTON","AB","CA",53,34,0,"N",53.56666666,113,25,0,"W",-113.41666666,""
"2026/01/22","ZFW","FORT WORTH","ZCF","KZFW","ARTCC","FORT WORTH","TX","US",32,49,51.46,"N",32.83096111,97,3,58.03,"W",-97.06611944,"FACILITY LOCATED AT FORT WORTH, TEXAS."
"2026/01/22","ZHN","HONOLULU CONTROL FACILITY","ZHN","PHZH","ARTCC","HONOLULU","HI","US",21,15,36.61,"N",21.26016944,157,48,16.12,"W",-157.80447777,"FACILITY LOCATED AT HONOLULU, HI"
"2026/01/22","ZHU","HOUSTON","ZCH","KZHU","ARTCC","HOUSTON","TX","US",29,57,38.79,"N",29.960775,95,19,50.76,"W",-95.33076666,"FACILITY LOCATED AT HOUSTON, TX"
"2026/01/22","ZID","INDIANAPOLIS","ZCI","KZID","ARTCC","INDIANAPOLIS","IN","US",39,44,18.16,"N",39.73837777,86,17,52.96,"W",-86.29804444,"FACILITY LOCATED AT INDIANAPOLIS, IN"
"2026/01/22","ZJX","JACKSONVILLE","ZCJ","KZJX","ARTCC","JACKSONVILLE","FL","US",30,42,10.84,"N",30.70301111,81,54,29.39,"W",-81.90816388,"FACILITY LOCATED AT HILLIARD,FL"
"2026/01/22","ZKC","KANSAS CITY","ZCK","KZKC","ARTCC","OLATHE","KS","US",38,52,48.02,"N",38.88000555,94,27,25.82,"W",-94.45717222,"FACILITY LOCATED AT OLATHE, KS"
"2026/01/22","ZLA","LOS ANGELES","ZCL","KZLA","ARTCC","LOS ANGELES","CA","US",34,36,10.96,"N",34.60304444,118,5,8.25,"W",-118.085625,"FACILITY LOCATED AT PALMDALE,CA"
"2026/01/22","ZLC","SALT LAKE CITY","ZCU","KZLC","ARTCC","SALT LAKE CITY","UT","US",40,47,9.8,"N",40.78605555,111,57,12.77,"W",-111.95354722,"FACILITY LOCATED AT SALT LAKE CITY, UT"
"2026/01/22","ZMA","MIAMI","ZCR","KZMA","ARTCC","MIAMI","FL","US",25,49,31.35,"N",25.825375,80,19,11.18,"W",-80.31977222,"FACILITY LOCATED AT MIAMI, FL"
"2026/01/22","ZME","MEMPHIS","ZCM","KZME","ARTCC","MEMPHIS","TN","US",35,4,0.32,"N",35.06675555,89,57,30.32,"W",-89.95842222,"FACILITY LOCATED AT MEMPHIS, TN"
"2026/01/22","ZMP","MINNEAPOLIS","ZCP","KZMP","ARTCC","MINNEAPOLIS","MN","US",44,38,14.87,"N",44.63746388,93,9,7.78,"W",-93.15216111,"FACILITY LOCATED AT FARMINGTON, MN"
"2026/01/22","ZNY","NEW YORK","ZCN","KZNY","ARTCC","NEW YORK","NY","US",40,47,2.35,"N",40.78398611,73,5,49.39,"W",-73.09705277,"FACILITY LOCATED AT RONKONKOMA,NY"
"2026/01/22","ZOA","OAKLAND","ZCO","KZOA","ARTCC","OAKLAND","CA","US",37,32,32.77,"N",37.54243611,122,0,56.86,"W",-122.01579444,"FACILITY LOCATED AT FREMONT, CA"
"2026/01/22","ZOB","CLEVELAND","ZCC","KZOB","ARTCC","CLEVELAND","OH","US",41,17,45.17,"N",41.29588055,82,12,17.55,"W",-82.204875,"FACILITY LOCATED AT OBERLIN,OH"
"2026/01/22","ZQM","MONCTON","ZQM","CZQM","ARTCC","MONCTON","NB","CA",46,4,0,"N",46.06666666,64,50,0,"W",-64.83333333,""
