CSV File,Column Name,Max Length,Data Type,Nullable
ARB_BASE,EFF_DATE,10,VARCHAR,No
ARB_BASE,LOCATION_ID,4,VARCHAR,No
ARB_BASE,LOCATION_NAME,30,VARCHAR,Yes
ARB_BASE,COMPUTER_ID,3,VARCHAR,No
ARB_BASE,ICAO_ID,7,VARCHAR,Yes
ARB_BASE,LOCATION_TYPE,5,VARCHAR,No
ARB_BASE,CITY,40,VARCHAR,No
ARB_BASE,STATE,2,VARCHAR,Yes
ARB_BASE,COUNTRY_CODE,2,VARCHAR,No
ARB_BASE,LAT_DEG,"(2,0)",NUMBER,No
ARB_BASE,LAT_MIN,"(2,0)",NUMBER,No
ARB_BASE,LAT_SEC,"(6,4)",NUMBER,No
ARB_BASE,LAT_HEMIS,1,VARCHAR,No
ARB_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
ARB_BASE,LONG_DEG,"(3,0)",NUMBER,No
ARB_BASE,LONG_MIN,"(2,0)",NUMBER,No
ARB_BASE,LONG_SEC,"(6,4)",NUMBER,No
ARB_BASE,LONG_HEMIS,1,VARCHAR,No
ARB_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
ARB_BASE,CROSS_REF,50,VARCHAR,Yes
ARB_SEG,EFF_DATE,10,VARCHAR,No
ARB_SEG,REC_ID,14,VARCHAR,No
ARB_SEG,LOCATION_ID,4,VARCHAR,No
ARB_SEG,LOCATION_NAME,30,VARCHAR,Yes
ARB_SEG,ALTITUDE,10,VARCHAR,No
ARB_SEG,TYPE,10,VARCHAR,No
ARB_SEG,POINT_SEQ,"(4,0)",NUMBER,No
ARB_SEG,LAT_DEG,"(2,0)",NUMBER,No
ARB_SEG,LAT_MIN,"(2,0)",NUMBER,No
ARB_SEG,LAT_SEC,"(6,4)",NUMBER,No
ARB_SEG,LAT_HEMIS,1,VARCHAR,No
ARB_SEG,LAT_DECIMAL,"(10,8)",NUMBER,No
ARB_SEG,LONG_DEG,"(3,0)",NUMBER,No
ARB_SEG,LONG_MIN,"(2,0)",NUMBER,No
ARB_SEG,LONG_SEC,"(6,4)",NUMBER,No
ARB_SEG,LONG_HEMIS,1,VARCHAR,No
ARB_SEG,LONG_DECIMAL,"(11,8)",NUMBER,No
ARB_SEG,BNDRY_PT_DESCRIP,300,VARCHAR,Yes
ARB_SEG,NAS_DESCRIP_FLAG,1,VARCHAR,Yes
