"EFF_DATE","SITE_NO","SITE_TYPE_CODE","FACILITY_TYPE","STATE_CODE","FACILITY_ID","CITY","COUNTRY_CODE","ICAO_ID","FACILITY_NAME","REGION_CODE","TWR_OPERATOR_CODE","TWR_CALL","TWR_HRS","PRIMARY_APCH_RADIO_CALL","APCH_P_PROVIDER","APCH_P_PROV_TYPE_CD","SECONDARY_APCH_RADIO_CALL","APCH_S_PROVIDER","APCH_S_PROV_TYPE_CD","PRIMARY_DEP_RADIO_CALL","DEP_P_PROVIDER","DEP_P_PROV_TYPE_CD","SECONDARY_DEP_RADIO_CALL","DEP_S_PROVIDER","DEP_S_PROV_TYPE_CD","CTL_FAC_APCH_DEP_CALLS","APCH_DEP_OPER_CODE","CTL_PRVDING_HRS","SECONDARY_CTL_PRVDING_HRS"
"2026/02/19","24226.1","A","NON-ATCT","TX","00R","LIVINGSTON","US","","LIVINGSTON MUNI","ASW","","","","HOUSTON ARTCC","ZHU","C","","","","HOUSTON ARTCC","ZHU","C","","","","","","",""
"2026/02/19","12385.2","A","NON-ATCT","MT","00U","HARDIN","US","","BIG HORN COUNTY","ANM","","","","SALT LAKE ARTCC","ZLC","C","","","","SALT LAKE ARTCC","ZLC","C","","","","","","",""
"2026/02/19","00233.","A","NON-ATCT","AL","02A","CLANTON","US","","CHILTON COUNTY","ASO","","","","MONTGOMERY","MGM","A","ATLANTA ARTCC","ZTL","C","MONTGOMERY","MGM","A","ATLANTA ARTCC","ZTL","C","","","",""
"2026/02/19","17881.","A","NON-ATCT","OH","02G","EAST LIVERPOOL","US","","COLUMBIANA COUNTY","AGL","","","","PITTSBURGH","PIT","A","","","","PITTSBURGH","PIT","A","","","","","","",""
"2026/02/19","11919.11","A","NON-ATCT","MO","03D","MEMPHIS","US","","MEMPHIS MEML","ACE","","","","KANSAS CITY ARTCC","ZKC","C","","","","KANSAS CITY ARTCC","ZKC","C","","","","","","",""
"2026/02/19","18744.","A","NON-ATCT","OH","04G","YOUNGSTOWN","US","","LANSDOWNE","AGL","","","","YOUNGSTOWN","YNG","A","CLEVELAND ARTCC","ZOB","C","YOUNGSTOWN","YNG","A","CLEVELAND ARTCC","ZOB","C","","","",""
"2026/02/19","10739.01","A","NON-ATCT","MN","04W","HINCKLEY","US","","FIELD OF DREAMS","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
"2026/02/19","10734.8","A","NON-ATCT","MN","04Y","HAWLEY","US","","HAWLEY MUNI","AGL","","","","FARGO","FAR","A","","","","FARGO","FAR","A","","","","","","",""
"2026/02/19","05327.","A","NON-ATCT","IN","05C","GRIFFITH","US","","GRIFFITH-MERRILLVILLE","AGL","","","","CHICAGO","C90","T","","","","CHICAGO","C90","T","","","","","","",""
"2026/02/19","17433.7","A","NON-ATCT","ND","05D","NEW TOWN","US","","NEW TOWN MUNI","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
