CSV File,Column Name,Max Length,Data Type,Nullable
ATC_ATIS,EFF_DATE,10,VARCHAR,No
ATC_ATIS,SITE_NO,9,VARCHAR,No
ATC_ATIS,SITE_TYPE_CODE,1,VARCHAR,No
ATC_ATIS,FACILITY_TYPE,12,VARCHAR,No
ATC_ATIS,STATE_CODE,2,VARCHAR,Yes
ATC_ATIS,FACILITY_ID,4,VARCHAR,No
ATC_ATIS,CITY,40,VARCHAR,No
ATC_ATIS,COUNTRY_CODE,2,VARCHAR,No
ATC_ATIS,ATIS_NO,"(3,0)",NUMBER,No
ATC_ATIS,DESCRIPTION,100,VARCHAR,Yes
ATC_ATIS,ATIS_HRS,200,VARCHAR,No
ATC_ATIS,ATIS_PHONE_NO,18,VARCHAR,Yes
ATC_BASE,EFF_DATE,10,VARCHAR,No
ATC_BASE,SITE_NO,9,VARCHAR,Yes
ATC_BASE,SITE_TYPE_CODE,1,VARCHAR,Yes
ATC_BASE,FACILITY_TYPE,12,VARCHAR,No
ATC_BASE,STATE_CODE,2,VARCHAR,Yes
ATC_BASE,FACILITY_ID,4,VARCHAR,No
ATC_BASE,CITY,40,VARCHAR,No
ATC_BASE,COUNTRY_CODE,2,VARCHAR,No
ATC_BASE,ICAO_ID,7,VARCHAR,Yes
ATC_BASE,FACILITY_NAME,50,VARCHAR,No
ATC_BASE,REGION_CODE,3,VARCHAR,Yes
ATC_BASE,TWR_OPERATOR_CODE,6,VARCHAR,Yes
ATC_BASE,TWR_CALL,26,VARCHAR,Yes
ATC_BASE,TWR_HRS,200,VARCHAR,Yes
ATC_BASE,PRIMARY_APCH_RADIO_CALL,26,VARCHAR,Yes
ATC_BASE,APCH_P_PROVIDER,700,VARCHAR,Yes
ATC_BASE,APCH_P_PROV_TYPE_CD,1,VARCHAR,Yes
ATC_BASE,SECONDARY_APCH_RADIO_CALL,26,VARCHAR,Yes
ATC_BASE,APCH_S_PROVIDER,700,VARCHAR,Yes
ATC_BASE,APCH_S_PROV_TYPE_CD,1,VARCHAR,Yes
ATC_BASE,PRIMARY_DEP_RADIO_CALL,26,VARCHAR,Yes
ATC_BASE,DEP_P_PROVIDER,700,VARCHAR,Yes
ATC_BASE,DEP_P_PROV_TYPE_CD,1,VARCHAR,Yes
ATC_BASE,SECONDARY_DEP_RADIO_CALL,26,VARCHAR,Yes
ATC_BASE,DEP_S_PROVIDER,700,VARCHAR,Yes
ATC_BASE,DEP_S_PROV_TYPE_CD,1,VARCHAR,Yes
ATC_BASE,CTL_FAC_APCH_DEP_CALLS,54,VARCHAR,Yes
ATC_BASE,APCH_DEP_OPER_CODE,1,VARCHAR,Yes
ATC_BASE,CTL_PRVDING_HRS,200,VARCHAR,Yes
ATC_BASE,SECONDARY_CTL_PRVDING_HRS,200,VARCHAR,Yes
ATC_RMK,EFF_DATE,10,VARCHAR,No
ATC_RMK,SITE_NO,9,VARCHAR,Yes
ATC_RMK,SITE_TYPE_CODE,1,VARCHAR,Yes
ATC_RMK,FACILITY_TYPE,12,VARCHAR,No
ATC_RMK,STATE_CODE,2,VARCHAR,Yes
ATC_RMK,FACILITY_ID,4,VARCHAR,No
ATC_RMK,CITY,40,VARCHAR,No
ATC_RMK,COUNTRY_CODE,2,VARCHAR,No
ATC_RMK,LEGACY_ELEMENT_NUMBER,30,VARCHAR,No
ATC_RMK,TAB_NAME,30,VARCHAR,No
ATC_RMK,REF_COL_NAME,30,VARCHAR,No
ATC_RMK,REMARK_NO,"(3,0)",NUMBER,No
ATC_RMK,REMARK,1500,VARCHAR,No
ATC_SVC,EFF_DATE,10,VARCHAR,No
ATC_SVC,SITE_NO,9,VARCHAR,Yes
ATC_SVC,SITE_TYPE_CODE,1,VARCHAR,Yes
ATC_SVC,FACILITY_TYPE,12,VARCHAR,No
ATC_SVC,STATE_CODE,2,VARCHAR,Yes
ATC_SVC,FACILITY_ID,4,VARCHAR,No
ATC_SVC,CITY,40,VARCHAR,No
ATC_SVC,COUNTRY_CODE,2,VARCHAR,No
ATC_SVC,CTL_SVC,200,VARCHAR,No
