"EFF_DATE","ASOS_AWOS_ID","ASOS_AWOS_TYPE","STATE_CODE","CITY","COUNTRY_CODE","COMMISSIONED_DATE","NAVAID_FLAG","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","SURVEY_METHOD_CODE","PHONE_NO","SECOND_PHONE_NO","SITE_NO","SITE_TYPE_CODE","REMARK"
"2026/02/19","00U","AWOS-3","MT","HARDIN","US","","N",45,44,43.15,"N",45.74531944,107,39,35.13,"W",-107.65975833,3085,"","406-665-4241","","12385.2","A",""
"2026/02/19","01G","AWOS-2","NY","PERRY","US","","N",42,44,33.44,"N",42.74262222,78,2,48.86,"W",-78.04690555,1558,"E","585-237-0235","","15942.","A",""
"2026/02/19","04V","AWOS-3P","CO","SAGUACHE","US","2003/06/04","N",38,5,57,"N",38.09916666,106,10,25,"W",-106.17361111,,"","719-655-2229","","02717.","A",""
"2026/02/19","04W","AWOS-3","MN","HINCKLEY","US","","N",46,1,22.3252,"N",46.02286811,92,53,42.6279,"W",-92.89517441,1021,"E","320-384-6169","","10739.01","A",""
"2026/02/19","05K","AWOS-3P","AK","PORT ALSWORTH","US","2020/03/16","N",60,11,49.8,"N",60.19716666,154,19,26.9,"W",-154.32413888,288,"E","336-837-4290","","50610.82","A",""
"2026/02/19","05U","AWOS-3","NV","EUREKA","US","2004/04/14","N",39,36,7.28,"N",39.60202222,116,0,21.87,"W",-116.006075,5957,"","775-237-6133","","13054.","A",""
"2026/02/19","06C","AWOS-3","IL","CHICAGO/SCHAUMBURG","US","2016/12/20","N",41,59,32.4365,"N",41.99234347,88,6,32.8666,"W",-88.10912961,800,"E","(847) 895-2887","","04518.8","A",""
"2026/02/19","06D","AWOS-3","ND","ROLLA","US","","N",48,53,3.9,"N",48.88441666,99,37,14.7,"W",-99.62075,1822.6,"","701-477-0055","","17454.","A",""
"2026/02/19","06U","AWOS-AV","NV","JACKPOT","US","2014/05/06","N",41,58,58.41,"N",41.98289166,114,39,46.29,"W",-114.66285833,5210,"E","775-755-2297","","13079.25","A",""
"2026/02/19","07FA","AWOS-3T","FL","KEY LARGO","US","","N",25,13,13.73,"N",25.22048055,80,16,48.74,"W",-80.28020555,4,"E","305-367-3013","","03260.8","A",""
"2026/02/19","08D","AWOS-3","ND","STANLEY","US","","N",48,18,6.6331,"N",48.30184252,102,24,15.2169,"W",-102.40422691,2239,"S","701-628-1737","","17463.01","A",""
"2026/02/19","09CA","AWOS-AV","CA","KING CITY","US","","N",36,12,20.16,"N",36.2056,121,7,59.06,"W",-121.13307222,319,"","831-386-7456","","01713.01","H",""
"2026/02/19","0A0","AWOS-3PT","NM","TRUTH OR CONSEQUENCES","US","2020/03/23","N",32,59,24,"N",32.99,106,58,3,"W",-106.9675,429,"E","575-267-8806","","","","0A0 AWOS-3PT IS ASSOCIATED WITH SPACEPORT AMERICA ARPT, 9NM9."
"2026/02/19","0A9","AWOS-3PT","TN","ELIZABETHTON","US","1992/07/28","N",36,22,15.96,"N",36.3711,82,10,36.55,"W",-82.17681944,1592.5,"S","423-543-1801","","22960.2","A",""
"2026/02/19","0B1","AWOS-AV","ME","BETHEL","US","2009/12/17","N",44,25,22.68,"N",44.42296666,70,48,28.07,"W",-70.80779722,657,"E","207-512-2516","","07840.","A","WND/CIG/T/DP UNRELIABLE.; ACTVT AWOS-AV VIA PHONE OR 119.075."
"2026/02/19","0CO","AWOS-3","CO","EMPIRE","US","","N",39,47,40,"N",39.79444444,105,45,47,"W",-105.76305555,12493,"","","","","","STAND-ALONE FACILITY NOT ASSOCIATED WITH AN AIRPORT OR NAVAID."
"2026/02/19","0D8","AWOS-3P","SD","GETTYSBURG","US","","N",44,59,9.6233,"N",44.98600647,99,57,18.9843,"W",-99.95527341,2053.9,"S","605-765-0132","","22686.8","A",""
"2026/02/19","0E0","AWOS-3","NM","MORIARTY","US","2014/08/06","N",34,59,1.3688,"N",34.98371355,105,59,44.7412,"W",-105.99576144,6218,"S","505-832-9379","","14665.32","A",""
"2026/02/19","0F2","AWOS-3PT","TX","BOWIE","US","","N",33,36,3.9275,"N",33.60109097,97,46,24.7031,"W",-97.77352863,1087.4,"S","940-872-2366","","23469.2","A",""
"2026/02/19","0G7","AWOS-3","NY","SENECA FALLS","US","2006/03/01","N",42,53,0.8,"N",42.88355555,76,46,52.2,"W",-76.78116666,491.8,"S","315-568-5362","","16144.","A",""
"2026/02/19","0J4","ASOS","AL","FLORALA","US","","N",31,2,41.15,"N",31.04476388,86,18,43,"W",-86.31194444,314,"S","334-858-4843","","00308.5","A",""
"2026/02/19","0R0","AWOS-3PT","MS","COLUMBIA","US","2013/11/08","N",31,17,48.9567,"N",31.29693241,89,48,57.3766,"W",-89.81593794,248.1,"S","601-736-4983","","11191.","A",""
"2026/02/19","0R4","AWOS-3","LA","VIDALIA","US","2016/01/20","N",31,33,49.5,"N",31.56375,91,30,35.3,"W",-91.50980555,55,"","318-336-8028","","07764.1","A",""
"2026/02/19","0S9","AWOS-3P","WA","PORT TOWNSEND","US","2015/01/08","N",48,3,29,"N",48.05805555,122,48,41,"W",-122.81138888,106.5,"","360-379-1199","","26363.","A",""
"2026/02/19","0V4","AWOS-3","VA","BROOKNEAL","US","2013/08/27","N",37,8,23.65,"N",37.13990277,79,1,1.63,"W",-79.01711944,605,"","434-283-7826","","25658.13","A",""
"2026/02/19","0V7","AWOS-3PT","AZ","KAYENTA","US","","N",36,42,52.22,"N",36.71450555,110,13,46.82,"W",-110.22967222,5710,"","928-697-3638","","00712.8","A",""
"2026/02/19","0VG","AWOS-3","VA","JONESVILLE","US","2012/05/25","N",36,39,27.4115,"N",36.6576143,83,12,52.734,"W",-83.21464833,1394.5,"S","276-346-3333","","25836.4","A",""
"2026/02/19","0W3","AWOS-3PT","MD","CHURCHVILLE","US","2023/12/11","N",39,34,12.76,"N",39.57021111,76,12,25.64,"W",-76.20712222,441,"","667-340-6003","","08491.","A",""
