CSV File,Column Name,Max Length,Data Type,Nullable
AWOS,EFF_DATE,10,VARCHAR,No
AWOS,ASOS_AWOS_ID,4,VARCHAR,No
AWOS,ASOS_AWOS_TYPE,10,VARCHAR,No
AWOS,STATE_CODE,2,VARCHAR,Yes
AWOS,CITY,40,VARCHAR,No
AWOS,COUNTRY_CODE,2,VARCHAR,No
AWOS,COMMISSIONED_DATE,10,VARCHAR,Yes
AWOS,NAVAID_FLAG,1,VARCHAR,No
AWOS,LAT_DEG,"(2,0)",NUMBER,Yes
AWOS,LAT_MIN,"(2,0)",NUMBER,Yes
AWOS,LAT_SEC,"(6,4)",NUMBER,Yes
AWOS,LAT_HEMIS,1,VARCHAR,Yes
AWOS,LAT_DECIMAL,"(10,8)",NUMBER,Yes
AWOS,LONG_DEG,"(3,0)",NUMBER,Yes
AWOS,LONG_MIN,"(2,0)",NUMBER,Yes
AWOS,LONG_SEC,"(6,4)",NUMBER,Yes
AWOS,LONG_HEMIS,1,VARCHAR,Yes
AWOS,LONG_DECIMAL,"(11,8)",NUMBER,Yes
AWOS,ELEV,"(6,1)",NUMBER,Yes
AWOS,SURVEY_METHOD_CODE,1,VARCHAR,Yes
AWOS,PHONE_NO,14,VARCHAR,Yes
AWOS,SECOND_PHONE_NO,14,VARCHAR,Yes
AWOS,SITE_NO,9,VARCHAR,Yes
AWOS,SITE_TYPE_CODE,1,VARCHAR,Yes
AWOS,REMARK,1500,VARCHAR,Yes
