"EFF_DATE","REGULATORY","AWY_DESIGNATION","AWY_LOCATION","AWY_ID","UPDATE_DATE","REMARK","AIRWAY_STRING"
"2026/01/22","N","PA","C","A216","2014/06/02","","MONPI OATSS RIDLL LOEBB HOOVR GALEE FACED"
"2026/01/22","N","PA","C","A220","2014/08/13","","MAEVA CRONN BINGE AHNDO MANEY MAFIC CINNY"
"2026/01/22","N","PA","C","A221","2021/06/14","","CULPS ERTTS MONIE LULJY HEXUG WILLE"
"2026/01/22","N","PA","C","A222","2024/05/22","","UNZ CLANS AXIDE FIBSS KRONK ADUFO PNI AXTEN UKS STEFF RASON"
"2026/01/22","N","AT","C","A315","2024/09/06","","ZBV SWIMM TINKY PEKRE JAYEE HODGY AMBIS DUNNO ACMEE KNSLY JOSES"
"2026/01/22","N","PA","C","A331","2014/06/10","","ZIGIE ZOULU ZEMOM ZINNO ZAGER ZANNG SEDAR"
"2026/01/22","N","PA","C","A332","2014/06/02","","AUNTI HALLI HELOP HEKAB HEMLO"
"2026/01/22","N","PA","C","A337","2014/06/02","","JUNIE AXIDE FONUG SNAPP TEEDE TEGOD"
"2026/01/22","N","PA","C","A339","2014/06/02","","SHREE WRNNR TILLY KEITH"
"2026/01/22","N","PA","A","A342","2021/10/04","","NUZAN OPAKE PINSO AMOND DRAPP CRYPT CDB"
"2026/01/22","N","PA","C","A450","2015/03/24","","CAHYO TNUGE PIGFA LOEBB BUCAT UNZ BAGBE HOPPY FONUG STINE DEWSS JIMOS NGUEN NATIE RESEE SYSTA BRIUN HOOPA KATHS"
"2026/01/22","N","AT","C","A509","2024/05/14","","URSUS ELLEE EONNS JURER DHP MARCI"
"2026/01/22","N","AT","C","A517","2018/11/02","","ZPATA PJM"
"2026/01/22","N","AT","C","A554","2017/05/01","","LAMER RODRK CERDA EYSEL NETTA GTK TAANA SEKAR"
"2026/01/22","N","AT","C","A555","2024/09/06","","ILURI PORQE COY VEDAS TUUNA DDP IDAHO HARDE GRADI KARRN SEBUG COCBU GTK MAYAG RATTL EGANN MICAS BTLER GUANA INDEE DUKKY GEROT DONEZ BOSAR LEPAS ZQA HINZY PRUNE RAJAY ZBV"
"2026/01/22","N","PA","C","A578","2017/03/06","","PNI AFOYU FENSE"
"2026/01/22","N","PA","C","A579","2022/03/17","","CARRP CHEEM CROBY CEBUR CUFFY"
"2026/01/22","N","PA","A","A590","2024/03/28","","PASRO POWAL PLADO PINSO POOFF PINTT PTZGR PUGGY POETT SELDM PORGE HAMND"
"2026/01/22","N","PA","C","A597","2014/06/04","","ADBON OKOLE GALSS JUNIE OPLAR GUMGE UNZ WUVEN REEDE RICHH MONPI"
"2026/01/22","N","PA","C","A598","2014/06/04","","MARTI MAJ"
"2026/01/22","N","AT","C","A638","2022/10/14","","STT GUYRO SLUGO PJM"
"2026/01/22","N","AT","C","A699","2024/03/28","","SUMRS LOUIZ HOOKY NUCAR STIFF RAMJT PERMT PBI"
"2026/01/22","N","AT","C","A756","2021/08/18","","BODLO KNSLY ROSEA DUKKY"
"2026/01/22","N","AT","C","A766","2021/12/15","","SBI LAURL KLAMS KENGS KELPP KEHLI"
"2026/01/22","N","AT","C","A770","2012/11/06","","LEV DOLPH ALGAE KEHLI"
"2026/01/22","N","AT","C","AR10","2013/03/12","","DHP TURBO PREDA ZAPPA"
"2026/01/22","N","AT","C","AR11","2019/06/27","VIRGINIA KEY R-058 UNUSABLE JANUS TO VALLY","VKZ JANUS VALLY"
"2026/01/22","N","AT","C","AR12","2021/08/17","","DEDDY PITRW SNNTA OGGRE EBEAR DIZNY RROOO HARON JAINS"
"2026/01/22","N","AT","C","AR15","2025/02/21","","BAHAA HIBAC PETEE APOLO MALET ORL"
"2026/01/22","N","AT","C","AR16","2022/12/29","","PERMT LENDS GRUBR SNABS SEELO"
"2026/01/22","N","AT","C","AR17","2024/05/10","","WAALT OSTNN ACMED OGGRE NRRSE BAHAA HIBAC VKZ"
"2026/01/22","N","AT","C","AR18","2025/02/21","","WOLFO RAMJT ETECK PELCN OZENA ROWSY FLRDA"
"2026/01/22","N","AT","C","AR19","2024/05/10","","MAJIK FLAMU RAZZL AAARG JRDAN SAGGY CHIEZ"
"2026/01/22","N","AT","C","AR22","2024/05/10","","HOAGG MEIGS DUUNK SPOOF IDOLS SKARP"
"2026/01/22","N","AT","C","AR23","2022/09/06","","URSUS ZFP CANIT OZENA"
"2026/01/22","N","AT","C","AR24","2022/09/06","","URSUS ZFP BRATZ OHLAA COACH TYCAL JAZZI"
