CSV File,Column Name,Max Length,Data Type,Nullable
AWY_BASE,EFF_DATE,10,VARCHAR,No
AWY_BASE,REGULATORY,1,VARCHAR,No
AWY_BASE,AWY_DESIGNATION,2,VARCHAR,No
AWY_BASE,AWY_LOCATION,1,VARCHAR,No
AWY_BASE,AWY_ID,12,VARCHAR,No
AWY_BASE,UPDATE_DATE,10,VARCHAR,No
AWY_BASE,REMARK,1500,VARCHAR,Yes
AWY_BASE,AIRWAY_STRING,1500,VARCHAR,No
AWY_SEG_ALT,EFF_DATE,10,VARCHAR,No
AWY_SEG_ALT,REGULATORY,1,VARCHAR,No
AWY_SEG_ALT,AWY_LOCATION,1,VARCHAR,No
AWY_SEG_ALT,AWY_ID,12,VARCHAR,No
AWY_SEG_ALT,POINT_SEQ,"(3,0)",NUMBER,No
AWY_SEG_ALT,FROM_POINT,30,VARCHAR,No
AWY_SEG_ALT,FROM_PT_TYPE,25,VARCHAR,Yes
AWY_SEG_ALT,NAV_NAME,30,VARCHAR,Yes
AWY_SEG_ALT,NAV_CITY,40,VARCHAR,Yes
AWY_SEG_ALT,ARTCC,4,VARCHAR,Yes
AWY_SEG_ALT,ICAO_REGION_CODE,2,VARCHAR,Yes
AWY_SEG_ALT,STATE_CODE,2,VARCHAR,Yes
AWY_SEG_ALT,COUNTRY_CODE,2,VARCHAR,Yes
AWY_SEG_ALT,TO_POINT,30,VARCHAR,Yes
AWY_SEG_ALT,MAG_COURSE,"(5,2)",NUMBER,Yes
AWY_SEG_ALT,OPP_MAG_COURSE,"(5,2)",NUMBER,Yes
AWY_SEG_ALT,MAG_COURSE_DIST,"(5,2)",NUMBER,Yes
AWY_SEG_ALT,CHGOVR_PT,4,VARCHAR,Yes
AWY_SEG_ALT,CHGOVR_PT_NAME,30,VARCHAR,Yes
AWY_SEG_ALT,CHGOVR_PT_DIST,"(3,0)",NUMBER,Yes
AWY_SEG_ALT,AWY_SEG_GAP_FLAG,1,VARCHAR,No
AWY_SEG_ALT,SIGNAL_GAP_FLAG,1,VARCHAR,No
AWY_SEG_ALT,DOGLEG,1,VARCHAR,No
AWY_SEG_ALT,NEXT_MEA_PT,30,VARCHAR,No
AWY_SEG_ALT,MIN_ENROUTE_ALT,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,MIN_ENROUTE_ALT_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,MIN_ENROUTE_ALT_OPPOSITE,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,MIN_ENROUTE_ALT_OPPOSITE_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,GPS_MIN_ENROUTE_ALT,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,GPS_MIN_ENROUTE_ALT_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,GPS_MIN_ENROUTE_ALT_OPPOSITE,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,GPS_MEA_OPPOSITE_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,DD_IRU_MEA,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,DD_IRU_MEA_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,DD_I_MEA_OPPOSITE,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,DD_I_MEA_OPPOSITE_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,MIN_OBSTN_CLNC_ALT,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,MIN_CROSS_ALT,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,MIN_CROSS_ALT_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,MIN_CROSS_ALT_NAV_PT,30,VARCHAR,Yes
AWY_SEG_ALT,MIN_CROSS_ALT_OPPOSITE,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,MIN_CROSS_ALT_OPPOSITE_DIR,7,VARCHAR,Yes
AWY_SEG_ALT,MIN_RECEP_ALT,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,MAX_AUTH_ALT,"(5,0)",NUMBER,Yes
AWY_SEG_ALT,MEA_GAP,1,VARCHAR,Yes
AWY_SEG_ALT,REQD_NAV_PERFORMANCE,"(4,2)",NUMBER,Yes
AWY_SEG_ALT,REMARK,1500,VARCHAR,Yes
