"EFF_DATE","REGULATORY","AWY_LOCATION","AWY_ID","POINT_SEQ","FROM_POINT","FROM_PT_TYPE","NAV_NAME","NAV_CITY","ARTCC","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","TO_POINT","MAG_COURSE","OPP_MAG_COURSE","MAG_COURSE_DIST","CHGOVR_PT","CHGOVR_PT_NAME","CHGOVR_PT_DIST","AWY_SEG_GAP_FLAG","SIGNAL_GAP_FLAG","DOGLEG","NEXT_MEA_PT","MIN_ENROUTE_ALT","MIN_ENROUTE_ALT_DIR","MIN_ENROUTE_ALT_OPPOSITE","MIN_ENROUTE_ALT_OPPOSITE_DIR","GPS_MIN_ENROUTE_ALT","GPS_MIN_ENROUTE_ALT_DIR","GPS_MIN_ENROUTE_ALT_OPPOSITE","GPS_MEA_OPPOSITE_DIR","DD_IRU_MEA","DD_IRU_MEA_DIR","DD_I_MEA_OPPOSITE","DD_I_MEA_OPPOSITE_DIR","MIN_OBSTN_CLNC_ALT","MIN_CROSS_ALT","MIN_CROSS_ALT_DIR","MIN_CROSS_ALT_NAV_PT","MIN_CROSS_ALT_OPPOSITE","MIN_CROSS_ALT_OPPOSITE_DIR","MIN_RECEP_ALT","MAX_AUTH_ALT","MEA_GAP","REQD_NAV_PERFORMANCE","REMARK"
"2026/01/22","N","C","A216",10,"MONPI","WP   ","","","ZAK","P","OP","US","OATSS",163.32,342.18,269.2,"","",,"N","N","N","OATSS",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A216",20,"OATSS","WP   ","","","ZAK","P","OP","US","RIDLL",161.74,341.54,43.21,"","",,"N","N","N","RIDLL",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A216",30,"RIDLL","WP   ","","","ZAK","P","OP","US","LOEBB",177.15,356.07,229.1,"","",,"N","N","N","LOEBB",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A216",40,"LOEBB","WP   ","","","ZAK","P","OP","US","HOOVR",176.07,355.46,139.29,"","",,"N","N","N","HOOVR",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A216",50,"HOOVR","WP   ","","","ZAK","P","OP","US","GALEE",170.12,348.86,297.19,"","",,"N","N","N","GALEE",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A216",60,"GALEE","WP   ","","","ZAK","P","OP","US","FACED",173.43,352.35,299.42,"","",,"N","N","N","FACED",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A216",70,"FACED","WP   ","","","ZAK","P","OP","US","",,,,"","",,"N","N","N","",18000,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A220",10,"MAEVA","WP   ","","","ZOA","P","OP","US","CRONN",14.01,194.27,341.03,"","",,"N","N","N","CRONN",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A220",20,"CRONN","WP   ","","","ZOA","P","OP","US","BINGE",14.27,194.38,504.35,"","",,"N","N","N","BINGE",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A220",30,"BINGE","WP   ","","","ZOA","P","OP","US","AHNDO",14.86,194.98,524.93,"","",,"N","N","N","AHNDO",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,,"",,""
"2026/01/22","N","C","A220",40,"AHNDO","WP   ","","","ZAK","P","OP","US","MANEY",13.52,194.1,498.05,"","",,"N","N","N","MANEY",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A220",50,"MANEY","WP   ","","","ZOA","P","OP","US","MAFIC",14.1,194.79,255.06,"","",,"N","N","N","MAFIC",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A220",60,"MAFIC","WP   ","","","ZOA","P","OP","US","CINNY",15.88,195.99,30.15,"","",,"N","N","N","CINNY",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A220",70,"CINNY","WP   ","","","ZOA","P","OP","US","",194.48,14.39,30.15,"","",,"N","N","N","",5500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
"2026/01/22","N","C","A221",10,"CULPS","RP   ","","","ZAK","P","MP","US","ERTTS",21.79,201.84,11,"","",,"N","N","N","ERTTS",1500,"",,"",,"",,"",,"",,"",,,"","",,"",,60000,"",,""
