RCode,Orig,Dest,DepFix,Route String,DCNTR,ACNTR,TCNTRs,CoordReq,Play,NavEqp,Length
ABECLTGV,KABE,KCLT,LRP,KABE LRP EMI GVE AIROW CHSLY6 KCLT,ZNY,ZTL,ZDC ZNY ZTL,N,,1,426
ABECLTHV,KABE,KCLT,ETX,KABE ETX RAV J64 BURNI TYROO QUARM AIR HVQ LNDIZ PARQR4 KCLT,ZNY,ZTL,ZID ZNY ZOB ZTL,N,,1,573
ABQASESK,KABQ,KASE,RSK,KABQ LARGO3 RSK SLIPY LOYYD1 KASE,ZAB,ZDV,ZAB ZDV,N,,1,419
ABQATLER,KABQ,KATL,CNX,KABQ CNX J15 CME BGS SAT Q24 LSU SHYRE HOBTT3 KATL,ZAB,ZTL,ZAB ZFW ZHU ZTL,N,ATL NO CHPPR GLAVN,3,1366
ABQATLLG,KABQ,KATL,TCC,KABQ TCC J6 IRW FSM MEM HUTCC KNSAW RUSSA GLAVN2 KATL,ZAB,ZTL,ZAB ZFW ZME ZTL,N,,1,1147
ABQATLNB,KABQ,KATL,CNX,KABQ CNX J15 CME J65 ABI J4 FUZ Q184 MERDN ORRKK HOBTT3 KATL,ZAB,ZTL,ZAB ZFW ZME ZTL,N,,2,1236
ABQBWICE,KABQ,KBWI,CNX,KABQ CNX J15 CME FST J86 IAH J2 CEW ALLMA TEEEM Q99 OGRAE GOOOB THHMP RAVNN8 KBWI,ZAB,ZDC,ZAB ZDC ZFW ZHU ZJX,Y,CEW,1,1950
ABQBWIFR,KABQ,KBWI,FTI,KABQ FTI J18 SLN J24 STL ENL IIU ZIEBR SITTR CJAAE RAVNN8 KBWI,ZAB,ZDC,ZAB ZDC ZID ZKC,N,MCI,1,1545
ABQBWIJ1,KABQ,KBWI,ALS,KABQ ALS J13 FQF J128 HCT J60 JOT J30 APE AIR KEMAN ANTHM5 KBWI,ZAB,ZDC,ZAB ZAU ZDC ZDV ZID ZMP ZNY ZOB,N,JOT 1,1,1629
ABQBWIJ2,KABQ,KBWI,ALS,KABQ ALS PUB J64 HLC PWE LMN MZV JOT J30 APE AIR KEMAN ANTHM5 KBWI,ZAB,ZDC,ZAB ZAU ZDC ZDV ZID ZMP ZNY ZOB,N,JOT 2,1,1580
ABQBWILL,KABQ,KBWI,FTI,KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN8 KBWI,ZAB,ZDC,ZAB ZDC ZID ZKC,Y,IIU,1,1516
ABQBWINA,KABQ,KBWI,TCC,KABQ TCC J6 IRW FSM MEMFS Q34 SITTR CJAAE RAVNN8 KBWI,ZAB,ZDC,ZAB ZDC ZFW ZID ZME,Y,HITMN,1,1541
ABQBWIPX,KABQ,KBWI,FTI,KABQ FTI EZEEE MMB PER SGF J98 FAM J78 IIU ZIEBR SITTR CJAAE RAVNN8 KBWI,ZAB,ZDC,ZAB ZDC ZID ZKC,N,PXV,1,1516
ABQBWIVZ,KABQ,KBWI,CME,KABQ MNZNO3 CME J15 INK J4 FUZ UIM ELD IZAAC Q30 VLKNN THRSR KBLER KELLN Q58 PEETT THHMP RAVNN8 KBWI,ZAB,ZDC,ZAB ZDC ZFW ZME ZTL,Y,VLKNN,2,1771
ABQCVGCV,KABQ,KCVG,FTI,KABQ FTI J18 GCK DAAVE SARGO5 KCVG,ZAB,ZID,ZAB ZID ZKC,N,,1,1093
ABQDALBG,KABQ,KDAL,CNX,KABQ CNX CME FST JCT DITSY BACHR4 KDAL,ZAB,ZFW,ZAB ZFW ZHU,N,DFW BGTOE,2,704
ABQDALBV,KABQ,KDAL,TXO,KABQ DOOKK3 TXO TURKI JFRYE5 KDAL,ZAB,ZFW,ZAB ZFW,N,DFW BOOVE,2,546
ABQDALVK,KABQ,KDAL,CNX,KABQ CNX CME BGS BGTOE BACHR4 KDAL,ZAB,ZFW,ZAB ZFW,N,DFW VKTRY,2,584
ABQDALWT,KABQ,KDAL,CNX,KABQ CNX J15 JCT CWK TNV MAJKK REDDN4 KDAL,ZAB,ZFW,ZAB ZFW ZHU,N,DFW WEST,1,826
ABQDENPW,KABQ,KDEN,RSK,KABQ LARGO3 RSK SHNPS TBARR4 KDEN,ZAB,ZDV,ZAB ZDV,N,,1,398
ABQDFWBG,KABQ,KDFW,CNX,KABQ CNX CME FST JCT GUTZZ BOOVE7 KDFW,ZAB,ZFW,ZAB ZFW ZHU,N,DFW BGTOE,2,713
ABQDFWBV,KABQ,KDFW,TXO,KABQ DOOKK3 TXO TURKI VKTRY2 KDFW,ZAB,ZFW,ZAB ZFW,N,DFW BOOVE,2,516
ABQDFWVK,KABQ,KDFW,CNX,KABQ CNX CME BGS GEEKY BOOVE7 KDFW,ZAB,ZFW,ZAB ZFW,N,DFW VKTRY,2,584
ABQDFWWT,KABQ,KDFW,CNX,KABQ CNX J15 JCT CWK TNV STUFT BEREE3 KDFW,ZAB,ZFW,ZAB ZFW ZHU,N,DFW WEST,1,852
ABQEGESK,KABQ,KEGE,RSK,KABQ LARGO3 RSK IBSKI AAVON1 KEGE,ZAB,ZDV,ZAB ZDV,N,,2,503
ABQGJTSK,KABQ,KGJT,RSK,KABQ LARGO3 RSK DVC JNC KGJT,ZAB,ZDV,ZAB ZDV,N,,1,303
ABQHDNSK,KABQ,KHDN,RSK,KABQ LARGO3 RSK DRO EKR CHE KHDN,ZAB,ZDV,ZAB ZDV,N,,1,388
ABQHOUDB,KABQ,KHOU,CNX,KABQ CNX CME BGS JCT SAT BELLR6 KHOU,ZAB,ZHU,ZAB ZFW ZHU,N,IAH DOOBI NORTH,1,711
