"EFF_DATE","COMM_LOC_ID","COMM_TYPE","NAV_ID","NAV_TYPE","CITY","STATE_CODE","REGION_CODE","COUNTRY_CODE","COMM_OUTLET_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","FACILITY_ID","FACILITY_NAME","ALT_FSS_ID","ALT_FSS_NAME","OPR_HRS","COMM_STATUS_CODE","COMM_STATUS_DATE","REMARK"
"2026/02/19","05U","RCO","","","EUREKA","NV","AWP","US","EUREKA",39,28,46.7,"N",39.47963888,115,59,30.2,"W",-115.99172222,"RNO","RENO","","","24","A","2020/04/24",""
"2026/02/19","06D","RCO","","","ROLLA","ND","AGL","US","ROLLA",48,56,12,"N",48.93666666,99,56,41,"W",-99.94472222,"GFK","GRAND FORKS","","","24","A","",""
"2026/02/19","06U","RCO","","","JACKPOT","NV","AWP","US","JACKPOT",41,58,45.6,"N",41.97933333,114,40,15,"W",-114.67083333,"RNO","RENO","","","24","A","1979/12/11",""
"2026/02/19","0I4","RCO","","","FORT DRUM","FL","ASO","US","FORT DRUM",27,33,0,"N",27.55,80,48,0,"W",-80.8,"PIE","SAINT PETERSBURG","","","24","A","2001/12/20",""
"2026/02/19","1AA","RCO","","","JUMP-OFF-JOE","WA","ANM","US","JUMP-OFF-JOE",46,6,14.5,"N",46.10402777,119,7,55,"W",-119.13194444,"SEA","SEATTLE","","","24","A","1981/12/18",""
"2026/02/19","1B9","RCO","","","MANSFIELD","MA","ANE","US","MANSFIELD",42,0,15,"N",42.00416666,71,12,8,"W",-71.20222222,"BDR","BRIDGEPORT","","","24","A","",""
"2026/02/19","1BL","RCO","","","BLISS","ID","ANM","US","BLISS",42,54,59.6,"N",42.91655555,114,47,3.2,"W",-114.78422222,"BOI","BOISE","","","24","A","",""
"2026/02/19","1CC","RCO","","","THOMPSON PASS","AK","AAL","US","THOMPSON PASS",61,2,19.1,"N",61.03863888,145,58,56.3,"W",-145.98230555,"JNU","JUNEAU","","","24","A","1990/01/23",""
"2026/02/19","1CD","RCO","","","BADGER MOUNTAIN","CO","ANM","US","BADGER MOUNTAIN",39,2,56,"N",39.04888888,105,30,44,"W",-105.51222222,"DEN","DENVER","","","24","A","1980/10/30",""
"2026/02/19","1CE","RCO","","","OLYMPIA","WA","ANM","US","BUCKHORN MTN",46,32,29.4,"N",46.5415,123,1,16.5,"W",-123.02125,"SEA","SEATTLE","","","24","A","1985/03/27",""
