"EFF_DATE","DP_NAME","AMENDMENT_NO","ARTCC","DP_AMEND_EFF_DATE","RNAV_FLAG","DP_COMPUTER_CODE","GRAPHICAL_DP_TYPE","SERVED_ARPT"
"2026/01/22","ACCRA","FIVE","ZAU","2020/03/26","Y","ACCRA5.ACCRA","SID","57C BUU ENW ETB HXF MKE MWC RAC UES"
"2026/01/22","ACONY","THREE","ZSU","2019/01/03","Y","ACONY3.ACONY","SID","SJU"
"2026/01/22","ADAMM","THREE","ZLA","2020/01/30","N","ADAMM3.ADAMM","SID","VNY"
"2026/01/22","ADELL","SEVEN","ZAU","2024/10/31","Y","ADELL7.ADELL","SID","ARR DPA GYY LOT"
"2026/01/22","ADEXE","ONE","ZLC","2017/10/12","Y","ADEXE1.ADEXE","OBSTACLE","MAN"
"2026/01/22","ADIBE","ONE","ZLC","2024/07/11","Y","ADIBE1.ADIBE","OBSTACLE","U34"
"2026/01/22","ADYOS","THREE","ZAB","2015/06/25","Y","ADYOS3.ADYOS","SID","ABQ"
"2026/01/22","AEROZ","TWO","ZHU","2021/04/22","Y","AEROZ2.AEROZ","SID","3R9 AUS EDC GTU HYI RYW T74"
"2026/01/22","AFTON","FOUR","ZLC","2018/07/19","Y","AFTON4.GIGSE","OBSTACLE","AFO"
"2026/01/22","AGERS","ONE","ZMA","2022/05/19","Y","AGERS1.AGERS","SID","FLL"
"2026/01/22","AHABB","ONE","ZMA","2026/01/22","Y","AHABB1.AHABB","OBSTACLE","PBI"
"2026/01/22","AHEHU","THREE","ZLC","2016/03/31","Y","AHEHU3.AHEHU","SID","SMN"
"2026/01/22","AHMET","FIVE","ZOB","2025/11/27","Y","AHMET5.KKIDS","SID","BKL CGF LNN LPR"
"2026/01/22","AJOFY","ONE","ZAN","2021/12/02","Y","AJOFY1.AJOFY","OBSTACLE","CJX"
"2026/01/22","AKIAK","ONE","ZAN","2009/08/27","Y","AKIAK1.BET","OBSTACLE","AKI"
"2026/01/22","AKUMY","FIVE","ZAN","2023/08/10","Y","AKUMY5.AKUMY","OBSTACLE","AKP"
"2026/01/22","AKUNA","NINE","ZFW","2020/11/05","Y","AKUNA9.AKUNA","SID","DFW"
"2026/01/22","ALAMO","FIVE","ZHU","2025/08/07","N","ALAMO5.ALAMO","SID","SAT SSF"
"2026/01/22","ALBANY","SEVEN","ZBW","2018/07/19","N","ALB7.ALB","SID","ALB"
"2026/01/22","ALBUQUERQUE","THREE","ZAB","2017/10/12","N","ABQ3.ABQ","SID","ABQ"
"2026/01/22","ALCOS","SIX","ZDV","2016/07/21","N","ALCOS6.ALCOS","SID","CPR"
"2026/01/22","ALEXANDRIA","THREE","ZHU","2021/10/07","N","AEX3.AEX","SID","AXH CXO DWH EFD GLS HOU IAH IWS LBX SGR T41 TME"
"2026/01/22","ALIAN","TWO","ZFW","2016/02/04","Y","ALIAN2.ALIAN","SID","DFW"
"2026/01/22","ALICO","SEVEN","ZMA","2020/12/31","N","ALICO7.ALICO","SID","RSW"
"2026/01/22","ALISS","SEVEN","ZHU","2025/08/07","Y","ALISS7.ALISS","SID","5C1 BAZ CVB PEZ RND SAT SKF SSF"
"2026/01/22","ALKAL","ONE","ZLC","2022/05/19","Y","ALKAL1.ALKAL","OBSTACLE","U76"
"2026/01/22","ALLEGHENY","NINE","ZOB","2018/09/13","N","AGC9.AGC","SID","AGC"
"2026/01/22","ALMDN","FOUR","ZOA","2018/02/01","Y","ALMDN4.ALMDN","SID","SJC"
"2026/01/22","ALMON","ONE","ZAB","2010/07/29","Y","ALMON1.ALMON","OBSTACLE","RYN"
"2026/01/22","ALPIN","FOUR","ZLC","2023/04/20","N","ALPIN4.KICNE","SID","JAC"
"2026/01/22","ALPYN","ONE","ZOA","2022/11/03","Y","ALPYN1.ALPYN","SID","RNO"
"2026/01/22","ALTNN","TWO","ZMA","2024/03/21","Y","ALTNN2.ALTNN","SID","HST MIA OPF TMB X51"
"2026/01/22","AMEDEE","ONE","ZOA","2004/02/19","N","AHC1.AHC","OBSTACLE","SVE"
"2026/01/22","AMEEE","ONE","ZDC","2020/12/31","Y","AMEEE1.AMEEE","SID","DCA"
"2026/01/22","AMERY","FOUR","ZHN","2017/12/07","N","AMERY4.AMERY","SID","KOA"
"2026/01/22","ANAHEIM","ONE","ZLA","2018/07/19","N","ANAHM1.SLI","SID","FUL LGB SNA"
