CSV File,Column Name,Max Length,Data Type,Nullable
DP_BASE,EFF_DATE,10,VARCHAR,No
DP_BASE,DP_NAME,30,VARCHAR,No
DP_BASE,AMENDMENT_NO,5,VARCHAR,No
DP_BASE,ARTCC,12,VARCHAR,Yes
DP_BASE,DP_AMEND_EFF_DATE,10,VARCHAR,No
DP_BASE,RNAV_FLAG,1,VARCHAR,No
DP_BASE,DP_COMPUTER_CODE,12,VARCHAR,No
DP_BASE,GRAPHICAL_DP_TYPE,9,VARCHAR,No
DP_BASE,SERVED_ARPT,200,VARCHAR,No
DP_APT,EFF_DATE,10,VARCHAR,No
DP_APT,DP_NAME,30,VARCHAR,No
DP_APT,ARTCC,12,VARCHAR,Yes
DP_APT,DP_COMPUTER_CODE,12,VARCHAR,No
DP_APT,BODY_NAME,110,VARCHAR,No
DP_APT,BODY_SEQ,"(1,0)",NUMBER,No
DP_APT,ARPT_ID,4,VARCHAR,No
DP_APT,RWY_END_ID,3,VARCHAR,Yes
DP_RTE,EFF_DATE,10,VARCHAR,No
DP_RTE,DP_NAME,30,VARCHAR,No
DP_RTE,ARTCC,12,VARCHAR,Yes
DP_RTE,DP_COMPUTER_CODE,12,VARCHAR,No
DP_RTE,ROUTE_PORTION_TYPE,10,VARCHAR,No
DP_RTE,ROUTE_NAME,110,VARCHAR,No
DP_RTE,BODY_SEQ,"(1,0)",NUMBER,No
DP_RTE,TRANSITION_COMPUTER_CODE,20,VARCHAR,Yes
DP_RTE,POINT_SEQ,"(3,0)",NUMBER,No
DP_RTE,POINT,10,VARCHAR,No
DP_RTE,ICAO_REGION_CODE,2,VARCHAR,Yes
DP_RTE,POINT_TYPE,25,VARCHAR,No
DP_RTE,NEXT_POINT,10,VARCHAR,Yes
DP_RTE,ARPT_RWY_ASSOC,1500,VARCHAR,Yes
