"EFF_DATE","DP_NAME","ARTCC","DP_COMPUTER_CODE","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2026/01/22","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",10,"ACCRA","K5","WP   ","HHHUL","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/01/22","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",20,"HHHUL","K5","WP   ","LVENS","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/01/22","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",30,"LVENS","K5","WP   ","KAJJY","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/01/22","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",40,"KAJJY","K5","WP   ","WENUL","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/01/22","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",50,"WENUL","K5","WP   ","FANZI","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/01/22","ACCRA","ZAU","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",60,"FANZI","K5","WP   ","","57C/08, 57C/26, BUU/11, BUU/29, ENW, ETB, HXF/09, HXF/27, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC/04L, MWC/15L, MWC/22R, MWC/33R, RAC, UES"
"2026/01/22","ACONY","ZSU","ACONY3.ACONY","BODY","ACONY-PALDE",1,"",10,"PALDE","K","WP   ","ACONY","SJU/08, SJU/10, SJU/26, SJU/28"
"2026/01/22","ACONY","ZSU","ACONY3.ACONY","BODY","ACONY-PALDE",1,"",20,"ACONY","K","WP   ","","SJU/08, SJU/10, SJU/26, SJU/28"
"2026/01/22","ACONY","ZSU","ACONY3.ACONY","TRANSITION","SAPPO TRANSITION",1,"ACONY3.SAPPO",10,"SAPPO","K","WP   ","PALDE",""
"2026/01/22","ACONY","ZSU","ACONY3.ACONY","TRANSITION","SAPPO TRANSITION",1,"ACONY3.SAPPO",20,"PALDE","K","WP   ","",""
