"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","FIX_ID_OLD","CHARTING_REMARK","FIX_USE_CODE","ARTCC_ID_HIGH","ARTCC_ID_LOW","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","MIN_RECEP_ALT","COMPULSORY","CHARTS"
"2026/02/19","AAALL","K6","MA","US",42,7,12.68,"N",42.12018888,71,8,30.34,"W",-71.14176111,"","","WP   ","ZBW","ZBW","N","N","N",,"","IAP"
"2026/02/19","AAAME","K2","CA","US",37,46,15.27,"N",37.77090833,122,4,58.12,"W",-122.08281111,"","","WP   ","ZOA","ZOA","N","N","N",,"","STAR"
"2026/02/19","AAARG","K","OA","US",32,41,38.27,"N",32.69396388,78,3,4.66,"W",-78.05129444,"","","WP   ","ZJX","ZJX","N","N","N",,"","CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,WESTERN ATLANTIC ROUTE"
"2026/02/19","AAARN","K7","GA","US",34,16,53.39,"N",34.28149722,85,16,5.42,"W",-85.26817222,"","","WP   ","ZTL","ZTL","N","N","N",,"","CONTROLLER,ENROUTE LOW,STAR"
"2026/02/19","AABBZ","K5","KY","US",37,52,24.6,"N",37.8735,86,18,31.36,"W",-86.30871111,"","","WP   ","ZID","ZID","N","N","N",,"","STAR"
"2026/02/19","AABEE","K7","GA","US",34,4,5,"N",34.06805555,84,12,51.71,"W",-84.21436388,"MOROW","RNAV","RP   ","ZTL","ZTL","N","N","N",,"","IAP"
"2026/02/19","AABER","K7","FL","US",26,4,22,"N",26.07277777,81,19,48,"W",-81.33,"","","WP   ","ZMA","ZMA","N","N","N",,"","ENROUTE HIGH,ENROUTE LOW"
"2026/02/19","AABEY","K5","KY","US",38,7,22.52,"N",38.12292222,85,30,50.07,"W",-85.51390833,"","","WP   ","ZID","ZID","N","N","N",,"","IAP"
"2026/02/19","AABEZ","K3","MN","US",44,47,17.1,"N",44.78808333,93,0,16.96,"W",-93.00471111,"","RNAV","RP   ","ZMP","ZMP","N","N","N",,"","IAP"
"2026/02/19","AABGL","K5","IN","US",38,14,40.14,"N",38.24448333,85,58,26.54,"W",-85.97403888,"","","WP   ","ZID","ZID","N","N","N",,"","IAP"
"2026/02/19","AABLE","K5","IL","US",40,10,15.34,"N",40.17092777,90,39,31.93,"W",-90.65886944,"","","WP   ","ZKC","ZKC","N","N","N",,"","IAP"
"2026/02/19","AACES","K4","OK","US",35,16,19.51,"N",35.27208611,97,8,39.98,"W",-97.14443888,"","","WP   ","ZFW","ZFW","N","N","N",,"","STAR"
"2026/02/19","AACEZ","K","OA","US",34,33,10,"N",34.55277777,73,59,48,"W",-73.99666666,"AACES","","WP   ","ZDC","ZDC","N","N","N",,"","NOT REQUIRED"
"2026/02/19","AADCO","K2","UT","US",39,47,5.35,"N",39.78481944,112,27,42.57,"W",-112.461825,"","","RP   ","ZLC","ZLC","N","N","N",,"","CONTROLLER LOW,ENROUTE LOW,IAP"
