"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC"
"2026/02/19","AAALL","K6","MA","US","IAP"
"2026/02/19","AAAME","K2","CA","US","STAR"
"2026/02/19","AAARG","K","OA","US","CONTROLLER HIGH"
"2026/02/19","AAARG","K","OA","US","CONTROLLER LOW"
"2026/02/19","AAARG","K","OA","US","ENROUTE HIGH"
"2026/02/19","AAARG","K","OA","US","ENROUTE LOW"
"2026/02/19","AAARG","K","OA","US","WESTERN ATLANTIC ROUTE"
"2026/02/19","AAARN","K7","GA","US","CONTROLLER"
"2026/02/19","AAARN","K7","GA","US","ENROUTE LOW"
"2026/02/19","AAARN","K7","GA","US","STAR"
"2026/02/19","AABBZ","K5","KY","US","STAR"
"2026/02/19","AABEE","K7","GA","US","IAP"
"2026/02/19","AABER","K7","FL","US","ENROUTE HIGH"
"2026/02/19","AABER","K7","FL","US","ENROUTE LOW"
"2026/02/19","AABEY","K5","KY","US","IAP"
"2026/02/19","AABEZ","K3","MN","US","IAP"
"2026/02/19","AABGL","K5","IN","US","IAP"
"2026/02/19","AABLE","K5","IL","US","IAP"
"2026/02/19","AACES","K4","OK","US","STAR"
"2026/02/19","AACEZ","K","OA","US","NOT REQUIRED"
"2026/02/19","AADCO","K2","UT","US","CONTROLLER LOW"
"2026/02/19","AADCO","K2","UT","US","ENROUTE LOW"
"2026/02/19","AADCO","K2","UT","US","IAP"
"2026/02/19","AADDY","K6","MD","US","SID"
"2026/02/19","AADEN","K7","GA","US","CONTROLLER HIGH"
"2026/02/19","AADEN","K7","GA","US","CONTROLLER LOW"
"2026/02/19","AADEN","K7","GA","US","ENROUTE HIGH"
"2026/02/19","AADEN","K7","GA","US","ENROUTE LOW"
"2026/02/19","AADEN","K7","GA","US","STAR"
"2026/02/19","AADIE","K5","IN","US","STAR"
"2026/02/19","AADMS","K6","MA","US","CONTROLLER LOW"
"2026/02/19","AADMS","K6","MA","US","ENROUTE LOW"
"2026/02/19","AADMS","K6","MA","US","IAP"
"2026/02/19","AADMS","K6","MA","US","STAR"
"2026/02/19","AADPO","P","AS","US","ENROUTE LOW"
"2026/02/19","AAERO","K2","CO","US","SPECIAL DP"
"2026/02/19","AAERO","K2","CO","US","SPECIAL IAP"
"2026/02/19","AAFRE","K6","PA","US","SPECIAL IAP"
"2026/02/19","AAGEE","K2","CO","US","IAP"
"2026/02/19","AAGIN","K5","IL","US","CONTROLLER LOW"
"2026/02/19","AAGIN","K5","IL","US","ENROUTE LOW"
"2026/02/19","AAHOY","K","OG","US","STAR"
"2026/02/19","AAHZZ","K4","TX","US","STAR"
"2026/02/19","AAIRE","K7","SC","US","STAR"
"2026/02/19","AAIRR","K6","VA","US","SPECIAL IAP"
"2026/02/19","AAITT","PA","AK","US","NOT REQUIRED"
"2026/02/19","AAJAE","K4","LA","US","MILITARY IAP"
"2026/02/19","AAJAY","K5","KY","US","STAR"
"2026/02/19","AAKAY","K7","GA","US","IAP"
"2026/02/19","AAKAY","K7","GA","US","STAR"
"2026/02/19","AALAN","K2","AZ","US","CONTROLLER HIGH"
"2026/02/19","AALAN","K2","AZ","US","CONTROLLER LOW"
"2026/02/19","AALAN","K2","AZ","US","ENROUTE HIGH"
"2026/02/19","AALAN","K2","AZ","US","ENROUTE LOW"
"2026/02/19","AALAN","K2","AZ","US","STAR"
"2026/02/19","AALEX","K7","SC","US","STAR"
"2026/02/19","AALII","K4","AR","US","MILITARY IAP"
"2026/02/19","AALIX","K1","WA","US","CONTROLLER LOW"
"2026/02/19","AALIX","K1","WA","US","ENROUTE LOW"
"2026/02/19","AALLE","K2","CO","US","STAR"
"2026/02/19","AALNG","K1","MT","US","SID"
"2026/02/19","AALYS","K6","ME","US","CONTROLLER LOW"
"2026/02/19","AALYS","K6","ME","US","ENROUTE LOW"
"2026/02/19","AALYS","K6","ME","US","IAP"
"2026/02/19","AAMBR","K3","MO","US","IAP"
"2026/02/19","AAMEE","K5","IL","US","IAP"
"2026/02/19","AAMMO","K7","NC","US","MILITARY IAP"
"2026/02/19","AAMOS","K7","FL","US","CONTROLLER LOW"
"2026/02/19","AAMOS","K7","FL","US","ENROUTE LOW"
"2026/02/19","AAMOS","K7","FL","US","STAR"
"2026/02/19","AAMYY","P","OP","US","CONTROLLER HIGH"
"2026/02/19","AAMYY","P","OP","US","ENROUTE HIGH"
"2026/02/19","AAMYY","P","OP","US","NORTH PACIFIC ROUTE"
"2026/02/19","AANAH","K3","MN","US","STAR"
"2026/02/19","AANDD","K4","OK","US","IAP"
"2026/02/19","AANDI","K7","MS","US","MILITARY IAP"
"2026/02/19","AANDY","K3","IA","US","STAR"
"2026/02/19","AANET","K2","CA","US","STAR"
"2026/02/19","AANNE","K2","CA","US","CONTROLLER LOW"
"2026/02/19","AANNE","K2","CA","US","IAP"
"2026/02/19","AANNN","K6","VA","US","IAP"
"2026/02/19","AANTS","K6","VA","US","CONTROLLER LOW"
"2026/02/19","AANTS","K6","VA","US","ENROUTE LOW"
"2026/02/19","AANZA","K3","MN","US","IAP"
"2026/02/19","AARBY","K3","MO","US","IAP"
"2026/02/19","AARCH","K5","IL","US","CONTROLLER LOW"
"2026/02/19","AARCH","K5","IL","US","ENROUTE LOW"
"2026/02/19","AARCH","K5","IL","US","STAR"
"2026/02/19","AARCI","K2","CA","US","MILITARY IAP"
"2026/02/19","AAREE","K4","LA","US","MILITARY IAP"
"2026/02/19","AAREN","K7","NC","US","IAP"
"2026/02/19","AARES","PH","HI","US","CONTROLLER LOW"
"2026/02/19","AARES","PH","HI","US","ENROUTE LOW"
"2026/02/19","AARES","PH","HI","US","SID"
"2026/02/19","AARGH","K4","OK","US","IAP"
"2026/02/19","AARIN","K5","IN","US","CONTROLLER"
"2026/02/19","AARIN","K5","IN","US","SECTIONAL"
"2026/02/19","AARNN","K7","NC","US","CONTROLLER HIGH"
"2026/02/19","AARNN","K7","NC","US","CONTROLLER LOW"
"2026/02/19","AARNN","K7","NC","US","ENROUTE HIGH"
"2026/02/19","AARON","K1","OR","US","STAR"
"2026/02/19","AARPS","K7","FL","US","CONTROLLER HIGH"
"2026/02/19","AARPS","K7","FL","US","CONTROLLER LOW"
"2026/02/19","AARPS","K7","FL","US","ENROUTE HIGH"
"2026/02/19","AARPS","K7","FL","US","ENROUTE LOW"
"2026/02/19","AARPS","K7","FL","US","SID"
"2026/02/19","AARTA","K7","AL","US","IAP"
"2026/02/19","AARUN","K","OA","US","CONTROLLER"
"2026/02/19","AARUN","K","OA","US","SID"
"2026/02/19","AARWX","K7","FL","US","CONTROLLER HIGH"
"2026/02/19","AARWX","K7","FL","US","CONTROLLER LOW"
"2026/02/19","AASEN","K1","WA","US","IAP"
"2026/02/19","AASEN","K1","WA","US","MILITARY IAP"
"2026/02/19","AASON","K2","NV","US","IAP"
"2026/02/19","AASPN","K2","CA","US","STAR"
"2026/02/19","AASTN","K6","VA","US","CONTROLLER LOW"
"2026/02/19","AASTN","K6","VA","US","ENROUTE LOW"
"2026/02/19","AASTN","K6","VA","US","IAP"
"2026/02/19","AASTN","K6","VA","US","SID"
"2026/02/19","AASUM","K6","ME","US","IAP"
"2026/02/19","AASUN","K3","MN","US","IAP"
"2026/02/19","AASUN","K3","MN","US","MILITARY IAP"
"2026/02/19","AATAT","K7","GA","US","CONTROLLER"
"2026/02/19","AATAT","K7","GA","US","ENROUTE HIGH"
"2026/02/19","AATAT","K7","GA","US","STAR"
"2026/02/19","AATRE","PH","HI","US","SPECIAL IAP"
"2026/02/19","AAVON","K2","CO","US","STAR"
"2026/02/19","AAVVA","K6","VA","US","IAP"
"2026/02/19","AAYDE","K5","WI","US","CONTROLLER LOW"
"2026/02/19","AAYDE","K5","WI","US","ENROUTE LOW"
"2026/02/19","AAYDE","K5","WI","US","SPECIAL DP"
"2026/02/19","AAYDE","K5","WI","US","SPECIAL IAP"
"2026/02/19","AAYES","K2","CO","US","IAP"
"2026/02/19","AAYES","K2","CO","US","STAR"
"2026/02/19","AAYJY","K2","CA","US","SID"
"2026/02/19","AAYRR","K1","WA","US","STAR"
"2026/02/19","ABASN","K2","CO","US","STAR"
"2026/02/19","ABSAW","K3","MN","US","SPECIAL DP"
"2026/02/19","ABSAW","K3","MN","US","SPECIAL IAP"
"2026/02/19","ACABE","K7","TN","US","IAP"
"2026/02/19","ACACE","K3","MN","US","IAP"
"2026/02/19","ACACO","K2","UT","US","IAP"
"2026/02/19","ACADI","K6","VA","US","SPECIAL DP"
"2026/02/19","ACADI","K6","VA","US","SPECIAL IAP"
"2026/02/19","ACADN","CY","","CA","NOT REQUIRED"
"2026/02/19","ACADO","K4","TX","US","IAP"
"2026/02/19","ACAFI","K1","MT","US","IAP"
"2026/02/19","ACAFO","K6","NY","US","IAP"
"2026/02/19","ACAGI","K2","CO","US","ENROUTE LOW"
"2026/02/19","ACAGI","K2","CO","US","IAP"
"2026/02/19","ACAGO","K2","UT","US","IAP"
"2026/02/19","ACAGO","K2","UT","US","SID"
"2026/02/19","ACAGU","K2","NM","US","CONTROLLER"
"2026/02/19","ACAGU","K2","NM","US","ENROUTE LOW"
"2026/02/19","ACAGU","K2","NM","US","IAP"
"2026/02/19","ACAKO","K1","MT","US","CONTROLLER"
"2026/02/19","ACAKO","K1","MT","US","ENROUTE LOW"
"2026/02/19","ACAKO","K1","MT","US","IAP"
"2026/02/19","ACALE","K4","AR","US","STAR"
"2026/02/19","ACANO","K5","MI","US","IAP"
"2026/02/19","ACANY","K3","NE","US","IAP"
"2026/02/19","ACAPE","K1","MT","US","IAP"
"2026/02/19","ACAPO","K5","OH","US","IAP"
"2026/02/19","ACAPU","K7","FL","US","IAP"
"2026/02/19","ACARA","K2","NV","US","SPECIAL IAP"
"2026/02/19","ACARI","K6","PA","US","SPECIAL IAP"
"2026/02/19","ACASA","K2","","FM","SPECIAL IAP"
"2026/02/19","ACATA","K5","IL","US","SPECIAL DP"
"2026/02/19","ACATA","K5","IL","US","SPECIAL IAP"
"2026/02/19","ACATE","PA","AK","US","CONTROLLER LOW"
"2026/02/19","ACATE","PA","AK","US","ENROUTE LOW"
"2026/02/19","ACATI","K5","MI","US","IAP"
"2026/02/19","ACAVA","K2","CO","US","IAP"
"2026/02/19","ACAVU","K6","PA","US","IAP"
"2026/02/19","ACAYO","K3","NE","US","IAP"
"2026/02/19","ACAZE","K6","NY","US","IAP"
"2026/02/19","ACCHE","K7","FL","US","CONTROLLER LOW"
"2026/02/19","ACCHE","K7","FL","US","ENROUTE LOW"
"2026/02/19","ACCHE","K7","FL","US","SID"
"2026/02/19","ACCIO","K4","TX","US","SPECIAL DP"
"2026/02/19","ACCIO","K4","TX","US","SPECIAL IAP"
"2026/02/19","ACCOM","K6","VA","US","CONTROLLER"
"2026/02/19","ACCOM","K6","VA","US","ENROUTE LOW"
"2026/02/19","ACCOM","K6","VA","US","IAP"
"2026/02/19","ACCOW","K6","NH","US","IAP"
"2026/02/19","ACCRA","K5","IL","US","CONTROLLER"
"2026/02/19","ACCRA","K5","IL","US","ENROUTE HIGH"
"2026/02/19","ACCRA","K5","IL","US","ENROUTE LOW"
"2026/02/19","ACCRA","K5","IL","US","SID"
"2026/02/19","ACDAV","PA","AK","US","IAP"
