CSV File,Column Name,Max Length,Data Type,Nullable
FIX_BASE,EFF_DATE,10,VARCHAR,No
FIX_BASE,FIX_ID,30,VARCHAR,No
FIX_BASE,ICAO_REGION_CODE,2,VARCHAR,No
FIX_BASE,STATE_CODE,2,VARCHAR,Yes
FIX_BASE,COUNTRY_CODE  ,2,VARCHAR,No
FIX_BASE,LAT_DEG,"(2,0)",NUMBER,No
FIX_BASE,LAT_MIN,"(2,0)",NUMBER,No
FIX_BASE,LAT_SEC,"(6,4)",NUMBER,No
FIX_BASE,LAT_HEMIS,1,VARCHAR,No
FIX_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
FIX_BASE,LONG_DEG,"(3,0)",NUMBER,No
FIX_BASE,LONG_MIN,"(2,0)",NUMBER,No
FIX_BASE,LONG_SEC,"(6,4)",NUMBER,No
FIX_BASE,LONG_HEMIS,1,VARCHAR,No
FIX_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
FIX_BASE,FIX_ID_OLD,30,VARCHAR,Yes
FIX_BASE,CHARTING_REMARK,38,VARCHAR,Yes
FIX_BASE,FIX_USE_CODE,5,VARCHAR,No
FIX_BASE,ARTCC_ID_HIGH,4,VARCHAR,Yes
FIX_BASE,ARTCC_ID_LOW,4,VARCHAR,No
FIX_BASE,PITCH_FLAG,1,VARCHAR,No
FIX_BASE,CATCH_FLAG,1,VARCHAR,No
FIX_BASE,SUA_ATCAA_FLAG,1,VARCHAR,No
FIX_BASE,MIN_RECEP_ALT,"(5,0)",NUMBER,Yes
FIX_BASE,COMPULSORY,8,VARCHAR,Yes
FIX_BASE,CHARTS,600,VARCHAR,Yes
FIX_CHRT,EFF_DATE,10,VARCHAR,No
FIX_CHRT,FIX_ID,30,VARCHAR,No
FIX_CHRT,ICAO_REGION_CODE,2,VARCHAR,No
FIX_CHRT,STATE_CODE,2,VARCHAR,Yes
FIX_CHRT,COUNTRY_CODE,2,VARCHAR,No
FIX_CHRT,CHARTING_TYPE_DESC,22,VARCHAR,No
FIX_NAV,EFF_DATE,10,VARCHAR,No
FIX_NAV,FIX_ID,30,VARCHAR,No
FIX_NAV,ICAO_REGION_CODE,2,VARCHAR,No
FIX_NAV,STATE_CODE,2,VARCHAR,Yes
FIX_NAV,COUNTRY_CODE,2,VARCHAR,No
FIX_NAV,NAV_ID,6,VARCHAR,No
FIX_NAV,NAV_TYPE,25,VARCHAR,No
FIX_NAV,BEARING,"(5,2)",NUMBER,Yes
FIX_NAV,DISTANCE,"(7,2)",NUMBER,Yes
