"EFF_DATE","FACILITY","FAC_NAME","FACILITY_TYPE","ARTCC_OR_FSS_ID","CPDLC","TOWER_HRS","SERVICED_FACILITY","SERVICED_FAC_NAME","SERVICED_SITE_TYPE","LAT_DECIMAL","LONG_DECIMAL","SERVICED_CITY","SERVICED_STATE","SERVICED_COUNTRY","TOWER_OR_COMM_CALL","PRIMARY_APPROACH_RADIO_CALL","FREQ","SECTORIZATION","FREQ_USE","REMARK"
"2026/02/19","00A","TOTAL RF","NON-ATCT","","","","00A","TOTAL RF","HELIPORT",40.07083333,-74.93361111,"BENSALEM","PA","US","","","122.9","","CTAF",""
"2026/02/19","00C","ANIMAS AIR PARK","NON-ATCT","","","","00C","ANIMAS AIR PARK","AIRPORT",37.20317833,-107.86919527,"DURANGO","CO","US","","","122.8","","CTAF",""
"2026/02/19","00C","ANIMAS AIR PARK","NON-ATCT","","","","00C","ANIMAS AIR PARK","AIRPORT",37.20317833,-107.86919527,"DURANGO","CO","US","","","122.8","","UNICOM",""
"2026/02/19","00F","BROADUS","NON-ATCT","","","","00F","BROADUS","AIRPORT",45.47047222,-105.45713888,"BROADUS","MT","US","","","122.9","","CTAF","PAPI RY 10 AND RY 28; MIRL RY 10/28 OPER DUSK-1000; AFTER 1000 ACTVT - CTAF."
"2026/02/19","00M","THIGPEN FLD","NON-ATCT","","","","00M","THIGPEN FLD","AIRPORT",31.95375,-89.23533333,"BAY SPRINGS","MS","US","","","122.9","","CTAF",""
"2026/02/19","00N","BUCKS","NON-ATCT","","","","00N","BUCKS","AIRPORT",39.47373919,-75.18456752,"BRIDGETON","NJ","US","","","122.9","","CTAF","ACTVT LIRL RWY 18/36 - CTAF."
"2026/02/19","00OI","MIAMI VALLEY HOSPITAL","NON-ATCT","","","","00OI","MIAMI VALLEY HOSPITAL","HELIPORT",39.74491894,-84.18726127,"DAYTON","OH","US","","","123.05","","UNICOM",""
"2026/02/19","00R","LIVINGSTON MUNI","NON-ATCT","","","","00R","LIVINGSTON MUNI","AIRPORT",30.68586111,-95.01791666,"LIVINGSTON","TX","US","","","122.7","","CTAF",""
"2026/02/19","00R","LIVINGSTON MUNI","NON-ATCT","","","","00R","LIVINGSTON MUNI","AIRPORT",30.68586111,-95.01791666,"LIVINGSTON","TX","US","","","122.7","","UNICOM",""
"2026/02/19","00S","MC KENZIE BRIDGE STATE","NON-ATCT","","","","00S","MC KENZIE BRIDGE STATE","AIRPORT",44.18155555,-122.08555555,"MC KENZIE BRIDGE","OR","US","","","122.9","","CTAF",""
"2026/02/19","00TX","DELVA FLD","NON-ATCT","","","","00TX","DELVA FLD","AIRPORT",32.544452,-95.67313,"VAN","TX","US","","","122.725","","UNICOM",""
"2026/02/19","00U","BIG HORN COUNTY","NON-ATCT","","","","00U","BIG HORN COUNTY","AIRPORT",45.74438888,-107.66044444,"HARDIN","MT","US","","","122.8","","CTAF","ACTVT CTAF; ACTVT PAPI RWY 8 & 26; MIRL RWY 8/26 - CTAF."
"2026/02/19","00U","BIG HORN COUNTY","NON-ATCT","","","","00U","BIG HORN COUNTY","AIRPORT",45.74438888,-107.66044444,"HARDIN","MT","US","","","122.8","","UNICOM",""
"2026/02/19","00U","","ASOS_AWOS","","","","00U","","AWOS-3",45.74531944,-107.65975833,"HARDIN","MT","US","","","118.325","","00U AWOS-3",""
"2026/02/19","00W","LOWER GRANITE STATE","NON-ATCT","","","","00W","LOWER GRANITE STATE","AIRPORT",46.67275,-117.44166666,"COLFAX","WA","US","","","122.9","","CTAF",""
