CSV File,Column Name,Max Length,Data Type,Nullable
FRQ,EFF_DATE,10,VARCHAR,No
FRQ,FACILITY,30,VARCHAR,Yes
FRQ,FAC_NAME,50,VARCHAR,Yes
FRQ,FACILITY_TYPE,12,VARCHAR,No
FRQ,ARTCC_OR_FSS_ID,4,VARCHAR,Yes
FRQ,CPDLC,100,VARCHAR,Yes
FRQ,TOWER_HRS,200,VARCHAR,Yes
FRQ,SERVICED_FACILITY,30,VARCHAR,No
FRQ,SERVICED_FAC_NAME,50,VARCHAR,Yes
FRQ,SERVICED_SITE_TYPE,25,VARCHAR,Yes
FRQ,LAT_DECIMAL,"(10,8)",NUMBER,Yes
FRQ,LONG_DECIMAL,"(11,8)",NUMBER,Yes
FRQ,SERVICED_CITY,40,VARCHAR,Yes
FRQ,SERVICED_STATE,2,VARCHAR,Yes
FRQ,SERVICED_COUNTRY,2,VARCHAR,Yes
FRQ,TOWER_OR_COMM_CALL,30,VARCHAR,Yes
FRQ,PRIMARY_APPROACH_RADIO_CALL,26,VARCHAR,Yes
FRQ,FREQ,40,VARCHAR,Yes
FRQ,SECTORIZATION,50,VARCHAR,Yes
FRQ,FREQ_USE,600,VARCHAR,Yes
FRQ,REMARK,1500,VARCHAR,Yes
