"EFF_DATE","FSS_ID","NAME","UPDATE_DATE","FSS_FAC_TYPE","VOICE_CALL","CITY","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","OPR_HOURS","FAC_STATUS","ALTERNATE_FSS","WEA_RADAR_FLAG","PHONE_NO","TOLL_FREE_NO"
"2026/02/19","ABQ","ALBUQUERQUE","2024/11/27","RADIO","ALBUQUERQUE","ALBUQUERQUE","NM","US",35,2,20.1536,"N",35.03893155,106,36,29.7438,"W",-106.60826216,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","ANB","ANNISTON","2025/05/13","RADIO","ANNISTON","ANNISTON","AL","US",31,16,32.79,"N",31.275775,85,42,48.06,"W",-85.71335,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","AND","ANDERSON","2024/02/07","RADIO","ANDERSON","ANDERSON","SC","US",34,29,40.5,"N",34.49458333,82,42,33.8,"W",-82.70938888,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","AOO","ALTOONA","2023/04/17","RADIO","ALTOONA","ALTOONA","PA","US",40,17,46.94,"N",40.29637222,78,19,12.083,"W",-78.32002305,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","BDR","BRIDGEPORT","2024/08/23","RADIO","BRIDGEPORT","BRIDGEPORT","CT","US",41,9,48.5,"N",41.16347222,73,7,34.2,"W",-73.12616666,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","BGR","BANGOR","2024/04/03","RADIO","BANGOR","BANGOR","ME","US",44,48,26.8,"N",44.80744444,68,49,41.3,"W",-68.82813888,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","BNA","NASHVILLE","2023/04/17","RADIO","NASHVILLE","NASHVILLE","TN","US",36,7,28.1,"N",36.12447222,86,40,41.5,"W",-86.67819444,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","BOI","BOISE","2024/02/27","RADIO","BOISE","BOISE","ID","US",43,33,51.7,"N",43.56436111,116,13,22.3,"W",-116.22286111,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","BRW","BARROW","2025/07/09","FSS","BARROW","UTQIAGVIK","AK","US",71,17,5.5,"N",71.28486111,156,46,6.9,"W",-156.76858333,"0600-2200; OT CTC FAIRBANKS FSS.","A","FAI","N","907-852-2511","LC852-2511"
"2026/02/19","BTV","BURLINGTON","2023/04/17","RADIO","BURLINGTON","BURLINGTON","VT","US",44,28,18.7,"N",44.47186111,73,9,11.8,"W",-73.15327777,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","BUF","BUFFALO","2023/04/17","RADIO","BUFFALO","BUFFALO","NY","US",42,54,3.69,"N",42.901025,78,52,4.36,"W",-78.86787777,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","CDB","COLD BAY","2020/07/13","FSS","COLD BAY","COLD BAY","AK","US",55,12,21.3,"N",55.20591666,162,43,34.5,"W",-162.72625,"0800-1745; OT CTC KENAI FSS.","A","ENA","N","907-532-2466","1-800-478-7250"
"2026/02/19","CDC","CEDAR CITY","2023/08/14","RADIO","CEDAR CITY","CEDAR CITY","UT","US",37,42,3.479,"N",37.70096638,113,5,55.845,"W",-113.09884583,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","CLE","CLEVELAND","2023/04/17","RADIO","CLEVELAND","CLEVELAND","OH","US",41,24,42.083,"N",41.41168972,81,50,59.259,"W",-81.84979416,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","COU","COLUMBIA","2024/09/16","RADIO","COLUMBIA","COLUMBIA","MO","US",38,49,5.135,"N",38.81809305,92,13,10.665,"W",-92.21962916,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","CPR","CASPER","2023/08/18","RADIO","CASPER","CASPER","WY","US",42,54,28.8,"N",42.908,106,27,51.9,"W",-106.46441666,"24","A","","N","","1-800-WX-BRIEF"
"2026/02/19","CXO","MONTGOMERY COUNTY","2023/04/17","RADIO","MONTGOMERY COUNTY","HOUSTON","TX","US",30,21,6.6,"N",30.35183333,95,24,52.083,"W",-95.4144675,"24","A","","N","","1-800-WX-BRIEF"
