CSV File,Column Name,Max Length,Data Type,Nullable
HPF_BASE,EFF_DATE,10,VARCHAR,No
HPF_BASE,HP_NAME,80,VARCHAR,No
HPF_BASE,HP_NO,"(3,0)",NUMBER,No
HPF_BASE,STATE_CODE,2,VARCHAR,Yes
HPF_BASE,COUNTRY_CODE,2,VARCHAR,No
HPF_BASE,FIX_ID,30,VARCHAR,Yes
HPF_BASE,ICAO_REGION_CODE,2,VARCHAR,Yes
HPF_BASE,NAV_ID,6,VARCHAR,Yes
HPF_BASE,NAV_TYPE,25,VARCHAR,Yes
HPF_BASE,HOLD_DIRECTION,3,VARCHAR,Yes
HPF_BASE,HOLD_DEG_OR_CRS,3,VARCHAR,Yes
HPF_BASE,AZIMUTH,4,VARCHAR,No
HPF_BASE,COURSE_INBOUND_DEG,"(3,0)",NUMBER,Yes
HPF_BASE,TURN_DIRECTION,3,VARCHAR,No
HPF_BASE,LEG_LENGTH_DIST,"(2,0)",NUMBER,Yes
HPF_CHRT,EFF_DATE,10,VARCHAR,No
HPF_CHRT,HP_NAME,80,VARCHAR,No
HPF_CHRT,HP_NO,"(3,0)",NUMBER,No
HPF_CHRT,STATE_CODE,2,VARCHAR,Yes
HPF_CHRT,COUNTRY_CODE,2,VARCHAR,No
HPF_CHRT,CHARTING_TYPE_DESC,22,VARCHAR,No
HPF_RMK,EFF_DATE,10,VARCHAR,No
HPF_RMK,HP_NAME,80,VARCHAR,No
HPF_RMK,HP_NO,"(3,0)",NUMBER,No
HPF_RMK,STATE_CODE,2,VARCHAR,Yes
HPF_RMK,COUNTRY_CODE,2,VARCHAR,No
HPF_RMK,TAB_NAME,30,VARCHAR,No
HPF_RMK,REF_COL_NAME,30,VARCHAR,No
HPF_RMK,REF_COL_SEQ_NO,"(3,0)",NUMBER,No
HPF_RMK,REMARK,300,VARCHAR,No
HPF_SPD_ALT,EFF_DATE,10,VARCHAR,No
HPF_SPD_ALT,HP_NAME,80,VARCHAR,No
HPF_SPD_ALT,HP_NO,"(3,0)",NUMBER,No
HPF_SPD_ALT,STATE_CODE,2,VARCHAR,Yes
HPF_SPD_ALT,COUNTRY_CODE,2,VARCHAR,No
HPF_SPD_ALT,SPEED_RANGE,7,VARCHAR,No
HPF_SPD_ALT,ALTITUDE,10,VARCHAR,No
