"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","STATE_NAME","REGION_CODE","RWY_LEN","RWY_WIDTH","CATEGORY","OWNER","OPERATOR","APCH_BEAR","MAG_VAR","MAG_VAR_HEMIS","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","LOC_FREQ","BK_COURSE_STATUS_CODE"
"2026/02/19","00128.","A","AL","ANB","ANNISTON","US","05","ANB","LS","ALABAMA","ASO",7002,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",52.45,4,"W","OPERATIONAL RESTRICTED","2017/07/18",33,35,47.2749,"N",33.59646525,85,50,48.9232,"W",-85.84692311,"T",606.3,111.5,""
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","36","AUO","LD","ALABAMA","ASO",5264,100,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",5.04,4,"W","OPERATIONAL IFR","1983/04/28",32,37,22.77,"N",32.62299166,85,26,9.52,"W",-85.43597777,"F",779,110.1,""
"2026/02/19","00157.1","A","AL","EKY","BESSEMER","US","05","EKY","LD","ALABAMA","ASO",6007,100,"I","F-FAA","F-FAA",52.81,3,"W","OPERATIONAL IFR","1996/06/20",33,19,10.9555,"N",33.31970986,86,54,58.6472,"W",-86.91629088,"Z",717.7,111.75,""
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","06","BHM","LS","ALABAMA","ASO",12007,150,"II","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",58.47,3,"W","OPERATIONAL IFR","1980/12/24",33,34,30.3973,"N",33.57511036,86,44,10.5553,"W",-86.73626536,"T",656.6,110.3,"Y"
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","18","BXO","LE","ALABAMA","ASO",7099,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",183.03,3,"W","OPERATIONAL RESTRICTED","2017/08/10",33,33,3.3227,"N",33.55092297,86,44,49.9245,"W",-86.74720125,"T",634.8,111.3,""
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","24","ROE","LD","ALABAMA","ASO",12007,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",238.48,3,"W","OPERATIONAL IFR","1976/09/23",33,33,11.1635,"N",33.55310097,86,46,28.1362,"W",-86.77448227,"T",592.3,109.5,""
"2026/02/19","00251.","A","AL","DCU","DECATUR","US","18","DCU","LD","ALABAMA","ASO",6107,100,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",185.12,4,"W","OPERATIONAL IFR","2010/10/12",34,38,34.4,"N",34.64288888,86,56,44.26,"W",-86.94562777,"F",585,110.55,""
"2026/02/19","00267.","A","AL","DHN","DOTHAN","US","14","ODA","LD","ALABAMA","ASO",8500,150,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",137.94,3,"W","OPERATIONAL IFR","2008/02/29",31,18,43.3479,"N",31.31204108,85,26,24.0176,"W",-85.44000488,"T",385.1,110.75,""
"2026/02/19","00267.","A","AL","DHN","DOTHAN","US","32","DHN","LS","ALABAMA","ASO",8500,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",317.95,3,"W","OPERATIONAL RESTRICTED","2001/02/09",31,19,57.3657,"N",31.33260158,85,27,50.3955,"W",-85.46399875,"T",393.4,108.3,""
"2026/02/19","00329.","A","AL","OZR","FORT RUCKER","US","06","OZR","LD","ALABAMA","ASO",4546,150,"I","R-U.S. ARMY","R-U.S. AIR FORCE",63.77,3,"W","OPERATIONAL RESTRICTED","2017/08/10",31,16,40.55,"N",31.27793055,85,42,18.56,"W",-85.70515555,"M",278.9,109.7,"U"
"2026/02/19","00333.","A","AL","GAD","GADSDEN","US","24","GAD","LD","ALABAMA","ASO",6802,150,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",243.76,3,"W","OPERATIONAL IFR","2011/07/18",33,57,51.22,"N",33.96422777,86,6,16.31,"W",-86.10453055,"F",560.6,108.35,""
"2026/02/19","00359.7","A","AL","JKA","GULF SHORES","US","27","JKA","LD","ALABAMA","ASO",6962,100,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",269.9,0,"E","OPERATIONAL IFR","2003/09/30",30,17,25.0104,"N",30.29028066,87,40,56.8469,"W",-87.68245747,"F",14.4,110.7,""
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","18L","TVN","LS","ALABAMA","ASO",10001,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",184.95,4,"W","OPERATIONAL IFR","1985/05/09",34,37,24.0816,"N",34.623356,86,45,57.8292,"W",-86.76606366,"T",582.2,111.9,""
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","18R","HSV","LS","ALABAMA","ASO",12600,150,"III","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",184.95,4,"W","OPERATIONAL IFR","1967/10/29",34,36,55.3858,"N",34.61538494,86,46,58.2465,"W",-86.78284625,"T",604.3,109.3,""
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","36L","ELL","LD","ALABAMA","ASO",12600,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",4.95,4,"W","OPERATIONAL IFR","1975/03/20",34,39,20.2827,"N",34.65563408,86,46,55.356,"W",-86.78204333,"T",624.9,108.5,""
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","36R","JJC","LD","ALABAMA","ASO",10001,150,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",4.95,4,"W","OPERATIONAL RESTRICTED","2017/08/10",34,39,24.0406,"N",34.65667794,86,45,55.4145,"W",-86.76539291,"T",619,109.55,""
"2026/02/19","00385.4","A","AL","MDQ","HUNTSVILLE","US","18","MDQ","LD","ALABAMA","ASO",6500,100,"I","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION",184.93,4,"W","OPERATIONAL IFR","2007/03/16",34,50,50.91,"N",34.847475,86,33,27.89,"W",-86.55774722,"F",750.4,109.75,""
"2026/02/19","00401.3","A","AL","JFX","JASPER","US","27","JFX","LD","ALABAMA","ASO",5004,100,"I","F-FAA","F-FAA",272.86,1,"W","OPERATIONAL IFR","1995/07/20",33,54,8.05,"N",33.90223611,87,19,23.3581,"W",-87.32315502,"K",481.9,108.9,""
"2026/02/19","00437.","A","AL","BFM","MOBILE","US","32","RUJ","LD","ALABAMA","ASO",9618,150,"I","F-FAA","F-FAA",319.75,1,"W","OPERATIONAL IFR","1992/10/15",30,38,7.6622,"N",30.63546172,88,4,56.4855,"W",-88.08235708,"T",27.6,108.5,""
"2026/02/19","00438.","A","AL","MOB","MOBILE","US","15","MOB","LS","ALABAMA","ASO",8502,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",147.21,3,"W","OPERATIONAL IFR","1952/07/01",30,40,47.96,"N",30.67998888,88,14,7.36,"W",-88.23537777,"F",208.5,109.9,""
"2026/02/19","00438.","A","AL","MOB","MOBILE","US","33","ATE","LS","ALABAMA","ASO",8502,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",327.2,3,"W","OPERATIONAL IFR","1975/05/15",30,42,17.64,"N",30.7049,88,15,22.19,"W",-88.25616388,"F",213,111.5,""
"2026/02/19","00446.","A","AL","MXF","MONTGOMERY","US","15","MXF","LS","ALABAMA","ASO",8008,150,"I","A-U.S. AIR FORCE","A-U.S. AIR FORCE",150.47,2,"W","OPERATIONAL IFR","1901/01/01",32,22,8.37,"N",32.36899166,86,21,24.96,"W",-86.35693333,"A",161.3,109.3,""
"2026/02/19","00447.","A","AL","MGM","MONTGOMERY","US","10","MGM","LS","ALABAMA","ASO",9020,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",97.01,1,"W","OPERATIONAL IFR","1955/05/01",32,17,58.1104,"N",32.29947511,86,22,38.1618,"W",-86.37726716,"T",178.2,109.9,"Y"
