CSV File,Column Name,Max Length,Data Type,Nullable
ILS_BASE,EFF_DATE,10,VARCHAR,No
ILS_BASE,SITE_NO,9,VARCHAR,No
ILS_BASE,SITE_TYPE_CODE,1,VARCHAR,No
ILS_BASE,STATE_CODE,2,VARCHAR,Yes
ILS_BASE,ARPT_ID,4,VARCHAR,No
ILS_BASE,CITY,40,VARCHAR,No
ILS_BASE,COUNTRY_CODE,2,VARCHAR,No
ILS_BASE,RWY_END_ID,3,VARCHAR,No
ILS_BASE,ILS_LOC_ID,6,VARCHAR,No
ILS_BASE,SYSTEM_TYPE_CODE,2,VARCHAR,No
ILS_BASE,STATE_NAME,30,VARCHAR,Yes
ILS_BASE,REGION_CODE,3,VARCHAR,No
ILS_BASE,RWY_LEN,"(5,0)",NUMBER,No
ILS_BASE,RWY_WIDTH,"(4,0)",NUMBER,No
ILS_BASE,CATEGORY,4,VARCHAR,Yes
ILS_BASE,OWNER,40,VARCHAR,No
ILS_BASE,OPERATOR,40,VARCHAR,No
ILS_BASE,APCH_BEAR,"(5,2)",NUMBER,No
ILS_BASE,MAG_VAR,"(3,0)",NUMBER,No
ILS_BASE,MAG_VAR_HEMIS,1,VARCHAR,No
ILS_BASE,COMPONENT_STATUS,30,VARCHAR,No
ILS_BASE,COMPONENT_STATUS_DATE,10,VARCHAR,No
ILS_BASE,LAT_DEG,"(2,0)",NUMBER,No
ILS_BASE,LAT_MIN,"(2,0)",NUMBER,No
ILS_BASE,LAT_SEC,"(6,4)",NUMBER,No
ILS_BASE,LAT_HEMIS,1,VARCHAR,No
ILS_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
ILS_BASE,LONG_DEG,"(3,0)",NUMBER,No
ILS_BASE,LONG_MIN,"(2,0)",NUMBER,No
ILS_BASE,LONG_SEC,"(6,4)",NUMBER,No
ILS_BASE,LONG_HEMIS,1,VARCHAR,No
ILS_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
ILS_BASE,LAT_LONG_SOURCE_CODE,2,VARCHAR,Yes
ILS_BASE,SITE_ELEVATION,"(6,1)",NUMBER,Yes
ILS_BASE,LOC_FREQ,"(6,2)",NUMBER,No
ILS_BASE,BK_COURSE_STATUS_CODE,1,VARCHAR,Yes
ILS_DME,EFF_DATE,10,VARCHAR,No
ILS_DME,SITE_NO,9,VARCHAR,No
ILS_DME,SITE_TYPE_CODE,1,VARCHAR,No
ILS_DME,STATE_CODE,2,VARCHAR,Yes
ILS_DME,ARPT_ID,4,VARCHAR,No
ILS_DME,CITY,40,VARCHAR,No
ILS_DME,COUNTRY_CODE,2,VARCHAR,No
ILS_DME,RWY_END_ID,3,VARCHAR,No
