"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","CHANNEL"
"2026/02/19","00146.","A","AL","AUO","AUBURN","US","36","AUO","LD","OPERATIONAL IFR","2022/07/28",32,37,22.81,"N",32.62300277,85,26,8.88,"W",-85.4358,"F",779,"38X"
"2026/02/19","00157.1","A","AL","EKY","BESSEMER","US","05","EKY","LD","OPERATIONAL IFR","1996/06/20",33,19,9.1449,"N",33.31920691,86,54,56.4838,"W",-86.91568994,"Z",717.8,"54Y"
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","18","BXO","LE","OPERATIONAL RESTRICTED","2019/08/07",33,33,2.847,"N",33.55079083,86,44,49.9257,"W",-86.74720158,"T",645.2,"50X"
"2026/02/19","00164.","A","AL","BHM","BIRMINGHAM","US","24","ROE","LD","OPERATIONAL IFR","1901/01/01",33,33,13.9644,"N",33.553879,86,46,29.2832,"W",-86.77480088,"F",604.6,"32X"
"2026/02/19","00251.","A","AL","DCU","DECATUR","US","18","DCU","LD","OPERATIONAL IFR","2010/10/12",34,38,33.54,"N",34.64265,86,56,44.28,"W",-86.94563333,"F",584,"42Y"
"2026/02/19","00267.","A","AL","DHN","DOTHAN","US","14","ODA","LD","OPERATIONAL IFR","2008/02/29",31,18,41.146,"N",31.31142944,85,26,26.0925,"W",-85.44058125,"T",384.3,"44Y"
"2026/02/19","00329.","A","AL","OZR","FORT RUCKER","US","06","OZR","LD","OPERATIONAL IFR","2017/04/04",31,16,42.36,"N",31.27843333,85,42,20.82,"W",-85.70578333,"R",333.4,"34X"
"2026/02/19","00333.","A","AL","GAD","GADSDEN","US","24","GAD","LD","OPERATIONAL IFR","2011/07/18",33,57,52.52,"N",33.96458888,86,6,17.26,"W",-86.10479444,"F",561,"20Y"
"2026/02/19","00359.7","A","AL","JKA","GULF SHORES","US","27","JKA","LD","OPERATIONAL IFR","2003/09/30",30,17,21.0529,"N",30.28918136,87,40,56.5964,"W",-87.68238788,"Z",21.5,"44X"
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","36L","ELL","LD","OPERATIONAL IFR","2021/12/13",34,39,20.24,"N",34.65562222,86,47,0.29,"W",-86.78341388,"F",628,"22X"
"2026/02/19","00385.1","A","AL","HSV","HUNTSVILLE","US","36R","JJC","LD","OPERATIONAL IFR","1980/01/01",34,39,24.2657,"N",34.65674047,86,45,56.0008,"W",-86.76555577,"T",624.4,"32Y"
"2026/02/19","00385.4","A","AL","MDQ","HUNTSVILLE","US","18","MDQ","LD","OPERATIONAL IFR","2007/03/16",34,50,52.1,"N",34.84780555,86,33,31.3,"W",-86.55869444,"T",763.5,"34Y"
"2026/02/19","00401.3","A","AL","JFX","JASPER","US","27","JFX","LD","OPERATIONAL RESTRICTED","2017/08/10",33,54,5.352,"N",33.90148666,87,19,21.6818,"W",-87.32268938,"K",484.3,"26X"
"2026/02/19","00437.","A","AL","BFM","MOBILE","US","32","RUJ","LD","OPERATIONAL IFR","2021/12/06",30,38,6.7759,"N",30.63521552,88,4,59.7212,"W",-88.08325588,"T",35.1,"22X"
"2026/02/19","00511.","A","AL","SEM","SELMA","US","33","SEM","LD","OPERATIONAL IFR","2014/10/07",32,21,21.38,"N",32.35593888,86,59,47.32,"W",-86.99647777,"F",165,"42X"
"2026/02/19","00528.1","A","AL","ASN","TALLADEGA","US","04","ASN","LD","OPERATIONAL IFR","2011/04/28",33,34,44.27,"N",33.57896388,86,2,43.46,"W",-86.04540555,"F",542.8,"36Y"
"2026/02/19","00546.","A","AL","TOI","TROY","US","07","TOI","LD","OPERATIONAL IFR","2010/06/11",31,51,47.3462,"N",31.86315172,86,0,20.3218,"W",-86.00564494,"T",398.2,"26X"
"2026/02/19","00554.","A","AL","TCL","TUSCALOOSA","US","04","TCL","LD","OPERATIONAL IFR","2023/02/27",33,13,34.21,"N",33.22616944,87,36,13.25,"W",-87.60368055,"F",156,"28X"
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","07L","PHX","LD","OPERATIONAL IFR","1984/06/07",33,25,54.0771,"N",33.43168808,111,59,19.1054,"W",-111.98864038,"T",1143,"52X"
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","07R","AHA","LD","OPERATIONAL IFR","2000/08/30",33,25,41.1847,"N",33.42810686,111,59,52.1833,"W",-111.99782869,"T",1135.8,"44Y"
