"EFF_DATE","COUNTRY_CODE","LOC_ID","REGION_CODE","STATE","CITY","LID_GROUP","FAC_TYPE","FAC_NAME","RESP_ARTCC_ID","ARTCC_COMPUTER_ID","FSS_ID"
"2026/02/19","US","00A","AEA","PA","BENSALEM","LANDING FACILITY","H","TOTAL RF","ZNY","ZCN","IPT"
"2026/02/19","US","00AA","ACE","KS","LEOTI","LANDING FACILITY","A","AERO B RANCH","ZDV","ZCD","ICT"
"2026/02/19","US","00AK","AAL","AK","ANCHOR POINT","LANDING FACILITY","A","LOWELL FLD","ZAN","ZAN","HOM"
"2026/02/19","US","00AL","ASO","AL","HARVEST","LANDING FACILITY","A","EPPS AIRPARK","ZME","ZCM","ANB"
"2026/02/19","US","00AN","AAL","AK","KING SALMON","LANDING FACILITY","A","KATMAI LODGE","ZAN","ZAN","ENA"
"2026/02/19","US","00AR","ACE","KS","BENNINGTON","LANDING FACILITY","A","ARLAND","ZKC","ZCK","ICT"
"2026/02/19","US","00AS","ASW","OK","ALEX","LANDING FACILITY","A","FULTON","ZFW","ZCF","ICT"
"2026/02/19","US","00C","ANM","CO","DURANGO","LANDING FACILITY","A","ANIMAS AIR PARK","ZDV","ZCD","DEN"
"2026/02/19","US","00CA","AWP","CA","BARSTOW","LANDING FACILITY","A","GOLDSTONE /GTS/","ZLA","ZCL","RAL"
"2026/02/19","US","00CL","AWP","CA","BIGGS","LANDING FACILITY","A","WILLIAMS AG","ZOA","ZCO","RIU"
"2026/02/19","US","00CN","AWP","CA","PINE VALLEY","LANDING FACILITY","H","KITCHEN CREEK HELIBASE","ZLA","ZCL","SAN"
"2026/02/19","US","00F","ANM","MT","BROADUS","LANDING FACILITY","A","BROADUS","ZLC","ZCU","GTF"
"2026/02/19","US","00FA","ASO","FL","BUSHNELL","LANDING FACILITY","A","GRASS PATCH","ZMA","ZCR","PIE"
"2026/02/19","US","00FL","ASO","FL","OKEECHOBEE","LANDING FACILITY","A","RIVER OAK","ZMA","ZCR","PIE"
"2026/02/19","US","00GA","ASO","GA","LITHONIA","LANDING FACILITY","A","LT WORLD","ZTL","ZCT","MCN"
"2026/02/19","US","00GE","ASO","GA","HIRAM","LANDING FACILITY","H","CAFFREY","ZTL","ZCT","MCN"
"2026/02/19","US","00ID","ANM","ID","CLARK FORK","LANDING FACILITY","A","DELTA SHORES","ZSE","ZCS","BOI"
"2026/02/19","US","00IG","ACE","KS","MCDONALD","LANDING FACILITY","A","GOLTL","ZDV","ZCD","ICT"
"2026/02/19","US","00IL","AGL","IL","POLO","LANDING FACILITY","A","HAMMER","ZAU","ZCG","IKK"
"2026/02/19","US","00IN","AGL","IN","HOBART","LANDING FACILITY","H","ST MARY MEDICAL CENTER","ZAU","ZCG","HUF"
"2026/02/19","US","00IS","AGL","IL","KINGS","LANDING FACILITY","A","HAYENGA'S CANT FIND FARMS","ZAU","ZCG","IKK"
"2026/02/19","US","00KS","ACE","KS","GARDNER","LANDING FACILITY","A","HAYDEN FARM","ZKC","ZCK","ICT"
"2026/02/19","US","00KY","ASO","KY","STANFORD","LANDING FACILITY","A","ROBBINS ROOST","ZID","ZCI","LOU"
"2026/02/19","US","00LA","ASW","LA","GONZALES","LANDING FACILITY","H","SHELL CHEMICAL EAST SITE","ZHU","ZCH","DRI"
"2026/02/19","US","00LS","ASW","LA","ESTERWOOD","LANDING FACILITY","A","LEJEUNE","ZHU","ZCH","DRI"
"2026/02/19","US","00M","ASO","MS","BAY SPRINGS","LANDING FACILITY","A","THIGPEN FLD","ZME","ZCM","GWO"
"2026/02/19","US","00MI","AGL","MI","DAVISON","LANDING FACILITY","H","THE WALDRON WAY","ZOB","ZCC","LAN"
"2026/02/19","US","00MN","AGL","MN","BATTLE LAKE","LANDING FACILITY","A","BATTLE LAKE MUNI","ZMP","ZCP","PNM"
"2026/02/19","US","00MO","ACE","MO","ALBA","LANDING FACILITY","A","COOPER FLYING SERVICE","ZKC","ZCK","COU"
"2026/02/19","US","00MT","ANM","MT","LIVINGSTON","LANDING FACILITY","H","LIVINGSTON HEALTHCARE","ZLC","ZCU","GTF"
"2026/02/19","US","00N","AEA","NJ","BRIDGETON","LANDING FACILITY","A","BUCKS","ZDC","ZCW","MIV"
"2026/02/19","US","00NC","ASO","NC","LOUISBURG","LANDING FACILITY","A","NORTH RALEIGH","ZDC","ZCW","RDU"
"2026/02/19","US","00NJ","AEA","NJ","NEW BRUNSWICK","LANDING FACILITY","H","COLGATE-PISCATAWAY","ZNY","ZCN","MIV"
"2026/02/19","US","00NK","AEA","NY","BEEKMANTOWN","LANDING FACILITY","C","CLICHE COVE","ZBW","ZCB","BTV"
"2026/02/19","US","00NR","ASO","NC","RODANTHE","LANDING FACILITY","H","RODANTHE DARE COUNTY","ZDC","ZCW","RDU"
"2026/02/19","US","00NY","AEA","NY","WEST BLOOMFIELD","LANDING FACILITY","A","WEISS AIRFIELD","ZOB","ZCC","BUF"
"2026/02/19","US","00OH","AGL","OH","CINCINNATI","LANDING FACILITY","H","GOOD SAMARITAN MEDICAL CENTER","ZID","ZCI","DAY"
"2026/02/19","US","00OI","AGL","OH","DAYTON","LANDING FACILITY","H","MIAMI VALLEY HOSPITAL","ZID","ZCI","DAY"
"2026/02/19","US","00OK","ASW","OK","SANDSPRINGS","LANDING FACILITY","A","GULL BAY LANDING","ZKC","ZCK","MLC"
"2026/02/19","US","00PN","AEA","PA","MERCER","LANDING FACILITY","A","FERRELL FLD","ZOB","ZCC","AOO"
"2026/02/19","US","00R","ASW","TX","LIVINGSTON","LANDING FACILITY","A","LIVINGSTON MUNI","ZHU","ZCH","CXO"
"2026/02/19","US","00S","ANM","OR","MC KENZIE BRIDGE","LANDING FACILITY","A","MC KENZIE BRIDGE STATE","ZSE","ZCS","MMV"
"2026/02/19","US","00SC","ASO","SC","SUMTER","LANDING FACILITY","A","FLYING O","ZJX","ZCJ","AND"
"2026/02/19","US","00SD","AGL","SD","GARY","LANDING FACILITY","A","HOMAN FLD","ZMP","ZCP","HON"
