"EFF_DATE","MAA_ID","TAB_NAME","REF_COL_NAME","REF_COL_SEQ_NO","REMARK"
"2026/02/19","AAR002","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"THIS APA WOULD BE USED ON AVERAGE OF EIGHT HOURS PER MONTH, DURING DAYLIGHT"
"2026/02/19","AAR002","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"HOURS, MONDAY THROUGH SUNDAY OF EACH MONTH. USE WOULD BE BY LIGHT,"
"2026/02/19","AAR002","MISC_ACTIVITY_AREA","GENERAL_REMARK",3,"SINGLE-ENGINE, PROPELLER-DRIVEN, AEROBATIC AIRCRAFT."
"2026/02/19","AIA002","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"LONG TERM AEROBATIC PRACTICE AREA - FROM AUGUST 14, 2022, THROUGH AUGUST 13, 2025"
"2026/02/19","AIA008","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"AEROBATIC PRACTICE AREA LOCATED OVER TOP AIRPORT SFC-8500 ACTIVATED BY NOTAM."
"2026/02/19","AIA009","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"AEROBATIC PRACTICE AREA LOCATED OVER TOP AIRPORT SFC-8500 ACTIVATED BY NOTAM."
"2026/02/19","AIL003","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"THIS APA WOULD BE USED ON AVERAGE OF EIGHT HOURS PER MONTH"
"2026/02/19","AIL003","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"DURING DAYLIGHT HOURS, MONDAY THROUGH SUNDAY OF EACH MONTH."
"2026/02/19","AIL003","MISC_ACTIVITY_AREA","GENERAL_REMARK",3,"USE WOULD BE BY LIGHT, SINGLE-ENGINE, PROPELLER-DRIVEN, AEROBATIC AIRCRAFT."
"2026/02/19","AIL004","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"THIS APA WILL BE USED ON AVERAGE OF SIX HOURS PER MONTH,"
"2026/02/19","AIL004","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"DURING DAYLIGHT HOURS,"
"2026/02/19","AIL004","MISC_ACTIVITY_AREA","GENERAL_REMARK",3,"MONDAY THROUGH SUNDAY OF EACH MONTH. USE WILL BE BY"
"2026/02/19","AIL004","MISC_ACTIVITY_AREA","GENERAL_REMARK",4,"LIGHT, SINGLE-ENGINE, PROPELLER-DRIVEN, AEROBATIC AIRCRAFT."
"2026/02/19","AMI002","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"AUTHORIZING OFFICIAL NAME: MIKE MILLARD"
"2026/02/19","AMI002","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"AUTHORIZING OFFICIAL TITLE/ROUTING CODE: AFS ENVIRONMENTAL SPECIALIST/AFS-830"
"2026/02/19","AMI003","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"AUTHORIZING OFFICIAL: MIKE MILLARD"
"2026/02/19","AMI003","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"AUTHORIZING OFFICIAL TITLE/ROUTING TITLE: AFS ENVIRONMENTAL SPECIALIST/AFS-830"
"2026/02/19","AMN001","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"USE WOULD BE BY LIGHT, SINGLE-ENGINE, PROPELLER-DRIVEN, AEROBATIC AIRCRAFT."
"2026/02/19","AMO002","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"THIS APA WOULD BE USED ON AVERAGE OF EIGHT HOURS PER MONTH, DURING DAYLIGHT"
"2026/02/19","AMO002","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"HOURS, MONDAY THROUGH SUNDAY OF EACH MONTH. USE WOULD BE BY LIGHT,"
"2026/02/19","AMO002","MISC_ACTIVITY_AREA","GENERAL_REMARK",3,"SINGLE-ENGINE, PROPELLER-DRIVEN, AEROBATIC AIRCRAFT."
"2026/02/19","AND001","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"THIS APA WOULD BE USED ON AVERAGE OF 16 HOURS PER MONTH, DURING DAYLIGHT HOURS, MONDAY THROUGH SUNDAY OF EACH MONTH. USE WOULD BE BY LIGHT, SINGLE-ENGINE, PROPELLER-DRIVEN, AEROBATIC AIRCRAFT."
"2026/02/19","ANY002","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"THIS APA WOULD BE USED ON AVERAGE OF TWO HOURS PER MONTH,"
"2026/02/19","ANY002","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"DURING DAYLIGHT HOURS, MONDAY THROUGH SUNDAY"
"2026/02/19","ANY002","MISC_ACTIVITY_AREA","GENERAL_REMARK",3,"OF EACH MONTH. USE WOULD BE BY LIGHT, SINGLE-ENGINE,"
"2026/02/19","ANY002","MISC_ACTIVITY_AREA","GENERAL_REMARK",4,"PROPELLER-DRIVEN, AEROBATIC AIRCRAFT."
"2026/02/19","AOH003","MISC_ACTIVITY_AREA","GENERAL_REMARK",1,"THIS APA WOULD BE USED ON AVERAGE OF FOUR HOURS PER MONTH,"
"2026/02/19","AOH003","MISC_ACTIVITY_AREA","GENERAL_REMARK",2,"DURING DAYLIGHT HOURS, MONDAY THROUGH SUNDAY OF EACH MONTH."
