"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","AGENCY_TYPE","AGENCY_NAME","STATION","ADDRESS","CITY","STATE_CODE","ZIP_CODE","COMMERCIAL_NO","DSN_NO","HOURS"
"2026/01/22","IR","002","ZTL","O","COMSTRKFIGHTWINGLANT","OCEANA NAS","","VIRGINIA BEACH","VA","23460","757-433-9141","433-9141",""
"2026/01/22","IR","002","ZTL","S1","FACSFAC  VACAPES","OCEANA NAS","","VIRGINIA BEACH","VA","23460","757-433-1228","433-1228","SEE GENERAL REMARKS"
"2026/01/22","IR","012","ZDC","O","4 OSS / OSOR","SEYMOUR JOHNSON AFB","","","NC","27531-5004","919-722-2672","722-2672",""
"2026/01/22","IR","012","ZDC","S1","4  OSS /  OSOS","","","SEYMOUR JOHNSON AFB","NC","27531-5004","919-722-2129/2124","722-2129/2124",""
"2026/01/22","IR","016","ZJX","O","23 OSS/OSO","MOODY AFB","","","GA","31699-1899","229-257-7831","460-7831",""
"2026/01/22","IR","016","ZJX","S1","23 OSS/OSO","MOODY AFB","","","GA","31699-1899","229-257-7831","460-7831","MON-FRI 0830-1700L, EXCEPT HOL"
"2026/01/22","IR","017","ZJX ZTL","O","14 OSS/OSOP","COLUMBUS AFB","","","MS","39710-5000","662-434-2692/2579","742-2692/2579",""
"2026/01/22","IR","017","ZJX ZTL","S1","48 FTS","COLUMBUS AFB","","COLUMBUS","MS","39710","662-434-7842/7840","742-7842/7840",""
"2026/01/22","IR","018","ZJX","O","FACSFAC  JAX","NAS JACKSONVILLE","","","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","018","ZJX","S1","FACSFAC  JAX","NAS JACKSONVILLE","","","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","019","ZJX","O","FACSFAC  JAX","NAS JACKSONVILLE","","","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","019","ZJX","S1","FACSFAC  JAX","NAS JACKSONVILLE","","","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","020","ZJX ZMA","O","FACSFAC  JAX","NAS JACKSONVILLE","","","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","020","ZJX ZMA","S1","FACSFAC  JAX","NAS JACKSONVILLE","","","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","021","ZJX ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","021","ZJX ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","022","ZDC ZTL","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","022","ZDC ZTL","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","023","ZJX","O","CO, MCAS CHERRY POINT, NC","","","CHERRY POINT","NC","28533","","582-4040/41",""
"2026/01/22","IR","023","ZJX","S1","RANGE MANAGEMENT DEPARTMENT","FUTURE OPERATIONS","MCAS","CHERRY POINT","NC","28533","","582-4040/41",""
"2026/01/22","IR","030","ZHU ZJX ZTL","O"," COMMANDER","NAWS","","PT. MUGU","CA","93042-5008","805-989-7545","351-7545","SEE GENERAL REMARKS"
"2026/01/22","IR","030","ZHU ZJX ZTL","S1"," COMMANDER FLEET AREA CONTROL","NAS","","JACKSONVILLE","FL","32212","904-542-2004/2005","942-2004/2005","SEE GENERAL REMARKS"
"2026/01/22","IR","031","ZHU ZJX ZTL","O"," COMMANDER","NAWS","","PT. MUGU","CA","93042-5008","805-989-7545","351-7545","SEE GENERAL REMARKS"
"2026/01/22","IR","031","ZHU ZJX ZTL","S1"," COMMANDER FLEET AREA CONTROL","NAS","","JACKSONVILLE","FL","32212","904-542-2004/2005","942-2004/2005","SEE GENERAL REMARKS"
"2026/01/22","IR","032","ZJX","O"," COMMDR NAVAL AIR WARFARE CTR","NAWS","","POINT MUGU NAWS","CA","93042-5008","805-989-7545","351-7545",""
"2026/01/22","IR","032","ZJX","S1","COMMANDER FLEET AREA CONTROL","NAVAL AIR STATION JACKSONVILLE","","JACKSONVILLE","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","033","ZJX","O"," COMMDR NAVAL AIR WARFARE CTR","NAWS","","POINT MUGU NAWS","CA","93042-5008","805-989-7545","351-7545",""
"2026/01/22","IR","033","ZJX","S1","COMMANDER FLEET AREA CONTROL","NAVAL AIR STATION JACKSONVILLE","","JACKSONVILLE","FL","32212","904-542-2004/2005","942-2004/2005",""
"2026/01/22","IR","034","ZMA","O","598TH RANS/RMDS","AVON PARK AFR, FL","","","FL","33825","813-828-4643/42/41","968-4643/42/41",""
"2026/01/22","IR","034","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","AVON PARK AFR","FL","33825","C813-828-4643/42/41","968-4643/42/41",""
"2026/01/22","IR","035","ZDC","O","437 OSS/OSO","JOINT BASE CHARLESTON","","CHARLESTON","SC","29404","843-5554","673-5554","0700-2200 LOCAL, DAILY"
"2026/01/22","IR","035","ZDC","S1","437 OSS/OSO","JOINT BASE CHARLESTON","","CHARLESTON","SC","29404","843-963-554","673-5554","0700-2200 LOCAL, DAILY"
"2026/01/22","IR","036","","O","437 OSS/OSO","JOINT BASE CHARLESTON","","CHARLESTON","SC","29404","843-963-5554","673-5554","0700-2200 LOCAL, DAILY"
"2026/01/22","IR","036","","S1","437 OSS/OSO","JOINT BASE CHARLESTON","","CHARLESTON","SC","29404","843-963-5554","673-5554","0700-2200 LOCAL, DAILY"
"2026/01/22","IR","037","ZHU ZME","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","037","ZHU ZME","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","038","ZHU","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","038","ZHU","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","040","ZHU ZME","O","TRAINING  AIR WING SIX","","","PENSACOLA","FL","32508-5509","850-452-2875","459-2875",""
"2026/01/22","IR","040","ZHU ZME","S1","NAS  PENSACOLA","","","PENSACOLA","FL","32508-5217","850-452-2735","459-2735",""
"2026/01/22","IR","044","ZME","O","COMTRAWING ONE.","","","NAS MERIDIAN","MS","39309-0136","601-679-2347","637-2347",""
"2026/01/22","IR","044","ZME","S1","COMTRAWING ONE.","","","NAS MERIDIAN","MS","39309-0136","601-679-2347","637-2347",""
"2026/01/22","IR","046","ZJX ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","046","ZJX ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","047","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","047","ZMA","S1","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
"2026/01/22","IR","048","ZMA","O","598TH RANS/RMDS","AVON PARK AFR","","","FL","33825","C813-828-4643/42/41","968-4643/42/41","AVONPARKAIRSPACE@US.AF.MIL"
