"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","FSS","TIME_OF_USE"
"2026/01/22","IR","002","ZTL","","CONTINUOUS"
"2026/01/22","IR","012","ZDC","","CONTINUOUS"
"2026/01/22","IR","016","ZJX","","CONTINUOUS"
"2026/01/22","IR","017","ZJX ZTL","","1200-0400Z++"
"2026/01/22","IR","018","ZJX","","0700-2400 LOCAL DAILY"
"2026/01/22","IR","019","ZJX","","0700-2400 LOCAL DAILY"
"2026/01/22","IR","020","ZJX ZMA","","0700-2400 LOCAL DAILY"
"2026/01/22","IR","021","ZJX ZTL","","1200-0400Z++ MON-FRI, OCCASIONALLY ON WEEKENDS"
"2026/01/22","IR","022","ZDC ZTL","","1200-0400Z++ WEEKDAYS, OCCASIONAL WEEKENDS"
"2026/01/22","IR","023","ZJX","","CONTINUOUS"
"2026/01/22","IR","030","ZHU ZJX ZTL","","DAYLIGHT HOURS ONLY, DAILY"
"2026/01/22","IR","031","ZHU ZJX ZTL","","DAYLIGHT HOURS ONLY, DAILY"
"2026/01/22","IR","032","ZJX","","DAYLIGHT HOURS"
"2026/01/22","IR","033","ZJX","","DAYLIGHT HOURS"
"2026/01/22","IR","034","ZMA","","0600-2400 LOCAL"
"2026/01/22","IR","035","ZDC","","0600-2200 LOCAL, DAILY"
"2026/01/22","IR","036","","","0600-2200 LOCAL, DAILY"
"2026/01/22","IR","037","ZHU ZME","","MON-FRI 1200-0400Z++, OCCASIONAL WEEKENDS"
"2026/01/22","IR","038","ZHU","","SUNRISE-SUNSET, MON-FRI, OCCASIONAL WEEKENDS"
"2026/01/22","IR","040","ZHU ZME","","MON-FRI 1200-0400Z++ OCCASIONAL WEEKENDS"
"2026/01/22","IR","044","ZME","","SUNRISE-SUNSET"
"2026/01/22","IR","046","ZJX ZMA","","0700-2400 LOCAL, DAILY"
"2026/01/22","IR","047","ZMA","","0700-2400 LOCAL, DAILY"
"2026/01/22","IR","048","ZMA","","0700-2400 LOCAL, DAILY"
"2026/01/22","IR","049","ZMA","","0700-2400 LOCAL, DAILY"
"2026/01/22","IR","050","ZMA","","0700-2400 LOCAL, DAILY"
"2026/01/22","IR","051","ZMA","","0700-2400 LOCAL, DAILY"
"2026/01/22","IR","053","ZMA","","0600-2400 LOCAL, DAILY"
"2026/01/22","IR","055","ZMA","","0600-2400 LOCAL, DAILY"
"2026/01/22","IR","056","ZMA","","0600-2400 LOCAL"
"2026/01/22","IR","057","ZJX ZTL","","CONTINUOUS"
"2026/01/22","IR","059","ZJX ZTL","","CONTINUOUS"
"2026/01/22","IR","062","ZDC","","CONTINUOUS"
"2026/01/22","IR","066","ZME ZTL","","SUNRISE-SUNSET MON-FRI"
"2026/01/22","IR","067","ZME ZTL","","SUNRISE-SUNSET MON-FRI"
"2026/01/22","IR","068","ZME","","SUNRISE-SUNSET MON-FRI"
"2026/01/22","IR","070","ZFW ZME","","SUNRISE-SUNSET DAILY"
"2026/01/22","IR","077","ZME ZTL","","1200-0400Z WEEKDAYS"
"2026/01/22","IR","078","ZME ZTL","","1200-0400Z WEEKDAYS"
"2026/01/22","IR","079","ZID ZTL","","1200-0400Z++ MON-FRI; OCCASIONAL WEEKENDS"
"2026/01/22","IR","080","ZDC ZID ZTL","","1200-0400Z++ MON-FRI; OCCASIONAL WEEKENDS."
"2026/01/22","IR","081","ZDC ZTL","","1200-0400Z++ MON-FRI; OCCASIONAL WEEKENDS"
"2026/01/22","IR","082","ZTL","","1200-0400Z++ MON-FRI; OCCASIONAL WEEKENDS"
"2026/01/22","IR","083","ZDC ZTL","","1200-0400Z++ MON-FRI; OCCASIONAL WEEKENDS"
"2026/01/22","IR","090","","","1200-2300Z++, MON-FRI"
"2026/01/22","IR","091","ZME","","SUNRISE-SUNSET MON-FRI"
"2026/01/22","IR","103","ZFW","","0700-2200 LOCAL; OT BY NOTAM"
"2026/01/22","IR","105","ZFW","","0700-2200 LOCAL; OT BY NOTAM."
"2026/01/22","IR","107","ZAB","","CONTINUOUS"
"2026/01/22","IR","109","ZAB ZDV","","CONTINUOUS"
"2026/01/22","IR","111","ZAB","","CONTINUOUS"
"2026/01/22","IR","112","ZAB ZDV","","CONTINUOUS"
"2026/01/22","IR","113","ZAB","","CONTINUOUS"
"2026/01/22","IR","117","ZFW ZME","","CONTINUOUS"
"2026/01/22","IR","120","ZME","","CONTINUOUS"
