CSV File,Column Name,Max Length,Data Type,Nullable
MTR_BASE,EFF_DATE,10,VARCHAR,No
MTR_BASE,ROUTE_TYPE_CODE,2,VARCHAR,No
MTR_BASE,ROUTE_ID,5,VARCHAR,No
MTR_BASE,ARTCC,80,VARCHAR,Yes
MTR_BASE,FSS,160,VARCHAR,Yes
MTR_BASE,TIME_OF_USE,175,VARCHAR,Yes
MTR_AGY,EFF_DATE,10,VARCHAR,No
MTR_AGY,ROUTE_TYPE_CODE,2,VARCHAR,No
MTR_AGY,ROUTE_ID,5,VARCHAR,No
MTR_AGY,ARTCC,80,VARCHAR,Yes
MTR_AGY,AGENCY_TYPE,2,VARCHAR,No
MTR_AGY,AGENCY_NAME,30,VARCHAR,No
MTR_AGY,STATION,30,VARCHAR,Yes
MTR_AGY,ADDRESS,35,VARCHAR,Yes
MTR_AGY,CITY,30,VARCHAR,Yes
MTR_AGY,STATE_CODE,2,VARCHAR,Yes
MTR_AGY,ZIP_CODE,10,VARCHAR,Yes
MTR_AGY,COMMERCIAL_NO,40,VARCHAR,Yes
MTR_AGY,DSN_NO,40,VARCHAR,Yes
MTR_AGY,HOURS,175,VARCHAR,Yes
MTR_PT,EFF_DATE,10,VARCHAR,No
MTR_PT,ROUTE_TYPE_CODE,2,VARCHAR,No
MTR_PT,ROUTE_ID,5,VARCHAR,No
MTR_PT,ARTCC,80,VARCHAR,Yes
MTR_PT,ROUTE_PT_SEQ,"(3,0)",NUMBER,No
MTR_PT,ROUTE_PT_ID,4,VARCHAR,No
MTR_PT,NEXT_ROUTE_PT_ID,4,VARCHAR,Yes
MTR_PT,SEGMENT_TEXT,228,VARCHAR,Yes
MTR_PT,LAT_DEG,"(2,0)",NUMBER,No
MTR_PT,LAT_MIN,"(2,0)",NUMBER,No
MTR_PT,LAT_SEC,"(6,4)",NUMBER,No
MTR_PT,LAT_HEMIS,1,VARCHAR,No
MTR_PT,LAT_DECIMAL,"(10,8)",NUMBER,No
MTR_PT,LONG_DEG,"(3,0)",NUMBER,No
MTR_PT,LONG_MIN,"(2,0)",NUMBER,No
MTR_PT,LONG_SEC,"(6,4)",NUMBER,No
MTR_PT,LONG_HEMIS,1,VARCHAR,No
MTR_PT,LONG_DECIMAL,"(11,8)",NUMBER,No
MTR_PT,NAV_ID,4,VARCHAR,Yes
MTR_PT,NAVAID_BEARING,"(3,0)",NUMBER,Yes
MTR_PT,NAVAID_DIST,"(4,0)",NUMBER,Yes
MTR_SOP,EFF_DATE,10,VARCHAR,No
MTR_SOP,ROUTE_TYPE_CODE,2,VARCHAR,No
MTR_SOP,ROUTE_ID,5,VARCHAR,No
MTR_SOP,ARTCC,80,VARCHAR,Yes
MTR_SOP,SOP_SEQ_NO,"(3,0)",NUMBER,No
MTR_SOP,SOP_TEXT,100,VARCHAR,No
MTR_TERR,EFF_DATE,10,VARCHAR,No
MTR_TERR,ROUTE_TYPE_CODE,2,VARCHAR,No
MTR_TERR,ROUTE_ID,5,VARCHAR,No
MTR_TERR,ARTCC,80,VARCHAR,Yes
MTR_TERR,TERRAIN_SEQ_NO,"(3,0)",NUMBER,No
MTR_TERR,TERRAIN_TEXT,100,VARCHAR,No
MTR_WDTH,EFF_DATE,10,VARCHAR,No
MTR_WDTH,ROUTE_TYPE_CODE,2,VARCHAR,No
MTR_WDTH,ROUTE_ID,5,VARCHAR,No
MTR_WDTH,ARTCC,80,VARCHAR,Yes
MTR_WDTH,WIDTH_SEQ_NO,"(3,0)",NUMBER,No
MTR_WDTH,WIDTH_TEXT,100,VARCHAR,No
