"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","ROUTE_PT_SEQ","ROUTE_PT_ID","NEXT_ROUTE_PT_ID","SEGMENT_TEXT","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","NAV_ID","NAVAID_BEARING","NAVAID_DIST"
"2026/01/22","IR","002","ZTL",10,"A","B","(1) CROSS AT 60 MSL TO",36,4,0,"N",36.06666666,84,39,0,"W",-84.65,"VXV",288,38
"2026/01/22","IR","002","ZTL",20,"B","C","(1) 05 AGL B 60 MSL TO",36,30,0,"N",36.5,84,20,0,"W",-84.33333333,"VXV",332,42
"2026/01/22","IR","002","ZTL",30,"C","D","(1) 01 AGL B 60 MSL TO",36,28,0,"N",36.46666666,83,45,0,"W",-83.75,"VXV",15,34
"2026/01/22","IR","002","ZTL",40,"D","E","(1) 01 AGL B 60 MSL TO",36,10,0,"N",36.16666666,83,17,0,"W",-83.28333333,"VXV",65,34
"2026/01/22","IR","002","ZTL",50,"E","F","(1) 03 AGL B 60 MSL TO",36,0,0,"N",36,83,16,0,"W",-83.26666666,"VXV",82,31
"2026/01/22","IR","002","ZTL",60,"F","G","(1) 03 AGL B 90 MSL TO",35,49,0,"N",35.81666666,83,14,0,"W",-83.23333333,"VXV",102,33
"2026/01/22","IR","002","ZTL",70,"G","H","(1) 03 AGL B 90 MSL TO",35,40,0,"N",35.66666666,83,11,30,"W",-83.19166666,"VXV",115,37
"2026/01/22","IR","002","ZTL",80,"H","","(1) 03 AGL B 90 MSL TO (2) EXIT AT 90 MSL",35,33,0,"N",35.55,83,10,0,"W",-83.16666666,"VXV",124,41
"2026/01/22","IR","012","ZDC",10,"A","B","(1) AS ASSIGNED TO",34,21,0,"N",34.35,78,17,0,"W",-78.28333333,"ILM",277,20
"2026/01/22","IR","012","ZDC",20,"B","C","(1) 05 AGL B 30 MSL TO",34,48,0,"N",34.8,78,13,0,"W",-78.21666666,"ILM",335,32
"2026/01/22","IR","012","ZDC",30,"C","D","(1) 05 AGL B 30 MSL TO",34,58,0,"N",34.96666666,77,48,0,"W",-77.8,"ILM",13,37
"2026/01/22","IR","012","ZDC",40,"D","E","(1) 05 AGL B 30 MSL TO",35,12,0,"N",35.2,77,22,0,"W",-77.36666666,"NKT",315,30
"2026/01/22","IR","012","ZDC",50,"E","F","(1) 05 AGL B 30 MSL TO",35,18,0,"N",35.3,76,47,0,"W",-76.78333333,"NKT",20,24
"2026/01/22","IR","012","ZDC",60,"F","G","(1) 20 MSL TO",35,21,0,"N",35.35,76,39,0,"W",-76.65,"NKT",31,29
"2026/01/22","IR","012","ZDC",70,"G","H","(1) 20 MSL TO",35,39,0,"N",35.65,76,21,0,"W",-76.35,"NKT",39,52
"2026/01/22","IR","012","ZDC",80,"H","E1","(1) 20 MSL TO (2) ALTERNATE EXIT FROM E (3) TO R-5306A",35,41,0,"N",35.68333333,76,16,30,"W",-76.275,"NKT",41,55
"2026/01/22","IR","012","ZDC",90,"E1","FA","(1) 05 AGL B 30 MSL TO",35,18,0,"N",35.3,76,47,0,"W",-76.78333333,"NKT",20,24
"2026/01/22","IR","012","ZDC",100,"FA","","(1) 15 AGL B 30 MSL TO",35,16,30,"N",35.275,76,42,0,"W",-76.7,"NKT",30,24
"2026/01/22","IR","016","ZJX",10,"A","B","(1) CROSS AT 20 MSL TO",31,37,31.2,"N",31.62533333,83,20,0,"W",-83.33333333,"VAD",353,40
"2026/01/22","IR","016","ZJX",20,"B","C","(1) 03 AGL B 20 MSL TO",31,17,0,"N",31.28333333,83,3,30,"W",-83.05833333,"VAD",23,21
"2026/01/22","IR","016","ZJX",30,"C","D","(1) 03 AGL B 20 MSL TO",30,59,0,"N",30.98333333,82,53,0,"W",-82.88333333,"TAY",332,33
"2026/01/22","IR","016","ZJX",40,"D","E","(1) 03 AGL B 60 MSL TO",30,40,30,"N",30.675,82,49,30,"W",-82.825,"TAY",309,17
"2026/01/22","IR","016","ZJX",50,"E","F","(1) 03 AGL B 20 MSL TO",30,19,0,"N",30.31666666,82,56,0,"W",-82.93333333,"TAY",243,23
"2026/01/22","IR","016","ZJX",60,"F","G","(1) 03 AGL B 60 MSL TO",30,0,0,"N",30,82,56,0,"W",-82.93333333,"GNV",302,39
"2026/01/22","IR","016","ZJX",70,"G","H","(1) 03 AGL B 60 MSL TO",29,56,0,"N",29.93333333,82,43,0,"W",-82.71666666,"GNV",306,27
"2026/01/22","IR","016","ZJX",80,"H","I","(1) 40 MSL B 60 MSL TO",29,56,0,"N",29.93333333,82,26,0,"W",-82.43333333,"GNV",334,17
"2026/01/22","IR","016","ZJX",90,"I","J","(1) 40 MSL B 50 MSL TO",29,47,0,"N",29.78333333,82,7,0,"W",-82.11666666,"GNV",60,10
"2026/01/22","IR","016","ZJX",100,"J","","(1) 40 MSL B 60 MSL TO",29,40,30,"N",29.675,81,49,0,"W",-81.81666666,"GNV",96,24
"2026/01/22","IR","017","ZJX ZTL",10,"A","B","(1) CROSS AT 30 MSL TO",32,9,0,"N",32.15,85,35,0,"W",-85.58333333,"EUF",295,26
"2026/01/22","IR","017","ZJX ZTL",20,"B","C","(1) 05 AGL B 30 MSL TO",31,53,0,"N",31.88333333,85,7,0,"W",-85.11666666,"EUF",168,4
"2026/01/22","IR","017","ZJX ZTL",30,"C","D","(1) 05 AGL B 30 MSL TO",30,54,0,"N",30.9,84,57,0,"W",-84.95,"MAI",53,11
"2026/01/22","IR","017","ZJX ZTL",40,"D","E","(1) 05 AGL B 30 MSL TO",30,38,0,"N",30.63333333,84,54,0,"W",-84.9,"MAI",128,15
"2026/01/22","IR","017","ZJX ZTL",50,"E","F","(1) 05 AGL B 20 MSL TO",30,35,0,"N",30.58333333,84,58,0,"W",-84.96666666,"MAI",146,15
