"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","SOP_SEQ_NO","SOP_TEXT"
"2026/01/22","IR","002","ZTL",4,"(1)     ROUTE RESERVATION AND BRIEF REQUIRED."
"2026/01/22","IR","002","ZTL",5,"(2)     MONITOR ATLANTA ARTCC ON 254.3 AT B."
"2026/01/22","IR","002","ZTL",10,"(3)     CONTACT ATLANTA ARTCC ON 379.95 PASSING F. IF NO CONTACT,"
"2026/01/22","IR","002","ZTL",11,"         TRY ASHEVILLE APP CON ON 351.8 OR 124.65 FOR FURTHER IFR"
"2026/01/22","IR","002","ZTL",12,"         CLEARANCE."
"2026/01/22","IR","002","ZTL",15,"(4)    CAUTION: HEAVY CIVIL IFR TRAFFIC CROSSING ON V-16, V-185,"
"2026/01/22","IR","002","ZTL",20,"         V-136 IMMEDIATELY ABOVE ROUTE ALTITUDE BLOCK D TO H."
"2026/01/22","IR","002","ZTL",22,"         NOTE: KNOXVILLE APPROACH CONTROL HAS VERY GOOD RADAR"
"2026/01/22","IR","002","ZTL",25,"         COVERAGE IN THIS AREA (FREQUENCY 360.8/353.6)."
"2026/01/22","IR","002","ZTL",30,"(5)    CAUTION: HANG GLIDER ACTIVITY: N36-26.7 W84-02.7,"
"2026/01/22","IR","002","ZTL",35,"         N36-15.0 W83-38.0, N36-22.0 W83-22.0 N35-54.5"
"2026/01/22","IR","002","ZTL",37,"         W83-17.8"
"2026/01/22","IR","002","ZTL",40,"(6)     CAUTION:"
"2026/01/22","IR","002","ZTL",45,"     (A)     TOWER CLUSTER 250' AGL (3779' MSL) N35-54.0 W83-18.2."
"2026/01/22","IR","002","ZTL",50,"     (B)     TOWER 300' AGL (1500' MSL) N36-08.8 W83-13.3."
"2026/01/22","IR","002","ZTL",52,"(7)    CAUTION: CONFLICTING ROUTES: IR-743/VR-1743 SAME DIRECTION"
"2026/01/22","IR","002","ZTL",55,"         E - H (DECONFLICT WITH SCHEDULING ACTIVITY)."
