"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","TERRAIN_SEQ_NO","TERRAIN_TEXT"
"2026/01/22","IR","002","ZTL",5,"AUTHORIZED FROM A TO H."
"2026/01/22","IR","012","ZDC",5,"AUTHORIZED FROM A TO E, AND FROM A TO FA."
"2026/01/22","IR","016","ZJX",5,"AUTHORIZED FROM A TO G IAW COMMAND DIRECTIVES."
"2026/01/22","IR","017","ZJX ZTL",5,"AUTHORIZED FOR ENTIRE ROUTE."
"2026/01/22","IR","023","ZJX",5,"AUTHORIZED FROM A TO E."
"2026/01/22","IR","030","ZHU ZJX ZTL",5,"AUTHORIZED FROM E TO M."
"2026/01/22","IR","031","ZHU ZJX ZTL",5,"AUTHORIZED FROM E TO M."
"2026/01/22","IR","034","ZMA",5,"AUTHORIZED FROM D TO K."
"2026/01/22","IR","035","ZDC",5,"AFTER CROSSING"
"2026/01/22","IR","035","ZDC",10,"THE COAST AT 2000' MSL OR HIGHER, A DESCENT TO 300' AGL (FIGHTER"
"2026/01/22","IR","035","ZDC",15,"AIRCRAFT 500') CAN BE INITIATED ONCE NORTH OF ILM 260 DEGREES"
"2026/01/22","IR","035","ZDC",20,"RADIAL. FROM A TO G, 300' AGL MODIFIED CONTOUR FLYING WILL BE"
"2026/01/22","IR","035","ZDC",25,"CONDUCTED IN VMC. IFR/VFR TERRAIN FOLLOWING (TF) TO 300' AGL IS"
"2026/01/22","IR","035","ZDC",30,"AUTHORIZED IAW COMMAND DIRECTIVES WITHIN PUBLISHED ALTITUDE"
"2026/01/22","IR","035","ZDC",35,"BLOCKS FROM A TO G. WHEN COMMAND DIRECTIVES PRECLUDE TF"
"2026/01/22","IR","035","ZDC",40,"(VISUAL/CONTOUR OPERATIONS), AIRCREWS WILL MAINTAIN THE IFR"
"2026/01/22","IR","035","ZDC",45,"ALTITUDE FOR EACH ROUTE SEGMENT. THE TOP OF THE BLOCK ALTITUDE"
"2026/01/22","IR","035","ZDC",50,"PROVIDES FOR A MINIMUM OF 900' CLEARANCE ABOVE THE HIGHEST"
"2026/01/22","IR","035","ZDC",55,"OBSTACLE ON THAT LEG (WITHIN 5 NM OF COURSE CENTERLINE)."
"2026/01/22","IR","036","",5,"300' AGL"
"2026/01/22","IR","036","",10,"MODIFIED COUTOUR LOW LEVEL OPERATIONS APPROVED FOR THE ENTIRE"
"2026/01/22","IR","036","",15,"ROUTE VMC. IFR TERRAIN FOLLOWING (TF) TO 300' AGL IS AUTHORIZED"
"2026/01/22","IR","036","",20,"IAW COMMAND DIRECTIVES WITHIN PUBLISHED ALTITUDE BLOCKS FROM"
"2026/01/22","IR","036","",25,"A TO H (ROUND ROBIN). WHEN COMMAND DIRECTIVES PRECLUDE"
"2026/01/22","IR","036","",30,"TF/VISUAL CONTOUR OPERATIONS, AIRCREWS WILL MAINTAIN THE IFR"
"2026/01/22","IR","036","",35,"ALTITUDE FOR EACH ROUTE SEGMENT. THE TOP OF THE BLOCK ALTITUDE"
"2026/01/22","IR","036","",40,"PROVIDES FOR A MINIMUM OF 1000' CLEARANCE ABOVE THE HIGHEST"
"2026/01/22","IR","036","",45,"OBSTACLE ON THAT LEG (WITHIN 5 NM OF COURSE CENTERLINE)."
"2026/01/22","IR","046","ZJX ZMA",5,"AUTHORIZED FOR ENTIRE ROUTE."
"2026/01/22","IR","049","ZMA",5,"AUTHORIZED FOR ENTIRE ROUTE."
"2026/01/22","IR","050","ZMA",5,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","051","ZMA",5,"CONTOUR FLYING"
"2026/01/22","IR","051","ZMA",10,"AND TERRAIN FOLLOWING RADAR FLYING AUTHORIZED FROM A TO D AND"
"2026/01/22","IR","051","ZMA",15,"F TO M. MINIMUM IMC ALTITUDE 1700' MSL FROM A TO D AND FROM F TO"
"2026/01/22","IR","051","ZMA",20,"M. MINIMUM IMC ALTITUDE 3000' MSL FROM D TO F."
"2026/01/22","IR","055","ZMA",5,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","056","ZMA",5,"AUTHORIZED FROM D TO O."
"2026/01/22","IR","057","ZJX ZTL",5,"ENTIRE ROUTE DESIGNATED FOR TERRAIN  FOLLOWING"
"2026/01/22","IR","057","ZJX ZTL",10,"OPERATIONS BY MC-130 AND CV-22 AIRCRAFT. SPECIAL"
"2026/01/22","IR","057","ZJX ZTL",15,"EQUIPMENT AND PROCEDURES ENABLE MC-130'S AND MH-53'S TO"
"2026/01/22","IR","057","ZJX ZTL",20,"OPERATE AT A LOWER THAN STANDARD IFR TERRAIN"
"2026/01/22","IR","057","ZJX ZTL",22,"CLEARANCE ALTITUDES."
"2026/01/22","IR","059","ZJX ZTL",5,"ENTIRE ROUTE"
"2026/01/22","IR","059","ZJX ZTL",10,"DESIGNATED FOR TERRAIN FOLLOWING OPERATIONS BY MC-130 AND"
"2026/01/22","IR","059","ZJX ZTL",15,"CV-22 AIRCRAFT. SPECIAL EQUIPMENT AND PROCEDURES ENABLE"
"2026/01/22","IR","059","ZJX ZTL",20,"MC-130'S AND CV-22S TO OPERATE AT A LOWER THAN STANDARD IFR"
"2026/01/22","IR","059","ZJX ZTL",25,"TERRAIN CLEARANCE ALTITUDES."
"2026/01/22","IR","066","ZME ZTL",5,"MINIMUM"
"2026/01/22","IR","066","ZME ZTL",10,"ALTITUDE 1500' AGL A TO B. AUTHORIZED IAW COMMAND DIRECTIVES"
"2026/01/22","IR","066","ZME ZTL",15,"WITH ENROUTE STRUCTURE FROM B TO I."
"2026/01/22","IR","067","ZME ZTL",5,"MINIMUM ALTITUDE 1500' AGL A TO B. AUTHORIZED IAW COMMAND"
"2026/01/22","IR","067","ZME ZTL",10,"DIRECTIVES WITH ENROUTE STRUCTURE FROM B TO I."
"2026/01/22","IR","068","ZME",5,"AUTHORIZED"
"2026/01/22","IR","068","ZME",10,"IAW COMMAND DIRECTIVES WITHIN ROUTE STRUCTURE FROM A TO E."
"2026/01/22","IR","070","ZFW ZME",5,"AUTHORIZED IAW COMMAND DIRECTIVES WITHIN ENTIRE ROUTE STRUCTURE."
"2026/01/22","IR","091","ZME",1,"AUTHORIZED IAW COMMAND DIRECTIVES WITHIN ENTIRE ROUTE STRUCTURE."
"2026/01/22","IR","103","ZFW",5,"AUTHORIZED ENTIRE ROUTE IN VMC."
"2026/01/22","IR","105","ZFW",5,"AUTHORIZED FROM POINT A TO H IN VMC."
"2026/01/22","IR","107","ZAB",5,"AUTHORIZED ENTIRE ROUTE IAW MAJOR COMMAND/MDS GUIDANCE."
"2026/01/22","IR","109","ZAB ZDV",5,"AUTHORIZED ENTIRE ROUTE IAW MAJOR COMMAND/MDS GUIDANCE."
"2026/01/22","IR","111","ZAB",5,"AUTHORIZED ENTIRE ROUTE IAW MAJOR COMMAND/MDS GUIDANCE."
"2026/01/22","IR","112","ZAB ZDV",5,"AUTHORIZED ENTIRE  ROUTE."
"2026/01/22","IR","112","ZAB ZDV",10,"IAW MAJOR COMMAND / MDS GUIDANCE."
"2026/01/22","IR","113","ZAB",5,"AUTHORIZED ENTIRE ROUTE IAW MAJOR COMMAND/MDS GUIDANCE."
"2026/01/22","IR","117","ZFW ZME",5," AUTHORIZED FOR ENTIRE ROUTE."
"2026/01/22","IR","117","ZFW ZME",10,"ONLY OBSTACLES 200' AGL AND HIGHER WERE SURVEYED FOR"
"2026/01/22","IR","117","ZFW ZME",15,"THIS MTR, AND THE MINIMUM SCHEDULABLE ALTITUDE FOR TRAINING"
"2026/01/22","IR","117","ZFW ZME",20,"IS 500' AGL."
"2026/01/22","IR","120","ZME",5,"AUTHORIZED FOR ENTIRE ROUTE."
"2026/01/22","IR","120","ZME",10,"ONLY OBSTACLES 200' AGL AND HIGHER WERE SURVEYED FOR"
"2026/01/22","IR","120","ZME",15,"THIS MTR, AND THE MINIMUM SCHEDULABLE ALTITUDE FOR"
"2026/01/22","IR","120","ZME",20,"FOR TRAINING IS 500' AGL FOR POINTS A-D."
"2026/01/22","IR","121","ZFW ZME",5,"AUTHORIZED FOR THE ENTIRE ROUTE."
"2026/01/22","IR","121","ZFW ZME",10,"ONLY OBSTACLES 200' AGL AND HIGHER WERE SURVEYED FOR"
"2026/01/22","IR","121","ZFW ZME",15,"THIS MTR, AND THE MINIMUM SCHEDULABLE ALTITUDE FOR"
"2026/01/22","IR","121","ZFW ZME",20,"TRAINING IS 500' AGL."
"2026/01/22","IR","123","ZFW ZHU",5,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","124","ZFW ZHU",5,"AUTHORIZED ENTIRE ROUTE (SEE SOP NUMBER 5)."
"2026/01/22","IR","126","ZDV ZLA ZLC",5,"IMC/VMC"
"2026/01/22","IR","126","ZDV ZLA ZLC",6,"TERRAIN FOLLOWING (TF) TERRAIN AVOIDANCE (TA), VISUAL CONTOUR (VC)"
"2026/01/22","IR","126","ZDV ZLA ZLC",10,"OPERATIONS ARE AUTHORIZED IAW COMMAND DIRECTIVES C TO Z AND"
"2026/01/22","IR","126","ZDV ZLA ZLC",15,"AE TO K. WHEN COMMAND DIRECTIVES PRECLUDE TA/TF/VC"
"2026/01/22","IR","126","ZDV ZLA ZLC",20,"OPERATIONS, AIRCREWS WILL MAINTAIN THE IFR ALTITUDE FOR EACH TA/TF"
"2026/01/22","IR","126","ZDV ZLA ZLC",25,"ROUTE SEGMENT. MINIMUM ALTITUDES, OTHER THAN SURFACE, PROVIDE AT"
"2026/01/22","IR","126","ZDV ZLA ZLC",30,"LEAST 100' VERTICAL CLEARANCE OF KNOWN MAN-MADE OBSTRUCTIONS."
"2026/01/22","IR","126","ZDV ZLA ZLC",35,"OBSTRUCTIONS UNDER 200' AGL WERE NOT CONSIDERED IN ROUTE"
"2026/01/22","IR","126","ZDV ZLA ZLC",40,"DESIGN. COMMAND DIRECTIVES MAY REQUIRE ADDITIONAL OBSTRUCTION"
"2026/01/22","IR","126","ZDV ZLA ZLC",45,"CLEARANCE FOR TA/TF/VC OPERATIONS. THE ENTIRE ROUTE IS"
"2026/01/22","IR","126","ZDV ZLA ZLC",50,"MOUNTAINOUS. REGULATIONS GOVERNING AIRCRAFT OPERATIONS BELOW"
"2026/01/22","IR","126","ZDV ZLA ZLC",55,"500' AGL MUST BE COMPLIED WITH. AUTO TF DESCENT IS AUTHORIZED"
"2026/01/22","IR","126","ZDV ZLA ZLC",60,"AT C AND 11 NM PRIOR TO AE ON THE ALTERNATE ENTRY FOR B-1B"
"2026/01/22","IR","126","ZDV ZLA ZLC",65,"AIRCRAFT."
"2026/01/22","IR","127","ZFW ZHU",5,"AUTHORIZED ENTIRE ROUTE."
"2026/01/22","IR","128","ZAB ZFW",5,"IMC/VMC"
"2026/01/22","IR","128","ZAB ZFW",10,"TERRAIN FOLLOWING (TF) VISUAL CONTOUR (VC) OPERATIONS ARE"
"2026/01/22","IR","128","ZAB ZFW",15,"AUTHORIZED IAW COMMAND DIRECTIVE WITHIN THE PUBLISHED ALTITUDE"
"2026/01/22","IR","128","ZAB ZFW",18,"BLOCKS FROM A TO AE AND 01 TO J1 ON RE-ENTRY BA, AND RA TO RG1"
"2026/01/22","IR","128","ZAB ZFW",20,"ON RE-ENTRY R-5104/5105. VMC TERRAIN AVOIDANCE (TA/VC)"
"2026/01/22","IR","128","ZAB ZFW",25,"OPERATIONS ARE AUTHORIZED WITHIN THE PUBLISHED ALTITUDE BLOCKS"
