"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","WIDTH_SEQ_NO","WIDTH_TEXT"
"2026/01/22","IR","002","ZTL",5,"5 NM EITHER SIDE OF CENTERLINE FOR THE ENTIRE ROUTE."
"2026/01/22","IR","012","ZDC",5,"5 NM EITHER SIDE OF CENTERLINE FROM  A TO B;"
"2026/01/22","IR","012","ZDC",10,"4 NM EITHER SIDE OF CENTERLINE FROM B TO E; 3 NM LEFT AND 1 NM"
"2026/01/22","IR","012","ZDC",15,"RIGHT OF CENTERLINE FROM E TO F; 3 NM LEFT OF CENTERLINE FROM F"
"2026/01/22","IR","012","ZDC",20,"TO ABEAM THE NKT 035/34 (N35-25.0 W76-35.3), THEN 3 NM EITHER"
"2026/01/22","IR","012","ZDC",25,"SIDE OF CENTERLINE TO H."
"2026/01/22","IR","016","ZJX",5,"8 NM EITHER SIDE OF CENTERLINE FROM A TO D;"
"2026/01/22","IR","016","ZJX",10,"3 NM RIGHT AND 4NM LEFT FROM D TO E;"
"2026/01/22","IR","016","ZJX",15,"7NM RIGHT AND 12NM LEFT FROM E TO F."
"2026/01/22","IR","016","ZJX",20,"4 NM EITHER SIDE OF CENTERLINE FROM F TO J."
"2026/01/22","IR","017","ZJX ZTL",5,"5 NM EITHER SIDE OF CENTERLINE FROM  A TO C;"
"2026/01/22","IR","017","ZJX ZTL",10,"4 NM WEST AND 5 NM EAST OF CENTERLINE FROM C TO D; 5 NM EITHER"
"2026/01/22","IR","017","ZJX ZTL",15,"SIDE OF CENTERLINE FROM D TO E; 4 NM NORTH AND 3 NM SOUTH OF"
"2026/01/22","IR","017","ZJX ZTL",20,"CENTERLINE FROM E TO G; 5 NM EITHER SIDE OF CENTERLINE FROM G TO"
"2026/01/22","IR","017","ZJX ZTL",25,"H. (ALTERNATE EXIT) 4 NM EITHER SIDE OF CENTERLINE FROM D1 TO AB."
"2026/01/22","IR","018","ZJX",5,"4 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","019","ZJX",5,"4 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","020","ZJX ZMA",5,"4 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","021","ZJX ZTL",5,"10 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","022","ZDC ZTL",5,"10 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","023","ZJX",5,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","030","ZHU ZJX ZTL",5,"5 NM EITHER SIDE OF CENTERLINE A TO B AND C"
"2026/01/22","IR","030","ZHU ZJX ZTL",10,"TO O; 2 NM WEST SIDE AND 5 NM EAST SIDE OF CENTERLINE B TO C AND"
"2026/01/22","IR","030","ZHU ZJX ZTL",15,"O TO P."
"2026/01/22","IR","031","ZHU ZJX ZTL",5,"5 NM EITHER SIDE OF CENTERLINE A TO B AND C TO O;"
"2026/01/22","IR","031","ZHU ZJX ZTL",10,"2 NM WEST SIDE AND 5 NM EAST SIDE OF CENTERLINE B TO C AND"
"2026/01/22","IR","031","ZHU ZJX ZTL",15,"O TO P."
"2026/01/22","IR","032","ZJX",5,"10 NM EITHER SIDE OF CENTERLINE A TO G."
"2026/01/22","IR","033","ZJX",5,"10NM EITHER SIDE OF CENTERLINE A TO G AND A TO F2."
"2026/01/22","IR","034","ZMA",5,"8 NM EITHER SIDE OF CENTERLINE A TO J;"
"2026/01/22","IR","034","ZMA",10,"6 NM EITHER SIDE OF CENTERLINE J TO K."
"2026/01/22","IR","035","ZDC",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO E;"
"2026/01/22","IR","035","ZDC",10,"5 NM LEFT AND 3 NM RIGHT OF CENTERLINE FROM E TO F; 5 NM EITHER"
"2026/01/22","IR","035","ZDC",15,"SIDE OF CENTERLINE FROM F TO G."
"2026/01/22","IR","036","",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO F;"
"2026/01/22","IR","036","",10,"3 NM RIGHT AND 5 NM LEFT OF CENTERLINE FROM F TO G; 5 NM EITHER"
"2026/01/22","IR","036","",15,"SIDE OF CENTERLINE FROM G TO H."
"2026/01/22","IR","037","ZHU ZME",5,"5 NM EITHER SIDE OF CENTERLINE FROM  A TO C;"
"2026/01/22","IR","037","ZHU ZME",10,"4 NM LEFT AND 5 NM RIGHT OF CENTERLINE FROM C TO D;"
"2026/01/22","IR","037","ZHU ZME",15,"5 NM EITHER SIDE OF CENTERLINE FROM D TO F;"
"2026/01/22","IR","037","ZHU ZME",20,"5 NM LEFT AND 4 NM RIGHT OF CENTERLINE FROM F TO G;"
"2026/01/22","IR","037","ZHU ZME",25,"5 NM EITHER SIDE OF CENTERLINE FROM G TO H."
"2026/01/22","IR","038","ZHU",5,"10 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","040","ZHU ZME",5,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","044","ZME",5,"4 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","046","ZJX ZMA",5,"4 NM EITHER SIDE OF CENTERLINE FROM A TO C;"
