"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","NAV_STATUS","NAME","STATE_NAME","REGION_CODE","COUNTRY_NAME","FAN_MARKER","OWNER","OPERATOR","NAS_USE_FLAG","PUBLIC_USE_FLAG","NDB_CLASS_CODE","OPER_HOURS","HIGH_ALT_ARTCC_ID","HIGH_ARTCC_NAME","LOW_ALT_ARTCC_ID","LOW_ARTCC_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","SURVEY_ACCURACY_CODE","TACAN_DME_STATUS","TACAN_DME_LAT_DEG","TACAN_DME_LAT_MIN","TACAN_DME_LAT_SEC","TACAN_DME_LAT_HEMIS","TACAN_DME_LAT_DECIMAL","TACAN_DME_LONG_DEG","TACAN_DME_LONG_MIN","TACAN_DME_LONG_SEC","TACAN_DME_LONG_HEMIS","TACAN_DME_LONG_DECIMAL","ELEV","MAG_VARN","MAG_VARN_HEMIS","MAG_VARN_YEAR","SIMUL_VOICE_FLAG","PWR_OUTPUT","AUTO_VOICE_ID_FLAG","MNT_CAT_CODE","VOICE_CALL","CHAN","FREQ","MKR_IDENT","MKR_SHAPE","MKR_BRG","ALT_CODE","DME_SSV","LOW_NAV_ON_HIGH_CHART_FLAG","Z_MKR_FLAG","FSS_ID","FSS_NAME","FSS_HOURS","NOTAM_ID","QUAD_IDENT","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","RESTRICTION_FLAG","HIWAS_FLAG"
"2026/02/19","AA","NDB","ND","FARGO","US","OPERATIONAL IFR","KENIE","NORTH DAKOTA","AGL","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","HW/LOM","24","ZMP","MINNEAPOLIS","ZMP","MINNEAPOLIS",47,0,32.5878,"N",47.00905216,96,48,54.6606,"W",-96.8151835,"6","",,,,"",,,,,"",,890.6,4,"E",2005,"N",100,"N","1","NONE","",365,"","",,"","","","N","GFK","GRAND FORKS","24","FAR","","N","N","N","",""
"2026/02/19","AA","NDB","GA","THOMSON","US","OPERATIONAL RESTRICTED","CEDAR","GEORGIA","ASO","UNITED STATES","","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION","Y","Y","MHW","24","ZTL","ATLANTA","ZTL","ATLANTA",33,31,59.82,"N",33.53328333,82,36,51.73,"W",-82.61436944,"","",,,,"",,,,,"",,515.2,4,"W",1995,"N",25,"N","3","NONE","",341,"","",,"","","","","MCN","MACON","24","MCN","","N","N","N","",""
"2026/02/19","AAA","NDB","IL","LINCOLN","US","OPERATIONAL IFR","ABRAHAM","ILLINOIS","AGL","UNITED STATES","","O-COUNTY","O-COUNTY","Y","Y","MHW","24","ZAU","CHICAGO","ZAU","CHICAGO",40,9,36.42,"N",40.16011666,89,20,16.8562,"W",-89.33801561,"5","",,,,"",,,,,"",,590.8,0,"E",1990,"N",25,"N","1","NONE","",329,"","",,"","","","","STL","SAINT LOUIS","24","AAA","","N","N","N","",""
"2026/02/19","AAT","DME","CA","ALTURAS","US","OPERATIONAL RESTRICTED","ALTURAS","CALIFORNIA","AWP","UNITED STATES","","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION","Y","Y","","24","ZSE","SEATTLE","ZSE","SEATTLE",41,29,0.074,"N",41.48335388,120,33,41.55,"W",-120.56154166,"","OPERATIONAL RESTRICTED",41,29,0.074,"N",41.48335388,120,33,41.55,"W",-120.56154166,4378,,"",,"N",,"N","1","NONE","113Y",116.65,"","",,"","DH","","","RNO","RENO","24","AAT","","N","N","N","",""
"2026/02/19","AB","NDB","SD","ABERDEEN","US","OPERATIONAL IFR","RENEY","SOUTH DAKOTA","AGL","UNITED STATES","","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION","Y","Y","LOMW","24","","","","",45,23,9.9815,"N",45.38610597,98,19,42.6393,"W",-98.32851091,"","",,,,"",,,,,"",,1298.1,7,"E",2000,"N",,"N","1","NONE","",203,"","",,"","","","","HON","HURON","24","ABR","","N","N","N","",""
"2026/02/19","AB","NDB","TX","ABILENE","US","OPERATIONAL IFR","TOMHI","TEXAS","ASW","UNITED STATES","","F-FEDERAL AVIATION ADMINISTRATION","F-FEDERAL AVIATION ADMINISTRATION","Y","Y","LOMW","24","","","","",32,17,55.9077,"N",32.29886325,99,40,27.2209,"W",-99.67422802,"","",,,,"",,,,,"",,1895.3,5,"E",2020,"N",,"N","3","NONE","",353,"","",,"","","","","FTW","FORT WORTH","24","ABI","","N","N","N","",""
"2026/02/19","ABG","NDB","TX","BIG SANDY","US","OPERATIONAL VFR ONLY","AMBASSADOR","TEXAS","ASW","UNITED STATES","","P-AMBASSADOR COLLEGE","P-AMBASSADOR COLLEGE","Y","Y","MHW","24","ZFW","FORT WORTH","ZFW","FORT WORTH",32,35,7.7834,"N",32.58549538,95,6,47.23,"W",-95.11311944,"5","",,,,"",,,,,"",,424,7,"E",1970,"N",25,"N","4","NONE","",404,"","",,"","","","N","FTW","FORT WORTH","24","FTW","","N","N","N","",""
"2026/02/19","ABI","VORTAC","TX","ABILENE","US","OPERATIONAL RESTRICTED","ABILENE","TEXAS","ASW","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZFW","FORT WORTH","ZFW","FORT WORTH",32,28,52.7901,"N",32.48133058,99,51,48.4333,"W",-99.86345369,"6","",32,28,52.7901,"N",32.48133058,99,51,48.4333,"W",-99.86345369,1809,10,"E",1965,"N",,"N","1","NONE","84X",113.7,"","",,"VH","H","","","FTW","FORT WORTH","24","ABI","","Y","N","N","",""
"2026/02/19","ABQ","VORTAC","NM","ALBUQUERQUE","US","OPERATIONAL RESTRICTED","ALBUQUERQUE","NEW MEXICO","ASW","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","Y","Y","","24","ZAB","ALBUQUERQUE","ZAB","ALBUQUERQUE",35,2,37.6641,"N",35.04379558,106,48,58.7229,"W",-106.81631191,"7","",35,2,37.6641,"N",35.04379558,106,48,58.7229,"W",-106.81631191,5748.5,13,"E",1965,"N",,"Y","1","NONE","79X",113.2,"","",,"VH","H","","","ABQ","ALBUQUERQUE","24","ABQ","","Y","N","N","",""
"2026/02/19","ABQ","VOT","NM","ALBUQUERQUE","US","OPERATIONAL IFR","ALBUQUERQUE","NEW MEXICO","ASW","UNITED STATES","","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN","N","Y","","24","","","","",35,2,17.484,"N",35.03819,106,36,30.305,"W",-106.60841805,"4","",,,,"",,,,,"",,5318,,"",,"",,"N","","FOUR DOTS PER SECOND","",111,"","",,"","","","","ABQ","ALBUQUERQUE","24","","","","","","",""
