"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","ALTITUDE","BRG","AIR_GND_CODE","CHK_DESC","ARPT_ID","STATE_CHK_CODE"
"2026/02/19","ACK","VOR/DME","MA","NANTUCKET","US",,242,"G","1.9 NM ON RUNUP AREA AT APCH END RWY 24.","ACK","MA"
"2026/02/19","AEL","VOR/DME","MN","ALBERT LEA","US",,96,"G","0.3 NM  ON RAMP BY T HANGARS.","AEL","MN"
"2026/02/19","ALI","VOR","TX","ALICE","US",,272,"G","0.5 NM ON TWY NEAR FBO.","ALI","TX"
"2026/02/19","ALO","VOR/DME","IA","WATERLOO","US",,312,"G","0.8 NM TWY B APCH END RWY 12","ALO","IA"
"2026/02/19","ALW","VOR/DME","WA","WALLA WALLA","US",,41,"G","0.5 NM ON TXY A BTN A2 AND A3.","ALW","WA"
"2026/02/19","APN","VORTAC","MI","ALPENA","US",,203,"G","1.1 NM ON RUNUP FOR RWY 01.","APN","MI"
"2026/02/19","ART","VORTAC","NY","WATERTOWN","US",,46,"G","3.0 NM ON RAMP IN FRONT OF ADMINISTRATION BUILDING.","ART","NY"
"2026/02/19","AST","VOR/DME","OR","ASTORIA","US",,156,"G","0.5 NM EAST EDGE OF RAMP IN FRONT OF LARGE HANGAR.","AST","OR"
"2026/02/19","AWK","VORTAC","QW","WAKE ISLAND","US",,98,"G","1.3 NM RUNUP AREA RWY 28.","AWK","QW"
"2026/02/19","BFF","VORTAC","NE","SCOTTSBLUFF","US",,240,"G","5.1 NM ON NE EDGE RAMP OPPOSITE TERMINAL BLDG & W OF TWY TO RY 30.","BFF","NE"
"2026/02/19","BGR","VORTAC","ME","BANGOR","US",,153,"G","3.8 NM ON RUNUP AREA RY 33.","BGR","ME"
"2026/02/19","BIS","VOR/DME","ND","BISMARCK","US",,262,"G","3.0 NM TWY C5","BIS","ND"
"2026/02/19","BIS","VOR/DME","ND","BISMARCK","US",,275,"G","4.2 NM TWY C1 APCH END RWY 13","BIS","ND"
"2026/02/19","BQN","VORTAC","PR","AGUADILLA","US",,271,"G","2.2 NM ON APCH END OF RWY 08.","BQN","PR"
"2026/02/19","BRO","VORTAC","TX","BROWNSVILLE","US",,247,"G","3.2 NM ON HOLD LINE RWY 13.","BRO","TX"
"2026/02/19","BVO","VOR/DME","OK","BARTLESVILLE","US",,166,"G","4.5 NM ON PARALLEL TWY OPPOSITE TERMINAL. VOR CHECK POINT OTS INDEFLY.","BVO","OK"
"2026/02/19","BZN","VOR/DME","MT","BOZEMAN","US",,145,"G","0.7 NM TWY H AT TWY A.","BZN","MT"
"2026/02/19","BZN","VOR/DME","MT","BOZEMAN","US",,272,"G","0.5 NM TWY AT APCH END RWY 12.","BZN","MT"
"2026/02/19","CAE","VORTAC","SC","COLUMBIA","US",,322,"G","6.8 NM. TWY A BETWEEN A1 & A2.","CAE","SC"
"2026/02/19","CBM","VORTAC","MS","COLUMBUS","US",,152,"G","0.7 NM S HAMMERHEAD, F TWY.","CBM","MS"
"2026/02/19","CBM","VORTAC","MS","COLUMBUS","US",,302,"G","1.3 NM N. HAMMERHEAD (VTAC)","CBM","MS"
"2026/02/19","CHS","VORTAC","SC","CHARLESTON","US",,133,"G","0.3 NM AT RUNUP AREA RWY 33.","CHS","SC"
"2026/02/19","CHS","VORTAC","SC","CHARLESTON","US",,225,"G","0.7 NM TWY D RWY 03.","CHS","SC"
"2026/02/19","CHS","VORTAC","SC","CHARLESTON","US",,336,"G","1.2 NM AT RUNUP PAD RWY 15.","CHS","SC"
"2026/02/19","CHS","VORTAC","SC","CHARLESTON","US",,359,"G","0.6 NM AT RUNUP PAD RWY 21.","CHS","SC"
"2026/02/19","CID","VOR/DME","IA","CEDAR RAPIDS","US",,92,"G","4 NM ON RUNUP PAD RY 31.","CID","IA"
"2026/02/19","CKV","VOR/DME","TN","CLARKSVILLE","US",,307,"G","4.9 NM ON TWY 6 CT ROMEO HELIPAD.","HOP","KY"
"2026/02/19","CME","VORTAC","NM","ROSWELL","US",,100,"G","5.2 NM ON MIDDLE W RAMP ADJ TO TWY","ROW","NM"
"2026/02/19","CMI","VORTAC","IL","CHAMPAIGN/URBANA","US",,332,"G","0.9 NM ON RUNUP PAD RWY 14L.","CMI","IL"
"2026/02/19","CRE","VORTAC","SC","NORTH MYRTLE BEACH","US",,213,"G","0.7 NM ON RUNUP PAD RWY 05.","CRE","SC"
"2026/02/19","CVO","VOR/DME","OR","CORVALLIS","US",,49,"G",".5 NM ON S EDGE OF TERMINAL RAMP.","CVO","OR"
"2026/02/19","DBQ","VORTAC","IA","DUBUQUE","US",,109,"G","0.5 NM APCH END RY 31.","DBQ","IA"
"2026/02/19","DIK","VORTAC","ND","DICKINSON","US",,182,"G","TAXIWAY B NEAR RAMP.","DIK","ND"
"2026/02/19","DJB","VOR/DME","OH","CLEVELAND","US",,222,"G","1.3 NM AT INTERSECTION OF TAXIWAY AND RAMP.","LPR","OH"
"2026/02/19","DLF","VORTAC","TX","DEL RIO","US",,198,"G",".5 NM ON RAMP APCH END RY 31L.","DLF","TX"
"2026/02/19","DLF","VORTAC","TX","DEL RIO","US",,275,"G",".9 NM ON RAMP APCH END RY 13R.","DLF","TX"
"2026/02/19","DLH","VORTAC","MN","DULUTH","US",,345,"G","2.3 NM, TWY A2 AT RUN-UP PAD","DLH","MN"
"2026/02/19","DQO","VORTAC","DE","WILMINGTON","US",,285,"G",".6 NM ON TWY K AT RWY 09.","ILG","DE"
"2026/02/19","DRO","VOR/DME","CO","DURANGO","US",,215,"G","1.0 NM - RUNUP AREA RWY 03.","DRO","CO"
"2026/02/19","EAT","VOR/DME","WA","WENATCHEE","US",,102,"G","ON TWY E, SE OF TWY A2 AND SW OF HANGERS.","EAT","WA"
"2026/02/19","EAU","VORTAC","WI","EAU CLAIRE","US",,182,"G","2.1 NM CENTER OF FBO RAMP.","EAU","WI"
"2026/02/19","ELY","VOR/DME","NV","ELY","US",,59,"G","0.6 NM ON NE SIDE OF TWY A2 PRIOR TO INTXN WITH TWY A.","ELY","NV"
"2026/02/19","EUG","VORTAC","OR","EUGENE","US",,117,"G",".5 NM, SOUTH SIDE GENERAL AVIATION PARKING ABEAM TWY H.","EUG","OR"
"2026/02/19","FAI","VORTAC","AK","FAIRBANKS","US",,58,"G","10.8 NM - SOUTH RAMP ADJ TO RWY 25 TOUCHDOWN","FBK","AK"
"2026/02/19","FDK","VOR/DME","MD","FREDERICK","US",,33,"G","0.6 NM ON RUNUP PAD APCH END RY 23.","FDK","MD"
"2026/02/19","FDK","VOR/DME","MD","FREDERICK","US",,359,"G","0.6 NM INT TWYS 'C' & 'B'.","FDK","MD"
"2026/02/19","FHU","VOR/DME","AZ","FORT HUACHUCA SIERRA VISTA","US",,80,"G","1.3 NM - RUNUP AREA TWY G AT RWY 26 END","FHU","AZ"
"2026/02/19","FNT","VORTAC","MI","FLINT","US",,170,"G","0.9 NM TWY A SOUTH OF TWY E.","FNT","MI"
"2026/02/19","FSD","VORTAC","SD","SIOUX FALLS","US",,143,"G","4.3 NM W SIDE OF E GEN AVN/FBO RAMP. ","FSD","SD"
"2026/02/19","FTK","VOR/DME","KY","FORT KNOX","US",,22,"G","0.3 NM AT HOLD POSITION ON DELTA TWY.","FTK","KY"
"2026/02/19","FTK","VOR/DME","KY","FORT KNOX","US",,144,"G","0.3 NM AT HOLD POSITION ON ALPHA TWY.","FTK","KY"
"2026/02/19","GCK","VORTAC","KS","GARDEN CITY","US",,358,"G","1.2 NM AT NORTH RUNUP AREA ON TWY A.","GCK","KS"
"2026/02/19","GFK","VOR/DME","ND","GRAND FORKS","US",,157,"G","1 NM ON TWY A5.","GFK","ND"
"2026/02/19","GGG","VORTAC","TX","LONGVIEW","US",,128,"G","2.4 NM AT N END OF RAMP ON TWY TO RWY 13.","GGG","TX"
"2026/02/19","GLD","VORTAC","KS","GOODLAND","US",,201,"G","1.2 NM ON PARKING RAMP IN FRONT OF AIR TERMINAL.","GLD","KS"
"2026/02/19","GLR","VOR/DME","MI","GAYLORD","US",,77,"G","0.6 NM SE CORNER OF RAMP.","GLR","MI"
"2026/02/19","GPT","VORTAC","MS","GULFPORT","US",,89,"G","0.6 DME, EAST RAMP TWY A NEAR TWY B","GPT","MS"
"2026/02/19","GRB","VORTAC","WI","GREEN BAY","US",,141,"G","4.6 NM ON TWY  M AT RY 18 APCH END.","GRB","WI"
"2026/02/19","GRI","VOR/DME","NE","GRAND ISLAND","US",,177,"G","1.5 NM ON PARALLEL TWY AT AER RY 35.","GRI","NE"
"2026/02/19","GTF","VORTAC","MT","GREAT FALLS","US",,30,"G","2.3 NM ON TWY A, BETWEEN A5 AND A6","GTF","MT"
"2026/02/19","GTF","VORTAC","MT","GREAT FALLS","US",,30,"G1","2.9 NM AT INTERSECTION OF TWY A/A3.","GTF","MT"
"2026/02/19","GXU","VORTAC","NJ","WRIGHTSTOWN","US",,212,"G","GXU 0.3 RY 06 RUNUP PAD.","WRI","NJ"
"2026/02/19","HLG","VOR/DME","WV","WHEELING","US",,226,"G","ON TWY D NEXT TO RAMP.","HLG","WV"
"2026/02/19","HLN","VORTAC","MT","HELENA","US",,242,"G","0.7 NM ON TAXIWAY E ON SOUTH SIDE OF RY 27.","HLN","MT"
"2026/02/19","HMV","VORTAC","TN","HOLSTON MOUNTAIN","US",,285,"G","13.5 NM NEAR APP END RWY 23","TRI","TN"
"2026/02/19","HRO","VOR/DME","AR","HARRISON","US",,135,"G","INTERSECTION OF TWY A & B.","HRO","AR"
"2026/02/19","IAH","VORTAC","TX","HOUSTON","US",,339,"G","2.2 NM ON RUNUP PAD RY 08.","IAH","TX"
"2026/02/19","IDA","VOR/DME","ID","IDAHO FALLS","US",,208,"G","0.8 NM AT INT OF TWYS A AND A4.","IDA","ID"
"2026/02/19","IGM","VOR/DME","AZ","KINGMAN","US",,220,"G","1 NM - CTR R/U AREA APCH END RWY 03","IGM","AZ"
