CSV File,Column Name,Max Length,Data Type,Nullable
NAV_BASE,EFF_DATE,10,VARCHAR,No
NAV_BASE,NAV_ID,4,VARCHAR,No
NAV_BASE,NAV_TYPE,25,VARCHAR,No
NAV_BASE,STATE_CODE,2,VARCHAR,Yes
NAV_BASE,CITY,40,VARCHAR,No
NAV_BASE,COUNTRY_CODE,2,VARCHAR,No
NAV_BASE,NAV_STATUS,30,VARCHAR,No
NAV_BASE,NAME,30,VARCHAR,No
NAV_BASE,STATE_NAME,30,VARCHAR,Yes
NAV_BASE,REGION_CODE,3,VARCHAR,Yes
NAV_BASE,COUNTRY_NAME,30,VARCHAR,No
NAV_BASE,FAN_MARKER,30,VARCHAR,Yes
NAV_BASE,OWNER,50,VARCHAR,Yes
NAV_BASE,OPERATOR,50,VARCHAR,Yes
NAV_BASE,NAS_USE_FLAG,1,VARCHAR,No
NAV_BASE,PUBLIC_USE_FLAG,1,VARCHAR,No
NAV_BASE,NDB_CLASS_CODE,11,VARCHAR,Yes
NAV_BASE,OPER_HOURS,11,VARCHAR,Yes
NAV_BASE,HIGH_ALT_ARTCC_ID,4,VARCHAR,Yes
NAV_BASE,HIGH_ARTCC_NAME,30,VARCHAR,Yes
NAV_BASE,LOW_ALT_ARTCC_ID,4,VARCHAR,Yes
NAV_BASE,LOW_ARTCC_NAME,30,VARCHAR,Yes
NAV_BASE,LAT_DEG,"(2,0)",NUMBER,No
NAV_BASE,LAT_MIN,"(2,0)",NUMBER,No
NAV_BASE,LAT_SEC,"(6,4)",NUMBER,No
NAV_BASE,LAT_HEMIS,1,VARCHAR,No
NAV_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
NAV_BASE,LONG_DEG,"(3,0)",NUMBER,No
NAV_BASE,LONG_MIN,"(2,0)",NUMBER,No
NAV_BASE,LONG_SEC,"(6,4)",NUMBER,No
NAV_BASE,LONG_HEMIS,1,VARCHAR,No
NAV_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
NAV_BASE,SURVEY_ACCURACY_CODE,1,VARCHAR,Yes
NAV_BASE,TACAN_DME_STATUS,30,VARCHAR,Yes
NAV_BASE,TACAN_DME_LAT_DEG,"(2,0)",NUMBER,Yes
NAV_BASE,TACAN_DME_LAT_MIN,"(2,0)",NUMBER,Yes
NAV_BASE,TACAN_DME_LAT_SEC,"(6,4)",NUMBER,Yes
NAV_BASE,TACAN_DME_LAT_HEMIS,1,VARCHAR,Yes
NAV_BASE,TACAN_DME_LAT_DECIMAL,"(10,8)",NUMBER,Yes
NAV_BASE,TACAN_DME_LONG_DEG,"(3,0)",NUMBER,Yes
NAV_BASE,TACAN_DME_LONG_MIN,"(2,0)",NUMBER,Yes
NAV_BASE,TACAN_DME_LONG_SEC,"(6,4)",NUMBER,Yes
NAV_BASE,TACAN_DME_LONG_HEMIS,1,VARCHAR,Yes
NAV_BASE,TACAN_DME_LONG_DECIMAL,"(11,8)",NUMBER,Yes
NAV_BASE,ELEV,"(6,1)",NUMBER,Yes
NAV_BASE,MAG_VARN,"(2,0)",NUMBER,Yes
NAV_BASE,MAG_VARN_HEMIS,1,VARCHAR,Yes
NAV_BASE,MAG_VARN_YEAR,"(4,0)",NUMBER,Yes
NAV_BASE,SIMUL_VOICE_FLAG,1,VARCHAR,Yes
NAV_BASE,PWR_OUTPUT,"(4,0)",NUMBER,Yes
NAV_BASE,AUTO_VOICE_ID_FLAG,1,VARCHAR,Yes
NAV_BASE,MNT_CAT_CODE,1,VARCHAR,Yes
NAV_BASE,VOICE_CALL,60,VARCHAR,Yes
NAV_BASE,CHAN,4,VARCHAR,Yes
NAV_BASE,FREQ,"(5,2)",NUMBER,Yes
NAV_BASE,MKR_IDENT,30,VARCHAR,Yes
NAV_BASE,MKR_SHAPE,1,VARCHAR,Yes
