"EFF_DATE","NAV_ID","NAV_TYPE","STATE_CODE","CITY","COUNTRY_CODE","TAB_NAME","REF_COL_NAME","REF_COL_SEQ_NO","REMARK"
"2026/02/19","AA","NDB","GA","THOMSON","US","NAVIGATION_AID","GENERAL_REMARK",1,"NDB UNUSBL BYD 15 NM."
"2026/02/19","AAT","DME","CA","ALTURAS","US","NAVIGATION_AID","GENERAL_REMARK",1,"DME UNUSBL 040T-130T BYD 30 NM BLW 17800 FT; 220T-230T BYD 25 NM BLW 10500 FT."
"2026/02/19","ABG","NDB","TX","BIG SANDY","US","NAVIGATION_AID","LAT_LONG_SOURCE_CODE",1,"3RD PARTY SURVEY."
"2026/02/19","ABI","VORTAC","TX","ABILENE","US","NAVIGATION_AID","GENERAL_REMARK",1,"VOR UNUSBL 163-236 BYD 40 NM BLW 18000 FT; 237-247 BYD 40 NM BLW 7000 FT; 248-250 BYD 40 NM BLW 18000 FT; 251-255 BYD 40 NM BLW 4500 FT; 251-255 BYD 46 NM BLW 18000 FT."
"2026/02/19","ABQ","VORTAC","NM","ALBUQUERQUE","US","NAVIGATION_AID","GENERAL_REMARK",1,"TACAN AZM UNUSBL 040-055 BYD 30 NM BLW 15000 FT."
"2026/02/19","ABQ","VORTAC","NM","ALBUQUERQUE","US","NAVIGATION_AID","GENERAL_REMARK",2,"VOR UNUSBL 039-078 BYD 40 NM; 111-133 BYD 40 NM BLW 14000 FT; 211-216 BYD 40 NM BLW 9000 FT; 211-216 BYD 52 NM; 257-262 BYD 40 NM BLW 9000 FT; 257-262 NM BYD 63 NM; 271-280 BYD 40 NM BLW 13300 FT; 271-280 BYD 49 NM; 281-327 BYD 40 NM BLW 11000 FT; 281-327 BYD 63 NM; 327-333 BYD 40 NM BLW 11500 FT."
"2026/02/19","ABQ","VOT","NM","ALBUQUERQUE","US","NAVIGATION_AID","GENERAL_REMARK",1,"VOT UNUSABLE NORTH OF RWY 08/26."
"2026/02/19","ABR","VOR/DME","SD","ABERDEEN","US","NAVIGATION_AID","GENERAL_REMARK",1,"VOR UNUSBL 040-065 BYD 40 NM BLW 18000 FT."
"2026/02/19","ACK","VOR/DME","MA","NANTUCKET","US","NAVIGATION_AID","GENERAL_REMARK",1,"VOR UNUSBL 110-120 BYD 40 NM."
"2026/02/19","ACO","VOR/DME","OH","AKRON","US","NAVIGATION_AID","GENERAL_REMARK",1,"DME UNUSBL BYD 10 NM."
