CSV File,Column Name,Max Length,Data Type,Nullable
PFR_BASE,EFF_DATE,10,VARCHAR,No
PFR_BASE,ORIGIN_ID,5,VARCHAR,No
PFR_BASE,ORIGIN_CITY,40,VARCHAR,Yes
PFR_BASE,ORIGIN_STATE_CODE,2,VARCHAR,Yes
PFR_BASE,ORIGIN_COUNTRY_CODE,2,VARCHAR,No
PFR_BASE,DSTN_ID,5,VARCHAR,No
PFR_BASE,DSTN_CITY,40,VARCHAR,Yes
PFR_BASE,DSTN_STATE_CODE,2,VARCHAR,Yes
PFR_BASE,DSTN_COUNTRY_CODE,2,VARCHAR,No
PFR_BASE,PFR_TYPE_CODE,3,VARCHAR,No
PFR_BASE,ROUTE_NO,"(2,0)",NUMBER,No
PFR_BASE,SPECIAL_AREA_DESCRIP,75,VARCHAR,Yes
PFR_BASE,ALT_DESCRIP,40,VARCHAR,Yes
PFR_BASE,AIRCRAFT,50,VARCHAR,Yes
PFR_BASE,HOURS,15,VARCHAR,Yes
PFR_BASE,ROUTE_DIR_DESCRIP,20,VARCHAR,Yes
PFR_BASE,DESIGNATOR,5,VARCHAR,Yes
PFR_BASE,NAR_TYPE,20,VARCHAR,Yes
PFR_BASE,INLAND_FAC_FIX,5,VARCHAR,Yes
PFR_BASE,COASTAL_FIX,5,VARCHAR,Yes
PFR_BASE,DESTINATION,40,VARCHAR,Yes
PFR_BASE,ROUTE_STRING,300,VARCHAR,Yes
PFR_SEG,EFF_DATE,10,VARCHAR,No
PFR_SEG,ORIGIN_ID,5,VARCHAR,No
PFR_SEG,DSTN_ID,5,VARCHAR,No
PFR_SEG,PFR_TYPE_CODE,3,VARCHAR,No
PFR_SEG,ROUTE_NO,"(2,0)",NUMBER,No
PFR_SEG,SEGMENT_SEQ,"(3,0)",NUMBER,No
PFR_SEG,SEG_VALUE,30,VARCHAR,No
PFR_SEG,SEG_TYPE,6,VARCHAR,No
PFR_SEG,STATE_CODE,2,VARCHAR,Yes
PFR_SEG,COUNTRY_CODE,2,VARCHAR,Yes
PFR_SEG,ICAO_REGION_CODE,2,VARCHAR,Yes
PFR_SEG,NAV_TYPE,25,VARCHAR,Yes
PFR_SEG,NEXT_SEG,30,VARCHAR,Yes
PFR_RMT_FMT,Orig,5,VARCHAR,No
PFR_RMT_FMT,Route String,300,VARCHAR,Yes
PFR_RMT_FMT,Dest,5,VARCHAR,No
PFR_RMT_FMT,Hours1,15,VARCHAR,Yes
PFR_RMT_FMT,Type,3,VARCHAR,No
PFR_RMT_FMT,Area,75,VARCHAR,Yes
PFR_RMT_FMT,Altitude,40,VARCHAR,Yes
PFR_RMT_FMT,Aircraft,50,VARCHAR,Yes
PFR_RMT_FMT,Direction,20,VARCHAR,Yes
PFR_RMT_FMT,Seq,"(2,0)",NUMBER,No
PFR_RMT_FMT,DCNTR,4,VARCHAR,Yes
PFR_RMT_FMT,ACNTR,4,VARCHAR,Yes
