"EFF_DATE","ORIGIN_ID","DSTN_ID","PFR_TYPE_CODE","ROUTE_NO","SEGMENT_SEQ","SEG_VALUE","SEG_TYPE","STATE_CODE","COUNTRY_CODE","ICAO_REGION_CODE","NAV_TYPE","NEXT_SEG"
"2026/01/22","ABE","ACY","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","ARD"
"2026/01/22","ABE","ACY","TEC",1,10,"ARD","NAVAID","PA","US","","VOR/DME","CYN"
"2026/01/22","ABE","ACY","TEC",1,15,"CYN","NAVAID","NJ","US","","VORTAC",""
"2026/01/22","ABE","ALB","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","LAAYK"
"2026/01/22","ABE","ALB","TEC",1,10,"LAAYK","FIX","PA","US","K6","",""
"2026/01/22","ABE","AVP","TEC",2,5,"FJC","NAVAID","PA","US","","VORTAC","LVZ"
"2026/01/22","ABE","AVP","TEC",2,10,"LVZ","NAVAID","PA","US","","VORTAC",""
"2026/01/22","ABE","BDL","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","T299"
"2026/01/22","ABE","BDL","TEC",1,10,"T299","AIRWAY","","","","","HUO"
"2026/01/22","ABE","BDL","TEC",1,15,"HUO","NAVAID","NY","US","","VOR/DME","IGN"
"2026/01/22","ABE","BDL","TEC",1,20,"IGN","NAVAID","NY","US","","VOR/DME","PWL"
"2026/01/22","ABE","BDL","TEC",1,25,"PWL","NAVAID","NY","US","","VOR/DME","BRISS"
"2026/01/22","ABE","BDL","TEC",1,30,"BRISS","FIX","CT","US","K6","",""
"2026/01/22","ABE","BWI","TEC",3,5,"ETX","NAVAID","PA","US","","VOR/DME","V39"
"2026/01/22","ABE","BWI","TEC",3,10,"V39","AIRWAY","","","","","LRP"
"2026/01/22","ABE","BWI","TEC",3,15,"LRP","NAVAID","PA","US","","VOR/DME","T449"
"2026/01/22","ABE","BWI","TEC",3,20,"T449","AIRWAY","","","","","KITHE"
"2026/01/22","ABE","BWI","TEC",3,25,"KITHE","FIX","PA","US","K6","",""
"2026/01/22","ABE","DCA","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME","V39"
"2026/01/22","ABE","DCA","TEC",1,10,"V39","AIRWAY","","","","","LRP"
"2026/01/22","ABE","DCA","TEC",1,15,"LRP","NAVAID","PA","US","","VOR/DME","T449"
"2026/01/22","ABE","DCA","TEC",1,20,"T449","AIRWAY","","","","","KITHE"
"2026/01/22","ABE","DCA","TEC",1,25,"KITHE","FIX","PA","US","K6","","BAL"
"2026/01/22","ABE","DCA","TEC",1,30,"BAL","NAVAID","MD","US","","VORTAC",""
"2026/01/22","ABE","EWR","TEC",3,5,"FJC","NAVAID","PA","US","","VORTAC","BWZ"
"2026/01/22","ABE","EWR","TEC",3,10,"BWZ","NAVAID","NJ","US","","VOR/DME",""
"2026/01/22","ABE","FRG","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME","T430"
"2026/01/22","ABE","FRG","TEC",1,10,"T430","AIRWAY","","","","","SBJ"
"2026/01/22","ABE","FRG","TEC",1,15,"SBJ","NAVAID","NJ","US","","VOR/DME",""
"2026/01/22","ABE","HFD","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","T299"
"2026/01/22","ABE","HFD","TEC",1,10,"T299","AIRWAY","","","","","HUO"
"2026/01/22","ABE","HFD","TEC",1,15,"HUO","NAVAID","NY","US","","VOR/DME","IGN"
"2026/01/22","ABE","HFD","TEC",1,20,"IGN","NAVAID","NY","US","","VOR/DME","PWL"
"2026/01/22","ABE","HFD","TEC",1,25,"PWL","NAVAID","NY","US","","VOR/DME","BRISS"
"2026/01/22","ABE","HFD","TEC",1,30,"BRISS","FIX","CT","US","K6","",""
"2026/01/22","ABE","HPN","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","T299"
"2026/01/22","ABE","HPN","TEC",1,10,"T299","AIRWAY","","","","","HUO"
"2026/01/22","ABE","HPN","TEC",1,15,"HUO","NAVAID","NY","US","","VOR/DME","IGN"
"2026/01/22","ABE","HPN","TEC",1,20,"IGN","NAVAID","NY","US","","VOR/DME","V157"
"2026/01/22","ABE","HPN","TEC",1,25,"V157","AIRWAY","","","","","HAARP"
"2026/01/22","ABE","HPN","TEC",1,30,"HAARP","FIX","CT","US","K6","",""
"2026/01/22","ABE","HPN","TEC",2,5,"STW","NAVAID","NJ","US","","VOR/DME","SAX"
"2026/01/22","ABE","HPN","TEC",2,10,"SAX","NAVAID","NJ","US","","VORTAC","V39"
"2026/01/22","ABE","HPN","TEC",2,15,"V39","AIRWAY","","","","","BREZY"
"2026/01/22","ABE","HPN","TEC",2,20,"BREZY","FIX","NY","US","K6","",""
"2026/01/22","ABE","IAD","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME","LRP"
"2026/01/22","ABE","IAD","TEC",1,10,"LRP","NAVAID","PA","US","","VOR/DME","V143"
"2026/01/22","ABE","IAD","TEC",1,15,"V143","AIRWAY","","","","","MULRR"
"2026/01/22","ABE","IAD","TEC",1,20,"MULRR","FIX","MD","US","K6","","AML"
"2026/01/22","ABE","IAD","TEC",1,25,"AML","NAVAID","VA","US","","VOR/DME",""
"2026/01/22","ABE","ILG","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME","T447"
"2026/01/22","ABE","ILG","TEC",1,10,"T447","AIRWAY","","","","","APEER"
"2026/01/22","ABE","ILG","TEC",1,15,"APEER","FIX","MD","US","K6","",""
"2026/01/22","ABE","LNS","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME","V39"
"2026/01/22","ABE","LNS","TEC",1,10,"V39","AIRWAY","","","","","LRP"
"2026/01/22","ABE","LNS","TEC",1,15,"LRP","NAVAID","PA","US","","VOR/DME",""
"2026/01/22","ABE","MDT","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME","T299"
"2026/01/22","ABE","MDT","TEC",1,10,"T299","AIRWAY","","","","","HAR"
"2026/01/22","ABE","MDT","TEC",1,15,"HAR","NAVAID","PA","US","","VORTAC",""
"2026/01/22","ABE","PHL","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME","T447"
"2026/01/22","ABE","PHL","TEC",1,10,"T447","AIRWAY","","","","","PTW"
"2026/01/22","ABE","PHL","TEC",1,15,"PTW","NAVAID","PA","US","","VORTAC",""
"2026/01/22","ABE","PHL","TEC",2,5,"BUSKY","FIX","PA","US","K6","","PTW"
"2026/01/22","ABE","PHL","TEC",2,10,"PTW","NAVAID","PA","US","","VORTAC",""
"2026/01/22","ABE","PHL","TEC",3,5,"BUSKY","FIX","PA","US","K6","","PTW"
"2026/01/22","ABE","PHL","TEC",3,10,"PTW","NAVAID","PA","US","","VORTAC",""
"2026/01/22","ABE","PIT","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","V6"
"2026/01/22","ABE","PIT","TEC",1,10,"V6","AIRWAY","","","","","SEG"
"2026/01/22","ABE","PIT","TEC",1,15,"SEG","NAVAID","PA","US","","VOR/DME",""
"2026/01/22","ABE","PNE","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","ARD"
"2026/01/22","ABE","PNE","TEC",1,10,"ARD","NAVAID","PA","US","","VOR/DME",""
"2026/01/22","ABE","RDG","TEC",1,5,"ETX","NAVAID","PA","US","","VOR/DME",""
"2026/01/22","ABE","TEB","TEC",1,5,"FJC","NAVAID","PA","US","","VORTAC","STW"
"2026/01/22","ABE","TEB","TEC",1,10,"STW","NAVAID","NJ","US","","VOR/DME",""
"2026/01/22","ABQ","AUS","H",1,5,"MNZNO3","DP","","","","","CME"
"2026/01/22","ABQ","AUS","H",1,10,"CME","NAVAID","NM","US","","VORTAC","HOB"
"2026/01/22","ABQ","AUS","H",1,15,"HOB","NAVAID","NM","US","","VORTAC","UCOKA"
"2026/01/22","ABQ","AUS","H",1,20,"UCOKA","FIX","TX","US","K4","","DILLO"
"2026/01/22","ABQ","AUS","H",1,25,"DILLO","FIX","TX","US","K4","","LAIKS4"
"2026/01/22","ABQ","AUS","H",1,30,"LAIKS4","STAR","","","","",""
"2026/01/22","ABQ","HOU","H",1,5,"DILLO","FIX","TX","US","K4","","KIDDZ5"
"2026/01/22","ABQ","HOU","H",1,10,"KIDDZ5","STAR","","","","",""
