CSV File,Column Name,Max Length,Data Type,Nullable
PJA_BASE,EFF_DATE,10,VARCHAR,No
PJA_BASE,PJA_ID,6,VARCHAR,No
PJA_BASE,NAV_ID,4,VARCHAR,Yes
PJA_BASE,NAV_TYPE,25,VARCHAR,Yes
PJA_BASE,RADIAL,"(5,2)",NUMBER,Yes
PJA_BASE,DISTANCE,"(7,2)",NUMBER,Yes
PJA_BASE,NAVAID_NAME,30,VARCHAR,Yes
PJA_BASE,STATE_CODE,2,VARCHAR,Yes
PJA_BASE,CITY,30,VARCHAR,Yes
PJA_BASE,LATITUDE,14,VARCHAR,No
PJA_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
PJA_BASE,LONGITUDE,15,VARCHAR,No
PJA_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
PJA_BASE,ARPT_ID,4,VARCHAR,Yes
PJA_BASE,SITE_NO,9,VARCHAR,Yes
PJA_BASE,SITE_TYPE_CODE,1,VARCHAR,Yes
PJA_BASE,DROP_ZONE_NAME,50,VARCHAR,Yes
PJA_BASE,MAX_ALTITUDE,"(5,0)",NUMBER,Yes
PJA_BASE,MAX_ALTITUDE_TYPE_CODE,3,VARCHAR,Yes
PJA_BASE,PJA_RADIUS,"(4,2)",NUMBER,Yes
PJA_BASE,CHART_REQUEST_FLAG,1,VARCHAR,Yes
PJA_BASE,PUBLISH_CRITERIA,1,VARCHAR,Yes
PJA_BASE,DESCRIPTION,100,VARCHAR,Yes
PJA_BASE,TIME_OF_USE,150,VARCHAR,Yes
PJA_BASE,FSS_ID,4,VARCHAR,Yes
PJA_BASE,FSS_NAME,30,VARCHAR,Yes
PJA_BASE,PJA_USE,8,VARCHAR,Yes
PJA_BASE,VOLUME,1,VARCHAR,Yes
PJA_BASE,PJA_USER,150,VARCHAR,Yes
PJA_BASE,REMARK,600,VARCHAR,Yes
PJA_CON,EFF_DATE,10,VARCHAR,No
PJA_CON,PJA_ID,6,VARCHAR,No
PJA_CON,FAC_ID,4,VARCHAR,Yes
PJA_CON,FAC_NAME,50,VARCHAR,No
PJA_CON,LOC_ID,4,VARCHAR,No
PJA_CON,COMMERCIAL_FREQ,"(7,3)",NUMBER,No
PJA_CON,COMMERCIAL_CHART_FLAG,1,VARCHAR,No
PJA_CON,MIL_FREQ,"(7,3)",NUMBER,Yes
PJA_CON,MIL_CHART_FLAG,1,VARCHAR,Yes
PJA_CON,SECTOR,30,VARCHAR,Yes
PJA_CON,CONTACT_FREQ_ALTITUDE,20,VARCHAR,Yes
