"EFF_DATE","STAR_COMPUTER_CODE","ARTCC","BODY_NAME","BODY_SEQ","ARPT_ID","RWY_END_ID"
"2026/01/22","AALAN.BLAID2","ZLA","AALAN-BLAID",1,"LAS","ALL"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-CRUNK",1,"DEN","25"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-CRUNK",1,"DEN","26"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-DOGGG",1,"DEN","35L"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-DOGGG",1,"DEN","35R"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-HAITR",1,"DEN","07"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-HAITR",1,"DEN","08"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-HIMOM",1,"DEN","34L"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-HIMOM",1,"DEN","34R"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-KIPPR",1,"DEN","16L"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-KIPPR",1,"DEN","16R"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-KIPPR",1,"DEN","17L"
"2026/01/22","AALLE.AALLE4","ZDV","AALLE-KIPPR",1,"DEN","17R"
"2026/01/22","AARCH.AARCH2","ZKC","AARCH-BUELL",1,"STL","11"
"2026/01/22","AARCH.AARCH2","ZKC","AARCH-BUELL",1,"STL","12L"
"2026/01/22","AARCH.AARCH2","ZKC","AARCH-BUELL",1,"STL","12R"
"2026/01/22","AARCH.AARCH2","ZKC","AARCH-FDRKO",1,"STL","29"
"2026/01/22","AARCH.AARCH2","ZKC","AARCH-FDRKO",1,"STL","30L"
"2026/01/22","AARCH.AARCH2","ZKC","AARCH-FDRKO",1,"STL","30R"
"2026/01/22","AAVON.AAVON1","ZDV","AAVON-DUCES",1,"EGE","ALL"
"2026/01/22","AAVON.AAVON1","ZDV","AAVON-GRFLD",1,"RIL","ALL"
"2026/01/22","AAVON.AAVON1","ZDV","AAVON-ZIRCL",1,"HDN","ALL"
"2026/01/22","ADYMS.ADYMS3","ZSE","ADYMS-ELBBE",1,"TCM","16"
