CSV File,Column Name,Max Length,Data Type,Nullable
STAR_BASE,EFF_DATE,10,VARCHAR,No
STAR_BASE,ARRIVAL_NAME,30,VARCHAR,No
STAR_BASE,AMENDMENT_NO,5,VARCHAR,No
STAR_BASE,ARTCC,12,VARCHAR,Yes
STAR_BASE,STAR_AMEND_EFF_DATE,10,VARCHAR,No
STAR_BASE,RNAV_FLAG,1,VARCHAR,No
STAR_BASE,STAR_COMPUTER_CODE,12,VARCHAR,No
STAR_BASE,SERVED_ARPT,200,VARCHAR,No
STAR_APT,EFF_DATE,10,VARCHAR,No
STAR_APT,STAR_COMPUTER_CODE,12,VARCHAR,No
STAR_APT,ARTCC,12,VARCHAR,Yes
STAR_APT,BODY_NAME,110,VARCHAR,No
STAR_APT,BODY_SEQ,"(1,0)",NUMBER,No
STAR_APT,ARPT_ID,4,VARCHAR,No
STAR_APT,RWY_END_ID,3,VARCHAR,Yes
STAR_RTE,EFF_DATE,10,VARCHAR,No
STAR_RTE,STAR_COMPUTER_CODE,12,VARCHAR,No
STAR_RTE,ARTCC,12,VARCHAR,Yes
STAR_RTE,ROUTE_PORTION_TYPE,10,VARCHAR,No
STAR_RTE,ROUTE_NAME,110,VARCHAR,No
STAR_RTE,BODY_SEQ,"(1,0)",NUMBER,No
STAR_RTE,TRANSITION_COMPUTER_CODE,20,VARCHAR,Yes
STAR_RTE,POINT_SEQ,"(3,0)",NUMBER,No
STAR_RTE,POINT,10,VARCHAR,No
STAR_RTE,ICAO_REGION_CODE,2,VARCHAR,Yes
STAR_RTE,POINT_TYPE,25,VARCHAR,No
STAR_RTE,NEXT_POINT,10,VARCHAR,Yes
STAR_RTE,ARPT_RWY_ASSOC,200,VARCHAR,Yes
