"EFF_DATE","STAR_COMPUTER_CODE","ARTCC","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2026/01/22","AALAN.BLAID2","ZLA","BODY","AALAN-BLAID",1,"",10,"BLAID","K2","RP   ","AALAN","LAS"
"2026/01/22","AALAN.BLAID2","ZLA","BODY","AALAN-BLAID",1,"",20,"AALAN","K2","RP   ","","LAS"
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","BRYCE CANYON TRANSITION",1,"BCE.BLAID2",10,"AALAN","K2","RP   ","HOLDM",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","BRYCE CANYON TRANSITION",1,"BCE.BLAID2",20,"HOLDM","K2","RP   ","BCE",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","BRYCE CANYON TRANSITION",1,"BCE.BLAID2",30,"BCE","","VORTAC","",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","ENOCH TRANSITION",1,"EHK.BLAID2",10,"AALAN","K2","RP   ","HOLDM",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","ENOCH TRANSITION",1,"EHK.BLAID2",20,"HOLDM","K2","RP   ","EHK",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","ENOCH TRANSITION",1,"EHK.BLAID2",30,"EHK","","VOR/DME","",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","PAGE TRANSITION",1,"PGA.BLAID2",10,"AALAN","K2","RP   ","HOLDM",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","PAGE TRANSITION",1,"PGA.BLAID2",20,"HOLDM","K2","RP   ","PGA",""
"2026/01/22","AALAN.BLAID2","ZLA","TRANSITION","PAGE TRANSITION",1,"PGA.BLAID2",30,"PGA","","VOR/DME","",""
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-CRUNK",1,"",10,"CRUNK","K2","WP   ","HEDDD","DEN/25, DEN/26"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-CRUNK",1,"",20,"HEDDD","K2","WP   ","AALLE","DEN/25, DEN/26"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-CRUNK",1,"",30,"AALLE","K2","WP   ","","DEN/25, DEN/26"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-DOGGG",1,"",10,"DOGGG","K2","WP   ","FFFAT","DEN/35L, DEN/35R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-DOGGG",1,"",20,"FFFAT","K2","WP   ","FULLA","DEN/35L, DEN/35R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-DOGGG",1,"",30,"FULLA","K2","WP   ","DEELO","DEN/35L, DEN/35R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-DOGGG",1,"",40,"DEELO","K2","WP   ","HEDDD","DEN/35L, DEN/35R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-DOGGG",1,"",50,"HEDDD","K2","WP   ","AALLE","DEN/35L, DEN/35R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-DOGGG",1,"",60,"AALLE","K2","WP   ","","DEN/35L, DEN/35R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HAITR",1,"",10,"HAITR","K2","WP   ","HAZLT","DEN/07, DEN/08"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HAITR",1,"",20,"HAZLT","K2","WP   ","JEPHF","DEN/07, DEN/08"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HAITR",1,"",30,"JEPHF","K2","WP   ","DEELO","DEN/07, DEN/08"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HAITR",1,"",40,"DEELO","K2","WP   ","HEDDD","DEN/07, DEN/08"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HAITR",1,"",50,"HEDDD","K2","WP   ","AALLE","DEN/07, DEN/08"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HAITR",1,"",60,"AALLE","K2","WP   ","","DEN/07, DEN/08"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HIMOM",1,"",10,"HIMOM","K2","WP   ","GRILA","DEN/34L, DEN/34R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HIMOM",1,"",20,"GRILA","K2","WP   ","HAZLT","DEN/34L, DEN/34R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HIMOM",1,"",30,"HAZLT","K2","WP   ","JEPHF","DEN/34L, DEN/34R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HIMOM",1,"",40,"JEPHF","K2","WP   ","DEELO","DEN/34L, DEN/34R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HIMOM",1,"",50,"DEELO","K2","WP   ","HEDDD","DEN/34L, DEN/34R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HIMOM",1,"",60,"HEDDD","K2","WP   ","AALLE","DEN/34L, DEN/34R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-HIMOM",1,"",70,"AALLE","K2","WP   ","","DEN/34L, DEN/34R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-KIPPR",1,"",10,"KIPPR","K2","WP   ","HIGUN","DEN/16L, DEN/16R, DEN/17L, DEN/17R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-KIPPR",1,"",20,"HIGUN","K2","WP   ","HEDDD","DEN/16L, DEN/16R, DEN/17L, DEN/17R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-KIPPR",1,"",30,"HEDDD","K2","WP   ","AALLE","DEN/16L, DEN/16R, DEN/17L, DEN/17R"
"2026/01/22","AALLE.AALLE4","ZDV","BODY","AALLE-KIPPR",1,"",40,"AALLE","K2","WP   ","","DEN/16L, DEN/16R, DEN/17L, DEN/17R"
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","BBOTL TRANSITION",1,"BBOTL.AALLE4",10,"AALLE","K2","WP   ","BBOTL",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","BBOTL TRANSITION",1,"BBOTL.AALLE4",20,"BBOTL","K2","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","BIDDR TRANSITION",1,"BIDDR.AALLE4",10,"AALLE","K2","WP   ","FOAMM",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","BIDDR TRANSITION",1,"BIDDR.AALLE4",20,"FOAMM","K2","WP   ","CAASK",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","BIDDR TRANSITION",1,"BIDDR.AALLE4",30,"CAASK","K2","WP   ","BIDDR",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","BIDDR TRANSITION",1,"BIDDR.AALLE4",40,"BIDDR","K2","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","CAASK TRANSITION",1,"CAASK.AALLE4",10,"AALLE","K2","WP   ","FOAMM",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","CAASK TRANSITION",1,"CAASK.AALLE4",20,"FOAMM","K2","WP   ","CAASK",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","CAASK TRANSITION",1,"CAASK.AALLE4",30,"CAASK","K2","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","FOAMM TRANSITION",1,"FOAMM.AALLE4",10,"AALLE","K2","WP   ","FOAMM",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","FOAMM TRANSITION",1,"FOAMM.AALLE4",20,"FOAMM","K2","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","HOPPP TRANSITION",1,"HOPPP.AALLE4",10,"AALLE","K2","WP   ","FOAMM",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","HOPPP TRANSITION",1,"HOPPP.AALLE4",20,"FOAMM","K2","WP   ","CAASK",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","HOPPP TRANSITION",1,"HOPPP.AALLE4",30,"CAASK","K2","WP   ","BIDDR",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","HOPPP TRANSITION",1,"HOPPP.AALLE4",40,"BIDDR","K2","WP   ","YEAST",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","HOPPP TRANSITION",1,"HOPPP.AALLE4",50,"YEAST","K2","WP   ","HOPPP",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","HOPPP TRANSITION",1,"HOPPP.AALLE4",60,"HOPPP","K3","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MALTE TRANSITION",1,"MALTE.AALLE4",10,"AALLE","K2","WP   ","BBOTL",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MALTE TRANSITION",1,"MALTE.AALLE4",20,"BBOTL","K2","WP   ","MALTE",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MALTE TRANSITION",1,"MALTE.AALLE4",30,"MALTE","K2","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MILKK TRANSITION",1,"MILKK.AALLE4",10,"AALLE","K2","WP   ","BBOTL",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MILKK TRANSITION",1,"MILKK.AALLE4",20,"BBOTL","K2","WP   ","MALTE",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MILKK TRANSITION",1,"MILKK.AALLE4",30,"MALTE","K2","WP   ","SDOUT",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MILKK TRANSITION",1,"MILKK.AALLE4",40,"SDOUT","K3","WP   ","MILKK",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","MILKK TRANSITION",1,"MILKK.AALLE4",50,"MILKK","K3","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","NYTRO TRANSITION",1,"NYTRO.AALLE4",10,"AALLE","K2","WP   ","BBOTL",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","NYTRO TRANSITION",1,"NYTRO.AALLE4",20,"BBOTL","K2","WP   ","MALTE",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","NYTRO TRANSITION",1,"NYTRO.AALLE4",30,"MALTE","K2","WP   ","SDOUT",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","NYTRO TRANSITION",1,"NYTRO.AALLE4",40,"SDOUT","K3","WP   ","MILKK",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","NYTRO TRANSITION",1,"NYTRO.AALLE4",50,"MILKK","K3","WP   ","NYTRO",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","NYTRO TRANSITION",1,"NYTRO.AALLE4",60,"NYTRO","K3","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","PORDR TRANSITION",1,"PORDR.AALLE4",10,"AALLE","K2","WP   ","FOAMM",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","PORDR TRANSITION",1,"PORDR.AALLE4",20,"FOAMM","K2","WP   ","CAASK",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","PORDR TRANSITION",1,"PORDR.AALLE4",30,"CAASK","K2","WP   ","BIDDR",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","PORDR TRANSITION",1,"PORDR.AALLE4",40,"BIDDR","K2","WP   ","YEAST",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","PORDR TRANSITION",1,"PORDR.AALLE4",50,"YEAST","K2","WP   ","HOPPP",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","PORDR TRANSITION",1,"PORDR.AALLE4",60,"HOPPP","K3","WP   ","PORDR",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","PORDR TRANSITION",1,"PORDR.AALLE4",70,"PORDR","K3","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","SDOUT TRANSITION",1,"SDOUT.AALLE4",10,"AALLE","K2","WP   ","BBOTL",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","SDOUT TRANSITION",1,"SDOUT.AALLE4",20,"BBOTL","K2","WP   ","MALTE",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","SDOUT TRANSITION",1,"SDOUT.AALLE4",30,"MALTE","K2","WP   ","SDOUT",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","SDOUT TRANSITION",1,"SDOUT.AALLE4",40,"SDOUT","K3","WP   ","",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","YEAST TRANSITION",1,"YEAST.AALLE4",10,"AALLE","K2","WP   ","FOAMM",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","YEAST TRANSITION",1,"YEAST.AALLE4",20,"FOAMM","K2","WP   ","CAASK",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","YEAST TRANSITION",1,"YEAST.AALLE4",30,"CAASK","K2","WP   ","BIDDR",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","YEAST TRANSITION",1,"YEAST.AALLE4",40,"BIDDR","K2","WP   ","YEAST",""
"2026/01/22","AALLE.AALLE4","ZDV","TRANSITION","YEAST TRANSITION",1,"YEAST.AALLE4",50,"YEAST","K2","WP   ","",""
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",10,"BUELL","K3","WP   ","HRBEE","STL/11, STL/12L, STL/12R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",20,"HRBEE","K3","WP   ","GETEE","STL/11, STL/12L, STL/12R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",30,"GETEE","K3","WP   ","CHOTO","STL/11, STL/12L, STL/12R"
