"EFF_DATE","WEA_ID","CITY","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","SURVEY_METHOD_CODE"
"2026/01/22","00U","HARDIN","MT","US",45,44,43.15,"N",45.74531944,107,39,35.13,"W",-107.65975833,3085,"E"
"2026/01/22","01G","PERRY","NY","US",42,44,33.44,"N",42.74262222,78,2,48.86,"W",-78.04690555,1558,"S"
"2026/01/22","01M","BELMONT","MS","US",34,29,37.069,"N",34.49363027,88,12,12.119,"W",-88.20336638,569,"S"
"2026/01/22","04V","SAGUACHE","CO","US",38,5,50,"N",38.09722222,106,10,7.086,"W",-106.168635,7826,"S"
"2026/01/22","04W","HINCKLEY","MN","US",46,1,22.3252,"N",46.02286811,92,53,42.6279,"W",-92.89517441,1021,"E"
"2026/01/22","05K","PORT ALSWORTH","AK","US",60,11,49.8,"N",60.19716666,154,19,26.9,"W",-154.32413888,288,"E"
"2026/01/22","05U","EUREKA","NV","US",39,36,7.28,"N",39.60202222,116,0,21.87,"W",-116.006075,5957,"S"
"2026/01/22","06C","CHICAGO/SCHAUMBURG","IL","US",41,59,32.4365,"N",41.99234347,88,6,32.8666,"W",-88.10912961,800,"E"
"2026/01/22","06D","ROLLA","ND","US",48,53,3.9,"N",48.88441666,99,37,14.7,"W",-99.62075,1823,"E"
"2026/01/22","08D","STANLEY","ND","US",48,18,6.6331,"N",48.30184252,102,24,15.2169,"W",-102.40422691,2239,"S"
"2026/01/22","0A0","TRUTH OR CONSEQUENCES","NM","US",32,59,24,"N",32.99,106,58,3,"W",-106.9675,429,"E"
"2026/01/22","0A9","ELIZABETHTON","TN","US",36,22,15.96,"N",36.3711,82,10,36.55,"W",-82.17681944,1593,"S"
"2026/01/22","0CO","EMPIRE","CO","US",39,47,40,"N",39.79444444,105,45,47,"W",-105.76305555,12493,"S"
"2026/01/22","0D8","GETTYSBURG","SD","US",44,59,9.6233,"N",44.98600647,99,57,18.9843,"W",-99.95527341,2054,"S"
"2026/01/22","0E0","MORIARTY","NM","US",34,59,1.3688,"N",34.98371355,105,59,44.7412,"W",-105.99576144,6218,"S"
"2026/01/22","0E4","PAYSON","AZ","US",34,14,0.1,"N",34.23336111,111,20,2.5,"W",-111.33402777,5156,"E"
"2026/01/22","0F2","BOWIE","TX","US",33,36,3.9275,"N",33.60109097,97,46,24.7031,"W",-97.77352863,1087,"S"
"2026/01/22","0R0","COLUMBIA","MS","US",31,17,48.9567,"N",31.29693241,89,48,57.3766,"W",-89.81593794,248,"S"
"2026/01/22","0R4","VIDALIA","LA","US",31,33,49.5,"N",31.56375,91,30,35.3,"W",-91.50980555,55,"S"
"2026/01/22","0S9","PORT TOWNSEND","WA","US",48,3,29,"N",48.05805555,122,48,41,"W",-122.81138888,107,"S"
"2026/01/22","0V4","BROOKNEAL","VA","US",37,8,23.65,"N",37.13990277,79,1,1.63,"W",-79.01711944,605,"S"
"2026/01/22","0VG","JONESVILLE","VA","US",36,39,27.4115,"N",36.6576143,83,12,52.734,"W",-83.21464833,1395,"S"
"2026/01/22","0W3","CHURCHVILLE","MD","US",39,34,12.76,"N",39.57021111,76,12,25.64,"W",-76.20712222,441,"E"
"2026/01/22","10G","MILLERSBURG","OH","US",40,32,12.1245,"N",40.53670125,81,57,21.3882,"W",-81.95594116,1227,"E"
"2026/01/22","10U","OWYHEE","NV","US",41,57,16.93,"N",41.95470277,116,10,58.42,"W",-116.18289444,5377,"E"
"2026/01/22","11R","BRENHAM","TX","US",30,13,8.4,"N",30.219,96,22,27.4,"W",-96.37427777,308,"S"
"2026/01/22","12N","ANDOVER","NJ","US",41,0,31.031,"N",41.00861972,74,44,16.922,"W",-74.73803388,583,"S"
"2026/01/22","13K","EUREKA","KS","US",37,51,6.7815,"N",37.85188375,96,17,34.5256,"W",-96.29292377,1200,"S"
"2026/01/22","14Y","LONG PRAIRIE","MN","US",45,53,51.339,"N",45.89759416,94,52,25.042,"W",-94.87362277,1332,"E"
"2026/01/22","15J","ADEL","GA","US",31,8,17.2402,"N",31.13812227,83,27,13.5093,"W",-83.45375258,231,"S"
"2026/01/22","15M","IUKA","MS","US",34,46,28.3,"N",34.77452777,88,10,3.6,"W",-88.16766666,604,"S"
