CSV File,Column Name,Max Length,Data Type,Nullable
WXL_BASE,EFF_DATE,10,VARCHAR,No
WXL_BASE,WEA_ID,4,VARCHAR,No
WXL_BASE,CITY,40,VARCHAR,No
WXL_BASE,STATE_CODE,2,VARCHAR,Yes
WXL_BASE,COUNTRY_CODE,2,VARCHAR,No
WXL_BASE,LAT_DEG,"(2,0)",NUMBER,No
WXL_BASE,LAT_MIN,"(2,0)",NUMBER,No
WXL_BASE,LAT_SEC,"(6,4)",NUMBER,No
WXL_BASE,LAT_HEMIS,1,VARCHAR,No
WXL_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
WXL_BASE,LONG_DEG,"(3,0)",NUMBER,No
WXL_BASE,LONG_MIN,"(2,0)",NUMBER,No
WXL_BASE,LONG_SEC,"(6,4)",NUMBER,No
WXL_BASE,LONG_HEMIS,1,VARCHAR,No
WXL_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
WXL_BASE,ELEV,"(5,0)",NUMBER,No
WXL_BASE,SURVEY_METHOD_CODE,1,VARCHAR,No
WXL_SVC,EFF_DATE,10,VARCHAR,No
WXL_SVC,WEA_ID,4,VARCHAR,No
WXL_SVC,CITY,40,VARCHAR,No
WXL_SVC,STATE_CODE,2,VARCHAR,Yes
WXL_SVC,COUNTRY_CODE,2,VARCHAR,No
WXL_SVC,WEA_SVC_TYPE_CODE,5,VARCHAR,No
WXL_SVC,WEA_AFFECT_AREA,200,VARCHAR,Yes
